INDEX	KEY	MUSIC	CATEGORY	SHOW	TYPE
i	s[unused]	s[sound/music_acq_miner.snd]	i	i	s[content]
1	count_10	sound/music_acq_miner.snd	0	0	accumulation
0	count_5	sound/music_acq_miner.snd	0	0	accumulation
2	count_25	sound/music_acq_miner.snd	0	0	accumulation
3	count_50	sound/music_acq_miner.snd	0	0	accumulation
4	count_75	sound/music_acq_miner.snd	0	0	accumulation
5	count_100	sound/music_acq_miner.snd	0	0	accumulation
6	count_125	sound/music_acq_miner.snd	0	0	accumulation
7	poi_rabidbeast	sound/music_acq_miner.snd	1	0	interest
8	poi_prisonbreak	sound/music_acq_miner.snd	1	0	interest
9	poi_twoliars	sound/music_acq_miner.snd	1	0	interest
10	poi_factoryliberation	sound/music_acq_miner.snd	1	0	interest
11	poi_heromark	sound/music_acq_miner.snd	1	0	interest
12	exp_tat_bens_hut	sound/music_acq_miner.snd	2	0	exploration_jedi
13	exp_tat_tusken_pool	sound/music_acq_miner.snd	2	0	exploration_dangerous
14	exp_tat_krayt_skeleton	sound/music_acq_miner.snd	2	0	exploration_dangerous
15	exp_tat_escape_pod	sound/music_acq_miner.snd	2	0	exploration_easy
16	exp_tat_sarlacc_pit	sound/music_acq_miner.snd	2	0	exploration_dangerous
17	exp_tat_lars_homestead	sound/music_acq_miner.snd	2	0	exploration_easy
18	exp_tat_krayt_graveyard	sound/music_acq_miner.snd	2	0	exploration_dangerous
19	exp_nab_gungan_sacred_place	sound/music_acq_miner.snd	2	0	exploration_easy
20	exp_cor_agrilat_swamp	sound/music_acq_miner.snd	2	0	exploration_easy
21	exp_yav_temple_woolamander	sound/music_acq_miner.snd	2	0	exploration_easy
22	exp_yav_temple_blueleaf	sound/music_acq_miner.snd	2	0	exploration_easy
23	exp_yav_temple_exar_kun	sound/music_acq_miner.snd	2	0	exploration_jedi
24	exp_lok_volcano	sound/music_acq_miner.snd	2	0	exploration_easy
25	exp_dat_tarpit	sound/music_acq_miner.snd	2	0	exploration_easy
26	exp_dat_sarlacc	sound/music_acq_miner.snd	2	0	exploration_dangerous
27	exp_dat_escape_pod	sound/music_acq_miner.snd	2	0	exploration_easy
28	exp_dat_misty_falls_1	sound/music_acq_miner.snd	2	0	exploration_easy
29	exp_dat_misty_falls_2	sound/music_acq_miner.snd	2	0	exploration_easy
30	exp_dan_jedi_temple	sound/music_acq_miner.snd	2	0	exploration_jedi
31	exp_dan_rebel_base	sound/music_acq_miner.snd	2	0	exploration_easy
32	event_project_dead_eye_1	sound/music_acq_miner.snd	4	0	events
33	acc_good_samaritan	sound/music_acq_miner.snd	0	0	events
34	acc_fascinating_background	sound/music_acq_miner.snd	0	0	events
35	acc_brave_soldier	sound/music_acq_miner.snd	0	0	events
36	acc_interesting_personage	sound/music_acq_miner.snd	0	0	events
37	acc_professional_demeanor	sound/music_acq_miner.snd	0	0	events
38	warren_compassion	sound/music_acq_miner.snd	5	0	content
39	warren_hero	sound/music_acq_miner.snd	5	0	content
40	event_coa2_rebel	sound/music_acq_miner.snd	4	0	events
41	event_coa2_imperial	sound/music_acq_miner.snd	4	0	events
42	combat_1hsword_master	NONE	3	0	master
43	combat_2hsword_master	NONE	3	0	master
44	combat_bountyhunter_master	NONE	3	0	master
45	social_crimelord_master	NONE	3	0	master
46	combat_carbine_master	NONE	3	0	master
47	combat_commando_master	NONE	3	0	master
48	combat_jedi_master	NONE	3	0	master
49	combat_pistol_master	NONE	3	0	master
50	combat_polearm_master	NONE	3	0	master
51	combat_rifleman_master	NONE	3	0	master
52	combat_smuggler_master	NONE	3	0	master
53	combat_unarmed_master	NONE	3	0	master
54	crafting_architect_master	NONE	3	0	master
55	crafting_armorsmith_master	NONE	3	0	master
56	crafting_artisan_master	NONE	3	0	master
57	crafting_chef_master	NONE	3	0	master
58	crafting_droidengineer_master	NONE	3	0	master
59	crafting_merchant_master	NONE	3	0	master
60	crafting_tailor_master	NONE	3	0	master
61	crafting_weaponsmith_master	NONE	3	0	master
62	outdoors_bio_engineer_master	NONE	3	0	master
63	outdoors_creaturehandler_master	NONE	3	0	master
64	outdoors_ranger_master	NONE	3	0	master
65	outdoors_scout_master	NONE	3	0	master
66	outdoors_squadleader_master	NONE	3	0	master
67	science_combatmedic_master	NONE	3	0	master
68	science_doctor_master	NONE	3	0	master
69	science_medic_master	NONE	3	0	master
70	social_dancer_master	NONE	3	0	master
71	social_entertainer_master	NONE	3	0	master
72	social_imagedesigner_master	NONE	3	0	master
73	social_musician_master	NONE	3	0	master
74	social_politician_master	NONE	3	0	master
75	bdg_exp_nab_theed_falls_bottom	sound/music_acq_miner.snd	2	0	exploration_easy
76	bdg_exp_nab_deeja_falls_top	sound/music_acq_miner.snd	2	0	exploration_easy
77	bdg_exp_nab_amidalas_sandy_beach	sound/music_acq_miner.snd	2	0	exploration_easy
78	bdg_exp_cor_rebel_hideout	sound/music_acq_miner.snd	2	0	exploration_easy
79	bdg_exp_cor_rogue_corsec_base	sound/music_acq_miner.snd	2	0	exploration_easy
80	bdg_exp_cor_tyrena_theater	sound/music_acq_miner.snd	2	0	exploration_easy
81	bdg_exp_cor_bela_vistal_fountain	sound/music_acq_miner.snd	2	0	exploration_easy
82	bdg_exp_dat_crashed_ship	sound/music_acq_miner.snd	2	0	exploration_easy
83	bdg_exp_dat_imp_prison	sound/music_acq_miner.snd	2	0	exploration_easy
84	bdg_exp_dan_dantari_village1	sound/music_acq_miner.snd	2	0	exploration_easy
85	bdg_exp_dan_dantari_village2	sound/music_acq_miner.snd	2	0	exploration_easy
86	bdg_exp_end_ewok_tree_village	sound/music_acq_miner.snd	2	0	exploration_easy
87	bdg_exp_end_ewok_lake_village	sound/music_acq_miner.snd	2	0	exploration_easy
88	bdg_exp_end_dulok_village	sound/music_acq_miner.snd	2	0	exploration_easy
89	bdg_exp_end_imp_outpost	sound/music_acq_miner.snd	2	0	exploration_easy
90	bdg_exp_tal_creature_village	sound/music_acq_miner.snd	2	0	exploration_easy
91	bdg_exp_tal_imp_base	sound/music_acq_miner.snd	2	0	exploration_easy
92	bdg_exp_tal_imp_vs_reb_battle	sound/music_acq_miner.snd	2	0	exploration_easy
93	bdg_exp_tal_aqualish_cave	sound/music_acq_miner.snd	2	0	exploration_easy
94	bdg_exp_ror_kobala_spice_mine	sound/music_acq_miner.snd	2	0	exploration_easy
95	bdg_exp_ror_rebel_outpost	sound/music_acq_miner.snd	2	0	exploration_easy
