objid	container	type	shared_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	radius	portal_layout_crc
i	i	i	h	i	f	f	f	f	f	f	f	f	i
-820811248	0	1398030671	2120330590	0	709.791	3.88511	1366.21	1	0	0	0	64	0
-1303245878	0	1398030671	2120330590	0	695.586	1.63462	1376.02	1	0	0	0	64	0
-1010142534	0	1398030671	2120330590	0	677.249	1.96718	1368.23	1	0	0	0	64	0
-1544011369	0	1398030671	2120330590	0	686.124	1.93684	1352.23	1	0	0	0	64	0
-47099733	0	1398030671	-387618107	0	716.544	0.17131	1369.39	0.939373	0	-0.342898	0	64	0
-1681717382	0	1398030671	-387618107	0	687.044	1.85607	1369.75	0.771246	0	-0.636537	0	64	0
-2075261448	0	1398030671	-387618107	0	696.148	1.8226	1348.39	-0.703845	0	0.710353	0	64	0
-1126949083	0	1398030671	-1377649953	0	697.931	4.77128	1367.25	0.894978	0.0345701	0.418033	-0.151878	200	0
-1422925543	0	1398030671	-2052392611	0	691.759	4.17483	1365.23	0.685868	0	0.727726	0	200	0
-1150292555	0	1398030671	-1377649953	0	689.488	3.2569	1362.51	0.0652757	-0.119453	0.99066	-0.00787089	200	0
-69658392	0	1398030671	-1377649953	0	690.246	3.15586	1372.18	0.908477	-0.0682638	0.411162	0.0308951	200	0
-270020226	0	1398030671	-1377649953	0	701.989	3.79505	1372.22	0.730645	0.0115056	0.673874	0.109174	200	0
-1657877999	0	1398030671	-1499634350	0	701.337	3.08091	1367.17	0.517718	0.136963	0.807825	-0.246226	200	0
-941008142	0	1398030671	-132909641	0	711.67	3.22063	1370.44	1	0	0	0	64	0
-495266149	0	1398030671	-132909641	0	680.101	4.31183	1361.12	1	0	0	0	64	0
-459325527	0	1398030671	-1703724185	0	694.176	5.22025	1366.98	0.999388	0	-0.0349929	0	64	0
-1988516686	0	1398030671	-1703724185	0	694.956	5.3135	1366.64	0.911039	0	0.412321	0	64	0
-1370801356	0	1398030671	-1703724185	0	695.373	5.3923	1365.91	0.728273	0	0.685287	0	64	0
-377483592	0	1398030671	-1703724185	0	694.966	5.45944	1365.1	0.413046	0	0.91071	0	64	0
-694739544	0	1398030671	-1703724185	0	694.264	5.57441	1364.63	0.00578023	-0.000434332	0.997172	0.0749284	64	0
-1914586911	0	1398030671	-1703724185	0	693.119	5.30088	1365.76	0.712676	0.0499687	-0.697997	0.0489398	64	0
-1634048171	0	1398030671	-1703724185	0	693.455	5.2326	1366.57	0.911413	0.0822493	-0.401558	0.0362381	64	0
-1178650759	0	1398030671	-1703724185	0	693.479	5.4737	1364.98	-0.362358	0	0.932039	0	64	0
-152182541	0	1398030671	-1223082099	0	700.246	4.17	1439.93	0.889293	0	-0.457338	0	512	0
-405305830	0	1398030671	-1223082099	0	707.42	4.17	1450.64	0.955219	0	0.295901	0	512	0
-549532491	0	1398030671	979751771	0	700.289	18.3547	1439.84	0.932327	0	0.361615	0	64	0
-734616087	0	1398030671	979751771	0	707.301	18.6427	1450.67	0.932328	0	0.361615	0	64	0
-712002707	0	1398030671	1850795370	0	701.296	5.02154	1440.11	0.891568	0	-0.452886	0	64	0
-1430885311	0	1398030671	1850795370	0	700.422	5.02704	1438.88	0.950796	0	0.309816	0	64	0
-890088909	0	1398030671	1850795370	0	700.07	5.04198	1440.99	0.950796	0	0.309816	0	64	0
-1550146527	0	1398030671	1850795370	0	699.18	5.03761	1439.76	0.886995	0	-0.461779	0	64	0
-574540939	0	1398030671	1850795370	0	708.477	5.02196	1450.83	0.953847	0	0.300293	0	64	0
-1022941463	0	1398030671	1850795370	0	707.621	5.0285	1449.58	0.955337	0	0.29552	0	64	0
-746103556	0	1398030671	1850795370	0	706.371	5.03907	1450.45	0.955337	0	0.295519	0	64	0
-1051569793	0	1398030671	1850795370	0	707.226	5.03604	1451.69	0.953847	0	0.300293	0	64	0
-1062411860	0	1398030671	-1463148392	0	691.138	9.22923	1438.7	0.632119	0.0328838	0.766574	-0.108201	200	0
-1597954349	0	1398030671	1584967095	0	692.606	9.00226	1438.48	0.640826	0.0338641	0.759195	-0.108706	200	0
-1494333079	0	1398030671	317899116	0	740.257	4.54249	1438.11	1	0	0	0	64	0
-1995666220	0	1398030671	128813259	0	734.72	4.17	1432.73	0.722988	0.0667761	0.678631	-0.110854	200	0
-1741796873	0	1398030671	128813259	0	740.668	3.97632	1450.54	0.539947	0.0250031	0.841209	0.0141004	200	0
-171450561	0	1398030671	-387618107	0	786.986	5.92007	1447.68	1	0	0	0	64	0
-630112705	0	1398030671	-618512077	0	748.81	12.0305	1403.21	0.324796	0	0.945784	0	32	0
-605434053	0	1398030671	-618512077	0	744.021	12.0607	1401.47	0.0407848	0	0.999168	0	32	0
-722046519	0	1398030671	-1052518178	0	804.778	15.9587	1312.58	0.480124	0	0.8772	0	32	0
-824572499	0	1398030671	-1052518178	0	799.439	16.0793	1309.42	0.209233	0	0.977866	0	32	0
-156408909	0	1398030671	-1052518178	0	808.91	18.1478	1301.17	0.786917	0	-0.617059	0	32	0
-118838456	0	1398030671	-1052518178	0	800.258	16.7674	1294.76	0.889293	0	0.457338	0	32	0
-323642732	0	1398030671	-1052518178	0	811.053	17.559	1310.52	1	0	0	0	32	0
-244532829	0	1398030671	11720885	0	717.853	27.4869	1189.41	1	0	0	0	256	0
-494232928	0	1398030671	11720885	0	732.683	10.2267	1233.57	0.751806	0	0.659385	0	256	0
-1330411725	0	1398030671	11720885	0	749.108	9.26539	1185.67	0.7991	0	-0.601198	0	256	0
-1970557600	0	1398030671	1584577649	0	718.816	7.57308	1226.93	0.169967	0	0.98545	0	256	0
-1214467519	0	1398030671	1911385750	0	718.633	3.75	1227.24	1	0	0	0	64	0
-989239301	0	1398030671	658807047	0	733.253	27.9514	1233.68	1	0	0	0	64	0
-1267771790	0	1398030671	658807047	0	749.095	26.6554	1186.02	1	0	0	0	64	0
-239584633	0	1398030671	658807047	0	718.118	45.1709	1189.62	1	0	0	0	64	0
-1587201659	0	1398030671	853530018	0	743.292	1.78727	1241.53	1	0	0	0	128	0
-1235937317	0	1398030671	251799198	0	768.647	3.29697	1423.85	1	0	0	0	128	0
-892953927	0	1398030671	553534440	0	694.556	5.2251	1366.99	1	0	0	0	128	0
-1852564837	0	1398030671	102856583	0	799.141	3.75	1305.05	1	0	0	0	128	0
-1452067074	0	1398030671	-841076727	0	896.989	3.75	1198.43	1	0	0	0	128	0
-515062238	0	1398030671	994373684	0	842.007	3.75	1186.74	1	0	0	0	128	0
-358580827	0	1398030671	994373684	0	661.214	3.75	1170.94	1	0	0	0	128	0
-243243818	0	1398030671	-1268383286	0	626.185	-4.64429	1198.03	0.972514	0	0.232843	0	64	0
-894786465	0	1398030671	-767200285	0	640.096	2.37834	1198.6	0.965467	0.106632	0.236266	0.0260946	64	0
-1661292222	0	1398030671	-767200285	0	617.792	3.22743	1199.44	0.906065	-0.0473244	-0.412011	0.0839824	64	0
-1310924689	0	1398030671	-767200285	0	628.078	3.75	1206.31	0.913419	0.0206797	0.403386	0.0501762	64	0
-698039707	0	1398030671	128813259	0	621.716	3.54602	1200.94	0.873198	0.0876121	-0.47703	0.0478627	200	0
-1741740505	0	1398030671	-365452167	0	634.465	3.5601	1195.56	0.923816	-0.0438473	0.363639	-0.111393	200	0
