shared_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	radius	portal_layout_crc
h	i	f	f	f	f	f	f	f	f	i
706713468	0	4064.23	2.45195	4096.07	0.707108	0	-0.707106	0	128	0
-56930342	0	4060.23	2.20195	4096.07	0.707108	0	-0.707106	0	200	0
1586615396	0	4074.23	2.20195	4096.07	0.707108	0	-0.707106	0	200	0
358492196	0	4110	1.18556	4099	1	0	0	0	200	0
-56930342	0	4088.23	2.20195	4096.07	0.707108	0	-0.707106	0	200	0
706713468	0	4068.23	2.45195	4096.07	0.707108	0	-0.707106	0	128	0
706713468	0	4072.23	2.45195	4096.07	0.707108	0	-0.707106	0	128	0
706713468	0	4076.23	0.631297	4096.07	0.707108	0	-0.707106	0	128	0
706713468	0	4080.23	0.631297	4096.07	0.707108	0	-0.707106	0	128	0
706713468	0	4084.23	0.631297	4096.07	0.707108	0	-0.707106	0	128	0
706713468	0	4088.23	0.716641	4096.07	0.707108	0	-0.707106	0	128	0
706713468	0	4060.23	2.5373	4096.07	0.707108	0	-0.707106	0	128	0
-464174801	0	4092	4	4080	0.83941	0	-0.543499	0	200	0
1475245466	0	4038.23	0	4096.07	0.707109	0	0.707105	0	512	1754081663
712069468	1	0	0	0	1	0	0	0	0	0
712069468	2	0	0	0	1	0	0	0	0	0
712069468	3	0	0	0	1	0	0	0	0	0
712069468	4	0	0	0	1	0	0	0	0	0
712069468	5	0	0	0	1	0	0	0	0	0
712069468	6	0	0	0	1	0	0	0	0	0
712069468	7	0	0	0	1	0	0	0	0	0
712069468	8	0	0	0	1	0	0	0	0	0
712069468	9	0	0	0	1	0	0	0	0	0
449768177	0	4068	-5.63671	4088	1	0	0	0	200	0
449768177	0	4068	-5.63671	4104	1	0	0	0	200	0
1400355717	0	4091.23	-1.4811	4096.07	0.707108	0	0.707106	0	200	0
-492825569	0	4088.14	6.82097	4096.02	1	0	0	0	50	0
449768177	0	4100	-7.97051	4088	0.707107	0	-0.707107	0	200	0
449768177	0	4100	-7.97051	4104	0.707107	0	-0.707107	0	200	0
449768177	0	4116	-7.97051	4104	0.707107	0	-0.707107	0	200	0
449768177	0	4116	-7.97051	4088	0.707107	0	-0.707107	0	200	0
1456013537	0	4156	-1.6	4096	0.707107	0	-0.707107	0	128	0
1456013537	0	4108	-1.6	4112	1	0	0	0	128	0
1456013537	0	4108	-1.6	4080	3.12924e-007	0	1	0	128	0
-1506060227	0	4156	0	4112	0.707107	0	-0.707107	0	128	0
-1506060227	0	4156	0	4080	0.707107	0	-0.707107	0	128	0
-1506060227	0	4092	0	4112	1	0	2.90964e-007	0	128	0
-1506060227	0	4092	0	4080	1	0	2.90964e-007	0	128	0
1456013537	0	4140	-1.6	4080	3.12924e-007	0	1	0	128	0
449768177	0	4132	-7.97051	4088	0.707107	0	-0.707107	0	200	0
449768177	0	4148	-7.97051	4088	0.707107	0	-0.707107	0	200	0
449768177	0	4148	-7.97051	4104	0.707107	0	-0.707107	0	200	0
1456013537	0	4140	-1.6	4112	1	0	0	0	128	0
