objid	container	type	shared_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	radius	portal_layout_crc
i	i	i	h	i	f	f	f	f	f	f	f	f	i
-1218653237	0	1398030671	-1969048805	0	1478.96	4.00621	1342.8	0.92388	0	-0.382683	0	200	0
-1766072328	0	1398030671	-1969048805	0	1471.27	4.00136	1342.01	0.92388	0	0.382683	0	200	0
-1603835445	0	1398030671	-1969048805	0	1473.17	4.00595	1332.78	0.707107	0	-0.707106	0	200	0
-388446909	0	1398030671	-917858242	0	1479.01	4.02425	1340.57	0.92388	0	0.382683	0	200	0
-2039419348	0	1398030671	-1969048805	0	1472.17	4	1337.76	1	0	0	0	200	0
-670944330	0	1398030671	-1499634350	0	1479.08	4.02554	1336.99	1	0	0	0	200	0
-1782365796	0	1398030671	-917858242	0	1474.81	4	1342.26	1	0	0	0	200	0
-488410925	0	1398030671	-1969048805	0	1478.31	4.00752	1333.4	-0.382685	0	0.923879	0	200	0
-264427089	0	1398030671	-917858242	0	1468.67	4	1334.96	0.92388	0	0.382683	0	200	0
-1309805867	0	1398030671	-1085565655	0	1469.7	4	1339.17	1	0	0	0	200	0
-2136524647	0	1398030671	817625709	0	1475.52	4	1331.92	1	0	0	0	200	0
-1320538237	0	1398030671	-344045339	0	1475.1	4	1338.62	1	0	0	0	200	0
-761889374	0	1398030671	-344045339	0	1475.88	4.00021	1338.12	0.92388	0	0.382683	0	200	0
-1593507746	0	1398030671	-344045339	0	1474.27	4	1338.18	0.92388	0	-0.382683	0	200	0
-1710163879	0	1398030671	-344045339	0	1475.04	4	1336.84	0	0	1	0	200	0
-710149435	0	1398030671	-344045339	0	1475.83	4	1337.17	0.382683	0	0.92388	0	200	0
-515382975	0	1398030671	-344045339	0	1474.26	4	1337.14	-0.382683	0	0.92388	0	200	0
-1654781175	0	1398030671	-1377649953	0	1471.99	4	1334.89	0.92388	0	-0.382683	0	200	0
-2058146193	0	1398030671	-132909641	0	1474.94	4	1335.13	1	0	0	0	64	0
-939366574	0	1398030671	-1377649953	0	1477.7	4.00624	1337.84	1	0	0	0	200	0
-1323178836	0	1398030671	-1377649953	0	1473.15	3.73739	1344.8	0.694381	-0.133543	0.704245	0.0635538	200	0
-1999774723	0	1398030671	-1377649953	0	1475.4	3.78366	1327.9	-0.374276	-0.0797741	0.903583	-0.192592	200	0
-1336816118	0	1398030671	2142642483	0	1447.34	3.91156	1361.9	1	0	0	0	200	0
-1401097262	0	1398030671	-523525511	0	1444.3	5	1386.9	0.946042	0	-0.324043	0	64	0
-856214961	0	1398030671	-399987886	0	1442.66	6.52866	1393.19	-0.223243	-0.222692	0.671091	-0.670974	64	0
-1265861816	0	1398030671	-155842004	0	1426.7	3.71201	1408.98	0.98635	-0.0691575	-0.149072	0.0104521	200	0
-2036544191	0	1398030671	-618393434	0	1387.99	7.32835	1383.74	1	0	0	0	200	0
-1021570561	0	1398030671	-618393434	0	1437.78	5.714	1391.72	0.962425	0	-0.271547	0	200	0
-250881659	0	1398030671	-155842004	0	1428.82	4	1400.47	0.975897	0	0.21823	0	200	0
-655660556	0	1398030671	-155842004	0	1430.9	4	1406.42	-0.523366	0	0.852108	0	200	0
-875673973	0	1398030671	-155842004	0	1422.08	4	1407.37	0.972407	-0.0680204	-0.22256	-0.0162857	200	0
-38226661	0	1398030671	-155842004	0	1424.15	4	1399.26	0.783822	0	-0.620986	0	200	0
-1585903606	0	1398030671	-815635405	0	1426.49	4	1405.44	1	0	0	0	200	0
-1354908541	0	1398030671	1653472981	0	1432.02	4.04809	1401.69	0.908966	0	-0.416871	0	200	0
-925198519	0	1398030671	1218668116	0	1420.25	4	1398.3	1	0	0	0	200	0
-907884989	0	1398030671	-1546319292	0	1420.91	4.00066	1402.29	1	0	0	0	200	0
-993737649	0	1398030671	1907162665	0	1422.45	4	1400.81	0.138754	0	0.990327	0	200	0
-1120761929	0	1398030671	-1978994223	0	1420.88	4.6883	1413.93	0.997551	-0.0699428	0	0	200	0
-996754587	0	1398030671	-1978994223	0	1437.33	4.25716	1407.82	0.222896	-0.0440241	0.964987	0.13107	200	0
-1822050718	0	1398030671	1907162665	0	1417.38	4.00273	1399.17	0.510525	0	0.859862	0	200	0
-487488704	0	1398030671	1653472981	0	1430.35	4.2608	1423.84	-0.176744	-0.0507797	0.980322	-0.0717723	200	0
-287248537	0	1398030671	110594728	0	1420.5	2.33872	1390.17	0.921061	0	-0.389418	0	200	0
-1519672968	0	1398030671	-815635405	0	1406.35	4.65366	1375.48	-0.689498	0	0.724287	0	200	0
-637182242	0	1398030671	1218668116	0	1415.66	4	1389.61	0.973666	0	-0.227977	0	200	0
-1558796433	0	1398030671	1653472981	0	1416.64	4.00544	1376.09	0.9998	0	-0.0199991	0	200	0
-1066656060	0	1398030671	-1978994223	0	1408.19	4.1079	1380.29	-0.0766484	0.0303149	0.988098	0.129878	200	0
-758785611	0	1398030671	-155842004	0	1402.3	4.8488	1375.08	0.973484	0.0336837	-0.223636	-0.0343814	200	0
-795278232	0	1398030671	-1546319292	0	1407.05	4	1384.84	1	0	0	0	200	0
-1722186488	0	1398030671	-1546319292	0	1407.57	5	1365.18	1	0	0	0	200	0
-1378006521	0	1398030671	-1546319292	0	1393.59	4.00186	1376.17	0.958244	0	-0.285952	0	200	0
-1019825401	0	1398030671	1653472981	0	1398.89	4.01915	1384.33	0.94441	0	0.328769	0	200	0
-285184079	0	1398030671	1653472981	0	1406.16	4.45072	1398.85	0.890773	-0.0313803	-0.44734	0.0736635	200	0
-2058557314	0	1398030671	-155842004	0	1411.83	4.71156	1373.76	0.0175467	0.0980292	0.992769	0.0670217	200	0
-669844571	0	1398030671	-1978994223	0	1426.33	5.77978	1405.12	0.997551	-0.069943	0	0	200	0
-404644156	0	1398030671	-1978994223	0	1410.81	5	1371.93	0.973145	-0.207418	-0.0995889	-0.00698261	200	0
-1448311438	0	1398030671	-1499634350	0	1421.62	4.00049	1403.5	0.879969	0	0.475031	0	200	0
-277716857	0	1398030671	-851430983	0	1312.35	14.5126	1428.95	0.872745	0	-0.488177	0	200	0
-264364757	0	1398030671	722536818	0	1319.54	5	1414.9	1	0	0	0	200	0
-242906097	0	1398030671	722536818	0	1321.32	2.60225	1420.43	0.388684	0	0.921371	0	200	0
