Name	Description	Planet	Appearance	X	Y	Z
s	s	s	s	f	f[0]	f
@clientpoi_n:hideout	@clientpoi_d:hideout	corellia		-6584	0	5915
@clientpoi_n:corsecbase	@clientpoi_d:corsecbase	corellia		5291	0	1494
@clientpoi_n:grandtheater	@clientpoi_d:grandtheater	corellia		-5421	0	-6212
@clientpoi_n:crystalfountain	@clientpoi_d:crystalfountain	corellia		6760	0	-5617
@clientpoi_n:agrilat	@clientpoi_d:agrilat	corellia		1402	0	3802
@clientpoi_n:drall	@clientpoi_d:drall	corellia		1042	0	4193
@clientpoi_n:nyax	@clientpoi_d:nyax	corellia		1414	0	-317
@clientpoi_n:stronghold	@clientpoi_d:stronghold	corellia		4651	0	-5617
@clientpoi_n:afarathu	@clientpoi_d:afarathu	corellia		-2483	0	2907
@clientpoi_n:dantari1	@clientpoi_d:dantari1	dantooine		-3929	0	-5632
@clientpoi_n:dantari2	@clientpoi_d:dantari2	dantooine		-7144	0	-1053
@clientpoi_n:dantari3	@clientpoi_d:dantari3	dantooine		5655	0	-589
@clientpoi_n:abandoned	@clientpoi_d:abandoned	dantooine		-6858	0	5725
@clientpoi_n:jeditemple	@clientpoi_d:jeditemple	dantooine		4258	0	5374
@clientpoi_n:cystalhunter	@clientpoi_d:crystalhunter	dantooine		-6259	0	7336
@clientpoi_n:janta	@clientpoi_d:janta	dantooine		6994	0	-4110
@clientpoi_n:mokk	@clientpoi_d:mokk	dantooine		-7258	0	-3320
@clientpoi_n:kunga	@clientpoi_d:kunga	dantooine		-368	0	-240
@clientpoi_n:warren	@clientpoi_d:warren	dantooine		-580	0	-3763
@clientpoi_n:prison	@clientpoi_d:prison	dathomir		-6091	0	1010
@clientpoi_n:lessersarlacc	@clientpoi_d:lessersarlacc	dathomir		-2091	0	3177
@clientpoi_n:dathpod	@clientpoi_d:dathpod	dathomir		-4446	0	596
@clientpoi_n:mistyfalls	@clientpoi_d:mistyfalls	dathomir		3566	0	1560
@clientpoi_n:tarpit	@clientpoi_d:tarpit	dathomir		651	0	-4888
@clientpoi_n:nightsister	@clientpoi_d:nightsister	dathomir		-3946	0	-50
@clientpoi_n:singing	@clientpoi_d:singing	dathomir		678	0	4079
@clientpoi_n:nightvssing	@clientpoi_d:nightvssing	dathomir		-2450	0	1521
@clientpoi_n:nightspider	@clientpoi_d:nightspider	dathomir		-1219	0	6262
@clientpoi_n:slavecamp	@clientpoi_d:slavecampe	dathomir		2428	0	-1701
@clientpoi_n:tree1	@clientpoi_d:tree1	endor		6	0	-5
@clientpoi_n:tree2	@clientpoi_d:tree2	endor		4661	0	-2425
@clientpoi_n:lake1	@clientpoi_d:lake1	endor		1578	0	-3271
@clientpoi_n:lake2	@clientpoi_d:lake2	endor		-605	0	-4940
@clientpoi_n:dulok1	@clientpoi_d:dulok1	endor		5921	0	-2514
@clientpoi_n:dulok2	@clientpoi_d:dulok2	endor		-1287	0	2904
@clientpoi_n:marauder	@clientpoi_d:marauder	endor		-4838	0	-2339
@clientpoi_n:korga	@clientpoi_d:korga	endor		2286	0	3459
