Environment Family Name	Weather Index	Gradient Sky Texture (256x256 dds)	Cloud Layer Bottom Shader (sht)	Cloud Layer Bottom Shader Size	Cloud Layer Bottom Speed	Cloud Layer Top Shader (sht)	Cloud Layer Top Shader Size	Cloud Layer Top Speed	Lighting Color Ramps (256x8 tga)	Shadows Enabled	Fog Enabled	Minimum Fog Density	Maximum Fog Density	Attached Camera AppearanceTemplate	Day Environment Map (dds)	Night Environment Map (dds)	Day Ambient Sound 1 (2d .snd)	Day Ambient Sound 2 (2d .snd)	Night Ambient Sound 1 (2d .snd)	Night Ambient Sound 2 (2d .snd)	First Music (2d .snd)	Sunrise Music (2d .snd)	Sunset Music (2d .snd)	Wind Speed Scale
s	I	s	s	f	f	s	f	f	s	I	I	f	f	s	s	s	s	s	s	s	s	s	s	f
default	0	texture/grad_sky_tato.dds	shader/cloud_bottom.sht	10	0.5	shader/cloud_top.sht	1	3	terrain/colorramp/tatooine_global0.tga	1	1	0.1	0.0015		texture/env_theed.dds	texture/env_nboo_theedwater.dds		sound/amb_crowd_cheering_lp.snd		sound/amb_crowd_booing_lp.snd	sound/music_int_accepted_imperial.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	1
default	1	texture/grad_sky_tato.dds		2	3	shader/cloudtile_lok_n.sht	2	1	terrain/colorramp/tatooine_global0.tga	1	1	0.01	0.01	appearance/pt_rain_sheet_verylight.prt	texture/env_theed.dds	texture/env_nboo_theedwater.dds	sound/wtr_light_rain_large_lp.snd		sound/wtr_light_rain_large_lp.snd		sound/music_int_accepted_imperial.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	2
default	2		shader/cloudtile_n.sht	2	3		2	1	terrain/colorramp/09_default1.tga	0	1	0.05	0.05	appearance/pt_rain_sheet_light.prt	texture/env_dsrt_bright.dds	texture/env_agrilat_swamp.dds	sound/wtr_heavy_rain_large_lp.snd		sound/wtr_heavy_rain_large_lp.snd		sound/music_darth_vader_theme.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	3
default	3		shader/cloudtile_n.sht	2	3	shader/cloudtile_lok_n.sht	2	1	terrain/colorramp/09_default1.tga	0	1	0.05	0.05	appearance/pt_rain_sheet_heavy.prt	texture/env_dsrt_bright.dds	texture/env_agrilat_swamp.dds	sound/wtr_hail_storm_large_lp.snd		sound/wtr_hail_storm_large_lp.snd		sound/music_event_danger.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	4
hill	0	texture/grad_sky_tato.dds	shader/cloudtile_n.sht	2	3		2	1	terrain/colorramp/tatooine_global0.tga	1	1	0.0015	0.0015		texture/env_theed.dds	texture/env_nboo_theedwater.dds	sound/amb_forest_outside.snd		sound/amb_forest_night.snd		sound/music_int_accepted_imperial.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	1
hill	1	texture/grad_sky_tato.dds		2	3	shader/cloudtile_lok_n.sht	2	1	terrain/colorramp/tatooine_global0.tga	1	1	0.01	0.01	appearance/pt_rain_sheet_verylight.prt	texture/env_theed.dds	texture/env_nboo_theedwater.dds	sound/wtr_light_rain_large_lp.snd		sound/wtr_light_rain_large_lp.snd		sound/music_int_accepted_imperial.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	2
hill	2		shader/cloudtile_n.sht	2	3		2	1	terrain/colorramp/09_default1.tga	0	1	0.05	0.05	appearance/pt_rain_sheet_light.prt	texture/env_dsrt_bright.dds	texture/env_agrilat_swamp.dds	sound/wtr_heavy_rain_large_lp.snd		sound/wtr_heavy_rain_large_lp.snd		sound/music_darth_vader_theme.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	3
hill	3		shader/cloudtile_n.sht	2	3	shader/cloudtile_lok_n.sht	2	1	terrain/colorramp/09_default1.tga	0	1	0.05	0.05	appearance/pt_rain_sheet_heavy.prt	texture/env_dsrt_bright.dds	texture/env_agrilat_swamp.dds	sound/wtr_hail_storm_large_lp.snd		sound/wtr_hail_storm_large_lp.snd		sound/music_event_danger.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	4
swampy	0	texture/grad_sky_tato.dds	shader/cloudtile_n.sht	2	3		2	1	terrain/colorramp/tatooine_global0.tga	1	1	0.0015	0.0015		texture/env_theed.dds	texture/env_nboo_theedwater.dds	sound/amb_forest_outside.snd		sound/amb_forest_night.snd		sound/music_int_accepted_imperial.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	1
swampy	1	texture/grad_sky_tato.dds		2	3	shader/cloudtile_lok_n.sht	2	1	terrain/colorramp/tatooine_global0.tga	1	1	0.01	0.01	appearance/pt_rain_sheet_verylight.prt	texture/env_theed.dds	texture/env_nboo_theedwater.dds	sound/wtr_light_rain_large_lp.snd		sound/wtr_light_rain_large_lp.snd		sound/music_int_accepted_imperial.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	2
swampy	2		shader/cloudtile_n.sht	2	3		2	1	terrain/colorramp/09_default1.tga	0	1	0.05	0.05	appearance/pt_rain_sheet_light.prt	texture/env_dsrt_bright.dds	texture/env_agrilat_swamp.dds	sound/wtr_heavy_rain_large_lp.snd		sound/wtr_heavy_rain_large_lp.snd		sound/music_darth_vader_theme.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	3
swampy	3		shader/cloudtile_n.sht	2	3	shader/cloudtile_lok_n.sht	2	1	terrain/colorramp/09_default1.tga	0	1	0.05	0.05	appearance/pt_rain_sheet_heavy.prt	texture/env_dsrt_bright.dds	texture/env_agrilat_swamp.dds	sound/wtr_hail_storm_large_lp.snd		sound/wtr_hail_storm_large_lp.snd		sound/music_event_danger.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	4
