Environment Family Name	Weather Index	Gradient Sky Texture (256x256 dds)	Cloud Layer Bottom Shader (sht)	Cloud Layer Bottom Shader Size	Cloud Layer Bottom Speed	Cloud Layer Top Shader (sht)	Cloud Layer Top Shader Size	Cloud Layer Top Speed	Lighting Color Ramps (256x8 tga)	Shadows Enabled	Fog Enabled	Minimum Fog Density	Maximum Fog Density	Attached Camera AppearanceTemplate	Day Environment Map (dds)	Night Environment Map (dds)	Day Ambient Sound 1 (2d .snd)	Day Ambient Sound 2 (2d .snd)	Night Ambient Sound 1 (2d .snd)	Night Ambient Sound 2 (2d .snd)	First Music (2d .snd)	Sunrise Music (2d .snd)	Sunset Music (2d .snd)	Wind Speed Scale
s	i	s	s	f	f	s	f	f	s	i	i	f	f	s	s	s	s	s	s	s	s	s	s	f
global	0	texture/grad_sky_talus.dds	shader/cloudtile_talus.sht	40	0.009		100	0.001	terrain/colorramp/talus_global0.tga	1	1	0.007	0.001		texture/env_talus_global_day.dds	texture/env_talus_global_night.dds	sound/amb_forest_outside.snd		sound/amb_forest_outside.snd		sound/music_satisfaction.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	0.5
global	1	texture/grad_sky_rori.dds	shader/cloudtile_n.sht	40	0.009	shader/cloudtile_dath_n.sht	100	0.001	terrain/colorramp/naboo_global1.tga	1	1	0.009	0.004	appearance/pt_rain_sheet_verylight.prt	texture/env_talus_global_day.dds	texture/env_talus_global_night.dds	sound/amb_forest_outside.snd		sound/amb_forest_outside.snd		sound/music_theme_generic_c.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	3
global	2		shader/cloudtile_n.sht	40	0.009	shader/cloudtile_dath_n.sht	100	0.001	terrain/colorramp/naboo_global1.tga	1	1	0.01	0.01	appearance/pt_rain_sheet_verylight.prt	texture/env_talus_global_day.dds	texture/env_talus_global_night.dds	sound/wtr_light_rain_large_lp.snd	sound/wtr_thunderstorm_lgt_os.snd	sound/wtr_light_rain_large_lp.snd	sound/wtr_thunderstorm_lgt_os.snd	sound/mus_kashyyyk_elders_hut	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	5
global	3			40	0.009		100	0.001	terrain/colorramp/naboo_global1.tga	1	1	0.025	0.025	appearance/pt_rain_sheet_light.prt	texture/env_talus_global_day.dds	texture/env_talus_global_night.dds	sound/wtr_heavy_rain_large_lp.snd	sound/wtr_thunderstorm_hvy_os.snd	sound/wtr_heavy_rain_large_lp.snd	sound/wtr_thunderstorm_hvy_os.snd	sound/music_gloom_b.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	7
global	4			40	0.009		100	0.001	terrain/colorramp/naboo_global1.tga	1	1	0.035	0.035	appearance/pt_rain_sheet_heavy.prt	texture/env_talus_global_day.dds	texture/env_talus_global_night.dds	sound/wtr_lightning_storm_lrg_lp.snd		sound/wtr_lightning_storm_lrg_lp.snd		sound/music_gloom_b.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	9
mudflatsfinal	0	texture/grad_sky_talus_mudflats.dds	shader/cloudtile_talus.sht	40	0.009		100	0.001	terrain/colorramp/talus_mudflatsfinal0.tga	1	1	0.012	0.012		texture/env_talus_mudflat_day.dds	texture/env_talus_mudflat_night.dds	sound/amb_swamp_outside.snd		sound/amb_swamp_outside.snd		sound/music_theme_generic_a.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	0.1
mudflatsfinal	1	texture/grad_sky_rori.dds	shader/cloudtile_n.sht	40	0.009	shader/cloudtile_dath_n.sht	100	0.001	terrain/colorramp/naboo_global1.tga	1	1	0.02	0.02	appearance/pt_rain_sheet_verylight.prt	texture/env_talus_mudflat_day.dds	texture/env_talus_mudflat_night.dds	sound/amb_swamp_outside.snd		sound/amb_swamp_outside.snd		sound/music_ambience_swamp.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	0.5
mudflatsfinal	2		shader/cloudtile_n.sht	40	0.009	shader/cloudtile_dath_n.sht	100	0.001	terrain/colorramp/naboo_global1.tga	1	1	0.03	0.03	appearance/pt_rain_sheet_verylight.prt	texture/env_talus_mudflat_day.dds	texture/env_talus_mudflat_night.dds	sound/wtr_light_rain_large_lp.snd	sound/wtr_thunderstorm_lgt_os.snd	sound/wtr_light_rain_large_lp.snd	sound/wtr_thunderstorm_lgt_os.snd	sound/mus_kashyyyk_elders_hut	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	2
mudflatsfinal	3			40	0.009		100	0.001	terrain/colorramp/naboo_global1.tga	1	1	0.04	0.04	appearance/pt_rain_sheet_light.prt	texture/env_talus_mudflat_day.dds	texture/env_talus_mudflat_night.dds	sound/wtr_heavy_rain_large_lp.snd	sound/wtr_thunderstorm_hvy_os.snd	sound/wtr_heavy_rain_large_lp.snd	sound/wtr_thunderstorm_hvy_os.snd	sound/music_gloom_a.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	4
mudflatsfinal	4			40	0.009		100	0.001	terrain/colorramp/naboo_global1.tga	1	1	0.05	0.05	appearance/pt_rain_sheet_heavy.prt	texture/env_talus_mudflat_day.dds	texture/env_talus_mudflat_night.dds	sound/wtr_lightning_storm_lrg_lp.snd		sound/wtr_lightning_storm_lrg_lp.snd		sound/music_gloom_b.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	6
