Environment Family Name	Weather Index	Gradient Sky Texture (256x256 dds)	Cloud Layer Bottom Shader (sht)	Cloud Layer Bottom Shader Size	Cloud Layer Bottom Speed	Cloud Layer Top Shader (sht)	Cloud Layer Top Shader Size	Cloud Layer Top Speed	Lighting Color Ramps (256x8 tga)	Shadows Enabled	Fog Enabled	Minimum Fog Density	Maximum Fog Density	Attached Camera AppearanceTemplate	Day Environment Map (dds)	Night Environment Map (dds)	Day Ambient Sound 1 (2d .snd)	Day Ambient Sound 2 (2d .snd)	Night Ambient Sound 1 (2d .snd)	Night Ambient Sound 2 (2d .snd)	First Music (2d .snd)	Sunrise Music (2d .snd)	Sunset Music (2d .snd)	Wind Speed Scale
s	I	s	s	f	f	s	f	f	s	I	I	f	f	s	s	s	s	s	s	s	s	s	s	f
global	0	texture/grad_sky_corl.dds		45	0.01	shader/cloudtile_corl_n.sht	90	0.01	terrain/colorramp/corellia_global0.tga	1	1	0.0025	0.0025		texture/env_corl_global_day.dds	texture/env_corl_global_night.dds	sound/amb_grassland_outside.snd		sound/amb_grassland_outside.snd		sound/music_theme_corellia.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	0.3
global	1			45	0.01	shader/cloudtile_dath_n.sht	90	0.01	terrain/colorramp/naboo_global1.tga	1	1	0.0025	0.0025		texture/env_corl_global_day.dds	texture/env_corl_global_night.dds	sound/amb_grassland_outside.snd		sound/amb_grassland_outside.snd		sound/music_theme_corellia.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	1
global	2			45	0.01	shader/cloudtile_dath_n.sht	90	0.01	terrain/colorramp/naboo_global1.tga	1	1	0.006	0.006	appearance/pt_rain_sheet_verylight.prt	texture/env_corl_global_day.dds	texture/env_corl_global_night.dds	sound/wtr_light_rain_large_lp.snd	sound/wtr_thunderstorm_lgt_os.snd	sound/wtr_light_rain_large_lp.snd	sound/wtr_thunderstorm_lgt_os.snd	sound/music_gloom_b.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	3
global	3			45	0.01		90	0.01	terrain/colorramp/naboo_global1.tga	0	1	0.009	0.009	appearance/pt_rain_sheet_light.prt	texture/env_corl_global_day.dds	texture/env_corl_global_night.dds	sound/wtr_heavy_rain_large_lp.snd	sound/wtr_thunderstorm_hvy_os.snd	sound/wtr_heavy_rain_large_lp.snd	sound/wtr_thunderstorm_hvy_os.snd	sound/music_gloom_b.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	5
global	4			45	0.01		90	0.01	terrain/colorramp/naboo_global1.tga	0	1	0.025	0.025	appearance/pt_rain_sheet_heavy.prt	texture/env_corl_global_day.dds	texture/env_corl_global_night.dds	sound/wtr_hail_storm_large_lp.snd	sound/wtr_thunderstorm_hvy_os.snd	sound/wtr_hail_storm_large_lp.snd	sound/wtr_thunderstorm_hvy_os.snd	sound/music_gloom_b.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	7
agrilat2	0	texture/grad_sky_agrilat_clr.dds	shader/cloudtile_n.sht	45	0.01	shader/cloudtile_dath_n.sht	90	0.01	terrain/colorramp/corellia_agrilat0.tga	0	1	0.01	0.02		texture/env_corl_agrilat_day.dds	texture/env_corl_agrilat_night.dds	sound/amb_corellia_agrilat_lp.snd	sound/amb_corellia_agrilat_os.snd	sound/amb_corellia_agrilat_lp.snd	sound/amb_corellia_agrilat_os.snd	sound/music_theme_corellia.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	0.2
agrilat2	1			45	0.01	shader/cloudtile_dath_n.sht	90	0.01	terrain/colorramp/naboo_global1.tga	0	1	0.03	0.03		texture/env_corl_agrilat_day.dds	texture/env_corl_agrilat_night.dds	sound/amb_corellia_agrilat_lp.snd	sound/amb_corellia_agrilat_os.snd	sound/amb_corellia_agrilat_lp.snd	sound/amb_corellia_agrilat_os.snd	sound/music_theme_corellia.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	1.75
agrilat2	2			45	0.01	shader/cloudtile_dath_n.sht	90	0.01	terrain/colorramp/naboo_global1.tga	0	1	0.035	0.035	appearance/pt_rain_sheet_verylight.prt	texture/env_corl_agrilat_day.dds	texture/env_corl_agrilat_night.dds	sound/wtr_light_rain_large_lp.snd	sound/wtr_thunderstorm_lgt_os.snd	sound/wtr_light_rain_large_lp.snd	sound/wtr_thunderstorm_lgt_os.snd	sound/music_gloom_b.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	1.25
agrilat2	3			45	0.01		90	0.01	terrain/colorramp/naboo_global1.tga	0	1	0.04	0.04	appearance/pt_rain_sheet_light.prt	texture/env_corl_agrilat_day.dds	texture/env_corl_agrilat_night.dds	sound/wtr_heavy_rain_large_lp.snd	sound/wtr_thunderstorm_hvy_os.snd	sound/wtr_heavy_rain_large_lp.snd	sound/wtr_thunderstorm_hvy_os.snd	sound/music_gloom_b.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	2
agrilat2	4			45	0.01		90	0.01	terrain/colorramp/naboo_global1.tga	0	1	0.05	0.05	appearance/pt_rain_sheet_heavy.prt	texture/env_corl_agrilat_day.dds	texture/env_corl_agrilat_night.dds	sound/wtr_hail_storm_large_lp.snd	sound/wtr_thunderstorm_hvy_os.snd	sound/wtr_hail_storm_large_lp.snd	sound/wtr_thunderstorm_hvy_os.snd	sound/music_gloom_b.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	4
mtns	0	texture/grad_sky_corl.dds		45	0.01	shader/cloudtile_corl_n.sht	90	0.01	terrain/colorramp/corellia_global0.tga	1	1	0.0025	0.0025		texture/env_corl_mountain_day.dds	texture/env_corl_mountain_night.dds	sound/amb_corellia_mountains_lp.snd	sound/amb_corellia_mountains_os.snd	sound/amb_corellia_mountains_lp.snd	sound/amb_corellia_mountains_os.snd	sound/music_theme_generic_c.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	1
mtns	1		shader/cloudtile_n.sht	45	0.01	shader/cloudtile_dath_n.sht	90	0.01	terrain/colorramp/naboo_global1.tga	1	1	0.0025	0.0025		texture/env_corl_mountain_day.dds	texture/env_corl_mountain_night.dds	sound/amb_corellia_mountains_lp.snd	sound/amb_corellia_mountains_os.snd	sound/amb_corellia_mountains_lp.snd	sound/amb_corellia_mountains_os.snd	sound/music_theme_generic_c.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	3
