Environment Family Name	Weather Index	Gradient Sky Texture (256x256 dds)	Cloud Layer Bottom Shader (sht)	Cloud Layer Bottom Shader Size	Cloud Layer Bottom Speed	Cloud Layer Top Shader (sht)	Cloud Layer Top Shader Size	Cloud Layer Top Speed	Lighting Color Ramps (256x8 tga)	Shadows Enabled	Fog Enabled	Minimum Fog Density	Maximum Fog Density	Attached Camera AppearanceTemplate	Day Environment Map (dds)	Night Environment Map (dds)	Day Ambient Sound 1 (2d .snd)	Day Ambient Sound 2 (2d .snd)	Night Ambient Sound 1 (2d .snd)	Night Ambient Sound 2 (2d .snd)	First Music (2d .snd)	Sunrise Music (2d .snd)	Sunset Music (2d .snd)	Wind Speed Scale
s	i	s	s	f	f	s	f	f	s	i	i	f	f	s	s	s	s	s	s	s	s	s	s	f
normal	0	texture/grad_sky_rori.dds		45	0.008		100	0.001	terrain/colorramp/naboo_lianorm_swamp0.tga	1	1	0.0005	0.001	appearance/pt_ground_fog_optimized.prt	texture/env_echo_base_dunes_day.dds	texture/env_echo_base_dunes_night.dds	sound/amb_desert_outside.snd		sound/amb_desert_outside.snd		sound/mus_quest_theme_opening.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	4
normal	1	texture/grad_sky_rori.dds		45	0.008		100	0.001	terrain/colorramp/naboo_lianorm_swamp0.tga	1	1	0.001	0.002	appearance/pt_ground_fog_optimized.prt	texture/env_echo_base_dunes_day.dds	texture/env_echo_base_dunes_night.dds	sound/amb_desert_outside.snd		sound/amb_desert_outside.snd		sound/mus_quest_theme_opening.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	6
normal	2	texture/grad_sky_rori.dds	shader/cloudtile_dath_n.sht	45	0.008	shader/cloudtile_dath_n.sht	100	0.001	terrain/colorramp/naboo_lianorm_swamp0.tga	1	1	0.002	0.002	appearance/pt_ground_fog_optimized.prt	texture/env_echo_base_dunes_day.dds	texture/env_echo_base_dunes_night.dds	sound/wtr_gusting_windstrm_hvy_lp.snd		sound/wtr_gusting_windstrm_hvy_lp.snd		sound/music_gloom_b.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	8
normal	3	texture/grad_sky_rori.dds	shader/cloudtile_dath_n.sht	45	0.013	shader/cloudtile_dath_n.sht	100	0.0001	terrain/colorramp/naboo_lianorm_swamp0.tga	1	1	0.01	0.01	appearance/pt_ground_fog_optimized.prt	texture/env_echo_base_dunes_day.dds	texture/env_echo_base_dunes_night.dds	sound/wtr_gusting_windstrm_hvy_lp.snd		sound/wtr_gusting_windstrm_hvy_lp.snd		sound/music_gloom_b.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	10
normal	4	texture/grad_sky_rori.dds	shader/cloudtile_dath_n.sht	45	0.015	shader/cloudtile_dath_n.sht	100	0.0002	terrain/colorramp/naboo_lianorm_swamp0.tga	0	1	0.03	0.03	appearance/pt_ground_fog_optimized.prt	texture/env_echo_base_dunes_day.dds	texture/env_echo_base_dunes_night.dds	sound/wtr_gusting_sandstorm_hvy_lp.snd		sound/wtr_gusting_sandstorm_hvy_lp.snd		sound/music_gloom_b.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	14
swamp	0	texture/grad_sky_kashyyyk_clearing.dds	shader/cloudtile_dath_n.sht	45	0.007	shader/cloudtile_dath_n.sht	100	0.0001	terrain/colorramp/hoth_global.tga	0	1	0.03	0.03	appearance/pt_fog.prt	texture/env_nboo_gungan_day.dds	texture/env_nboo_gungan_night.dds	sound/amb_swamp_outside.snd		sound/amb_swamp_night.snd		sound/music_explore.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	0.15
swamp	1			45	0.007		100	0.0001	terrain/colorramp/hoth_global.tga	0	1	0.03	0.03	appearance/pt_fog.prt	texture/env_nboo_gungan_day.dds	texture/env_nboo_gungan_night.dds	sound/amb_swamp_outside.snd		sound/amb_swamp_night.snd		sound/music_explore.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	0.5
swamp	2			45	0.007		100	0.0001	terrain/colorramp/hoth_global.tga	0	1	0.03	0.03	appearance/pt_fog.prt	texture/env_nboo_gungan_day.dds	texture/env_nboo_gungan_night.dds	sound/wtr_light_rain_large_lp.snd		sound/wtr_light_rain_large_lp.snd		sound/music_explore.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	1
swamp	3			45	0.007		100	0.0001	terrain/colorramp/hoth_global.tga	0	1	0.03	0.03	appearance/pt_fog.prt	texture/env_nboo_gungan_day.dds	texture/env_nboo_gungan_night.dds	sound/wtr_heavy_rain_large_lp.snd	sound/wtr_thunderstorm_hvy_os.snd	sound/wtr_heavy_rain_large_lp.snd	sound/wtr_thunderstorm_hvy_os.snd	sound/music_explore.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	3
swamp	4			45	0.007		100	0.0001	terrain/colorramp/hoth_global.tga	0	1	0.03	0.03	appearance/pt_fog.prt	texture/env_nboo_gungan_day.dds	texture/env_nboo_gungan_night.dds	sound/wtr_lightning_storm_lrg_lp.snd	sound/wtr_heavy_rain_large_lp.snd	sound/wtr_lightning_storm_lrg_lp.snd	sound/wtr_heavy_rain_large_lp.snd	sound/music_explore.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	5
