Environment Family Name	Weather Index	Gradient Sky Texture (256x256 dds)	Cloud Layer Bottom Shader (sht)	Cloud Layer Bottom Shader Size	Cloud Layer Bottom Speed	Cloud Layer Top Shader (sht)	Cloud Layer Top Shader Size	Cloud Layer Top Speed	Lighting Color Ramps (256x8 tga)	Shadows Enabled	Fog Enabled	Minimum Fog Density	Maximum Fog Density	Attached Camera AppearanceTemplate	Day Environment Map (dds)	Night Environment Map (dds)	Day Ambient Sound 1 (2d .snd)	Day Ambient Sound 2 (2d .snd)	Night Ambient Sound 1 (2d .snd)	Night Ambient Sound 2 (2d .snd)	First Music (2d .snd)	Sunrise Music (2d .snd)	Sunset Music (2d .snd)	Wind Speed Scale
s	I	s	s	f	f	s	f	f	s	I	I	f	f	s	s	s	s	s	s	s	s	s	s	f
main_base	0	texture/grad_sky_dantooine.dds	shader/cloudtile_lok_n.sht	30	0.009	shader/cloudtile_n.sht	100	0.0009	terrain/colorramp/dantooine_global0.tga	1	1	0.002	0.0008		texture/env_dant_global_day.dds	texture/env_dant_global_night.dds	sound/amb_mountains_outside.snd		sound/amb_mountains_outside.snd		sound/music_theme_generic_c.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	0.5
main_base	1			30	0.009	shader/cloudtile_dath_n.sht	100	0.0009	terrain/colorramp/naboo_global1.tga	1	1	0.0075	0.005	appearance/pt_rain_sheet_verylight.prt	texture/env_dant_global_day.dds	texture/env_dant_global_night.dds	sound/amb_mountains_outside.snd		sound/amb_mountains_outside.snd		sound/music_theme_generic_c.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	3
main_base	2			30	0.009	shader/cloudtile_dath_n.sht	100	0.0009	terrain/colorramp/naboo_global1.tga	1	1	0.01	0.01	appearance/pt_rain_sheet_light.prt	texture/env_dant_global_day.dds	texture/env_dant_global_night.dds	sound/wtr_light_rain_large_lp.snd	sound/wtr_thunderstorm_lgt_os.snd	sound/wtr_light_rain_large_lp.snd	sound/wtr_thunderstorm_lgt_os.snd	sound/music_gloom_b.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	7
main_base	3			30	0.009	shader/cloudtile_dath_n.sht	100	0.0009	terrain/colorramp/naboo_global1.tga	0	1	0.025	0.025	appearance/pt_rain_sheet_heavy.prt	texture/env_dant_global_day.dds	texture/env_dant_global_night.dds	sound/wtr_heavy_rain_large_lp.snd	sound/wtr_thunderstorm_hvy_os.snd	sound/wtr_heavy_rain_large_lp.snd	sound/wtr_thunderstorm_hvy_os.snd	sound/music_gloom_b.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	9
main_base	4			30	0.009	shader/cloudtile_dath_n.sht	100	0.0009	terrain/colorramp/naboo_global1.tga	0	1	0.05	0.05	appearance/pt_rain_sheet_heavy.prt	texture/env_dant_global_day.dds	texture/env_dant_global_night.dds	sound/wtr_lightning_storm_lrg_lp.snd		sound/wtr_lightning_storm_lrg_lp.snd		sound/music_gloom_b.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	11
dantari1	0	texture/grad_sky_dantooine.dds	shader/cloudtile_lok_n.sht	30	0.009	shader/cloudtile_n.sht	100	0.0009	terrain/colorramp/dantooine_global0.tga	1	1	0.002	0.0008		texture/env_dant_dantari_day.dds	texture/env_dant_dantari_night.dds	sound/amb_dantooine_dantari1_lp.snd	sound/amb_dantooine_dantari1_os.snd	sound/amb_dantooine_dantari1_lp.snd	sound/amb_dantooine_dantari1_os.snd	sound/music_theme_generic_c.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	0.5
dantari1	1			30	0.009	shader/cloudtile_dath_n.sht	100	0.0009	terrain/colorramp/naboo_global1.tga	1	1	0.0075	0.005	appearance/pt_rain_sheet_verylight.prt	texture/env_dant_dantari_day.dds	texture/env_dant_dantari_night.dds	sound/amb_dantooine_dantari1_lp.snd	sound/amb_dantooine_dantari1_os.snd	sound/amb_dantooine_dantari1_lp.snd	sound/amb_dantooine_dantari1_os.snd	sound/music_theme_generic_c.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	3
dantari1	2			30	0.009	shader/cloudtile_dath_n.sht	100	0.0009	terrain/colorramp/naboo_global1.tga	1	1	0.01	0.01	appearance/pt_rain_sheet_light.prt	texture/env_dant_dantari_day.dds	texture/env_dant_dantari_night.dds	sound/wtr_light_rain_large_lp.snd	sound/wtr_thunderstorm_lgt_os.snd	sound/wtr_light_rain_large_lp.snd	sound/wtr_thunderstorm_lgt_os.snd	sound/music_gloom_b.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	7
dantari1	3			30	0.009	shader/cloudtile_dath_n.sht	100	0.0009	terrain/colorramp/naboo_global1.tga	0	1	0.025	0.025	appearance/pt_rain_sheet_heavy.prt	texture/env_dant_dantari_day.dds	texture/env_dant_dantari_night.dds	sound/wtr_heavy_rain_large_lp.snd	sound/wtr_thunderstorm_hvy_os.snd	sound/wtr_heavy_rain_large_lp.snd	sound/wtr_thunderstorm_hvy_os.snd	sound/music_gloom_b.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	9
dantari1	4			30	0.009	shader/cloudtile_dath_n.sht	100	0.0009	terrain/colorramp/naboo_global1.tga	0	1	0.05	0.05	appearance/pt_rain_sheet_heavy.prt	texture/env_dant_dantari_day.dds	texture/env_dant_dantari_night.dds	sound/wtr_lightning_storm_lrg_lp.snd		sound/wtr_lightning_storm_lrg_lp.snd		sound/music_gloom_b.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	11
