Environment Family Name	Weather Index	Gradient Sky Texture (256x256 dds)	Cloud Layer Bottom Shader (sht)	Cloud Layer Bottom Shader Size	Cloud Layer Bottom Speed	Cloud Layer Top Shader (sht)	Cloud Layer Top Shader Size	Cloud Layer Top Speed	Lighting Color Ramps (256x8 tga)	Shadows Enabled	Fog Enabled	Minimum Fog Density	Maximum Fog Density	Attached Camera AppearanceTemplate	Day Environment Map (dds)	Night Environment Map (dds)	Day Ambient Sound 1 (2d .snd)	Day Ambient Sound 2 (2d .snd)	Night Ambient Sound 1 (2d .snd)	Night Ambient Sound 2 (2d .snd)	First Music (2d .snd)	Sunrise Music (2d .snd)	Sunset Music (2d .snd)	Wind Speed Scale
s	i	s	s	f	f	s	f	f	s	i	i	f	f	s	s	s	s	s	s	s	s	s	s	f
global	0	texture/grad_sky_echo_base_edge.dds	shader/cloudtile_dath_n.sht	45	0.015	shader/cloudtile_dath_n.sht	100	0.0002	terrain/colorramp/hoth_global.tga	1	1	0.03	0.03	appearance/pt_snow_storm_heavy.prt	texture/env_echo_base_edge_day.dds	texture/env_echo_base_edge_day.dds	sound/wtr_sand_tornado_large_lp.snd		sound/wtr_sand_tornado_large_lp.snd		sound/mus_hoth1.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	14
clear	0	texture/grad_sky_echo_base.dds	shader/cloudtile_sml_patch.sht	60	0.008	shader/cloudtile_echo_base_n.sht	80	0.001	terrain/colorramp/hoth_global.tga	1	1	0.001	0.001		texture/env_echo_base_dunes_day.dds	texture/env_echo_base_dunes_day.dds	sound/wtr_gusting_windstrm_hvy_lp.snd		sound/wtr_gusting_windstrm_hvy_lp.snd		sound/mus_hoth1.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	8
clear	1	texture/grad_sky_echo_base.dds	shader/cloudtile_sml_patch.sht	60	0.008	shader/cloudtile_echo_base_n.sht	80	0.001	terrain/colorramp/hoth_global.tga	1	1	0.001	0.001	appearance/pt_snow_falling_light_loop.prt	texture/env_echo_base_dunes_day.dds	texture/env_echo_base_dunes_day.dds	sound/amb_desert_outside.snd		sound/amb_desert_outside.snd		sound/mus_hoth1.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	4
clear	2	texture/grad_sky_echo_base_edge.dds	shader/cloudtile_dath_n.sht	60	0.015	shader/cloudtile_dath_n.sht	100	0.001	terrain/colorramp/hoth_global.tga	0	1	0.017	0.017	appearance/pt_snow_lifeday.prt	texture/env_echo_base_dunes_day.dds	texture/env_echo_base_dunes_day.dds	sound/amb_desert_outside.snd		sound/amb_desert_outside.snd		sound/mus_hoth1.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	4
clear	3	texture/grad_sky_echo_base_edge.dds	shader/cloudtile_dath_n.sht	45	0.015	shader/cloudtile_dath_n.sht	100	0.0002	terrain/colorramp/hoth_global.tga	0	1	0.03	0.03	appearance/pt_snow_storm_heavy.prt	texture/env_echo_base_edge_day.dds	texture/env_echo_base_edge_day.dds	sound/wtr_sand_tornado_large_lp.snd		sound/wtr_sand_tornado_large_lp.snd		sound/mus_hoth1.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	14
clear	4	texture/grad_sky_echo_base_edge.dds	shader/cloudtile_dath_n.sht	45	0.015	shader/cloudtile_dath_n.sht	100	0.0002	terrain/colorramp/hoth_global.tga	0	1	0.03	0.03	appearance/pt_snow_storm_heavy.prt	texture/env_echo_base_edge_day.dds	texture/env_echo_base_edge_day.dds	sound/wtr_sand_tornado_large_lp.snd		sound/wtr_sand_tornado_large_lp.snd		sound/mus_hoth1.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	14
eb	0	texture/grad_sky_echo_base.dds	shader/cloudtile_sml_patch.sht	60	0.008	shader/cloudtile_echo_base_n.sht	80	0.001	terrain/colorramp/hoth_global.tga	1	1	0.001	0.001		texture/env_echo_base_dunes_day.dds	texture/env_echo_base_dunes_day.dds	sound/wtr_gusting_windstrm_hvy_lp.snd		sound/wtr_gusting_windstrm_hvy_lp.snd		sound/mus_npe2_station_combat_lp.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	8
eb	1	texture/grad_sky_echo_base.dds	shader/cloudtile_sml_patch.sht	60	0.008	shader/cloudtile_echo_base_n.sht	80	0.001	terrain/colorramp/hoth_global.tga	1	1	0.001	0.001	appearance/pt_snow_falling_light_loop.prt	texture/env_echo_base_dunes_day.dds	texture/env_echo_base_dunes_day.dds	sound/amb_desert_outside.snd		sound/amb_desert_outside.snd		sound/mus_npe2_station_combat_lp.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	4
eb	2	texture/grad_sky_echo_base_edge.dds	shader/cloudtile_dath_n.sht	60	0.015	shader/cloudtile_dath_n.sht	100	0.001	terrain/colorramp/hoth_global.tga	0	1	0.017	0.017	appearance/pt_snow_lifeday.prt	texture/env_echo_base_dunes_day.dds	texture/env_echo_base_dunes_day.dds	sound/amb_desert_outside.snd		sound/amb_desert_outside.snd		sound/mus_npe2_station_combat_lp.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	4
