Environment Family Name	Weather Index	Gradient Sky Texture (256x256 dds)	Cloud Layer Bottom Shader (sht)	Cloud Layer Bottom Shader Size	Cloud Layer Bottom Speed	Cloud Layer Top Shader (sht)	Cloud Layer Top Shader Size	Cloud Layer Top Speed	Lighting Color Ramps (256x8 tga)	Shadows Enabled	Fog Enabled	Minimum Fog Density	Maximum Fog Density	Attached Camera AppearanceTemplate	Day Environment Map (dds)	Night Environment Map (dds)	Day Ambient Sound 1 (2d .snd)	Day Ambient Sound 2 (2d .snd)	Night Ambient Sound 1 (2d .snd)	Night Ambient Sound 2 (2d .snd)	First Music (2d .snd)	Sunrise Music (2d .snd)	Sunset Music (2d .snd)	Wind Speed Scale
s	I	s	s	f	f	s	f	f	s	I	I	f	f	s	s	s	s	s	s	s	s	s	s	f
mainswamp	0	texture/grad_sky_agrilat_clr.dds	shader/cloudtile_n.sht	30	0.008	shader/cloudtile_dath_n.sht	150	0.0001	terrain/colorramp/storm_3.tga	1	1	0.008	0.005		texture/env_rori_swamp_night.dds	texture/env_rori_swamp_night.dds	sound/amb_kashyyk_wilderness_lgt.snd	sound/amb_kashyyk_wilderness_lgt.snd	sound/amb_kashyyk_wilderness_lgt.snd	sound/amb_kashyyk_wilderness_lgt.snd	sound/mus_kashyyyk_dead_forest.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	0.5
mainswamp	1		shader/cloudtile_n.sht	30	0.008	shader/cloudtile_dath_n.sht	150	0.0001	terrain/colorramp/storm_3.tga	1	1	0.0075	0.0075	appearance/pt_rain_sheet_light.prt	texture/env_rori_swamp_night.dds	texture/env_rori_swamp_night.dds	sound/wtr_light_rain_large_lp.snd	sound/wtr_thunderstorm_lgt_os.snd	sound/wtr_light_rain_large_lp.snd	sound/wtr_thunderstorm_lgt_os.snd	sound/music_gloom_a.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	5
mainswamp	2		shader/cloudtile_n.sht	30	0.008	shader/cloudtile_dath_n.sht	150	0.0001	terrain/colorramp/storm_3.tga	1	1	0.01	0.01	appearance/pt_rain_sheet_light.prt	texture/env_rori_swamp_night.dds	texture/env_rori_swamp_night.dds	sound/wtr_light_rain_large_lp.snd	sound/wtr_thunderstorm_lgt_os.snd	sound/wtr_light_rain_large_lp.snd	sound/wtr_thunderstorm_lgt_os.snd	sound/music_exar_theme.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	7
mainswamp	3			30	0.008		150	0.0001	terrain/colorramp/storm_3.tga	1	1	0.02	0.02	appearance/pt_rain_sheet_light.prt	texture/env_rori_swamp_night.dds	texture/env_rori_swamp_night.dds	sound/wtr_light_rain_large_lp.snd	sound/wtr_thunderstorm_lgt_os.snd	sound/wtr_light_rain_large_lp.snd	sound/wtr_thunderstorm_lgt_os.snd	sound/mus_kashyyyk_dead_forest.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	9
mainswamp	4			30	0.008		150	0.0001	terrain/colorramp/storm_3.tga	1	1	0.03	0.03	appearance/pt_rain_sheet_heavy.prt	texture/env_rori_swamp_night.dds	texture/env_rori_swamp_night.dds	sound/wtr_light_rain_large_lp.snd	sound/wtr_thunderstorm_lgt_os.snd	sound/wtr_light_rain_large_lp.snd	sound/wtr_thunderstorm_lgt_os.snd	sound/mus_kashyyyk_elders_hut.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	11
islands-placeholder	0	texture/grad_sky_agrilat_clr.dds	shader/cloudtile_n.sht	30	0.008	shader/cloudtile_tato_n.sht	150	0.0001	terrain/colorramp/storm_3.tga	1	1	0.01	0.01		texture/env_rori_island_day.dds	texture/env_rori_island_night.dds	sound/amb_kashyyk_wilderness_lgt.snd	sound/wtr_thunderstorm_lgt_os.snd	sound/amb_kashyyk_wilderness_lgt.snd	sound/amb_kashyyk_wilderness_lgt.snd	sound/music_exar_theme.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	0.5
islands-placeholder	1		shader/cloudtile_n.sht	30	0.008	shader/cloudtile_dath_n.sht	150	0.0001	terrain/colorramp/storm_3.tga	1	1	0.01	0.01	appearance/pt_rain_sheet_light.prt	texture/env_rori_island_day.dds	texture/env_rori_island_night.dds	sound/wtr_light_rain_large_lp.snd	sound/wtr_thunderstorm_lgt_os.snd	sound/wtr_light_rain_large_lp.snd	sound/wtr_thunderstorm_lgt_os.snd	sound/music_gloom_a.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	3
islands-placeholder	2		shader/cloudtile_n.sht	30	0.008	shader/cloudtile_dath_n.sht	150	0.0001	terrain/colorramp/storm_3.tga	1	1	0.015	0.015	appearance/pt_rain_sheet_light.prt	texture/env_rori_island_day.dds	texture/env_rori_island_night.dds	sound/wtr_light_rain_large_lp.snd	sound/wtr_thunderstorm_lgt_os.snd	sound/wtr_light_rain_large_lp.snd	sound/wtr_thunderstorm_lgt_os.snd	sound/music_exar_theme.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	7
islands-placeholder	3			30	0.008		150	0.0001	terrain/colorramp/storm_3.tga	1	1	0.02	0.02	appearance/pt_rain_sheet_light.prt	texture/env_rori_island_day.dds	texture/env_rori_island_night.dds	sound/wtr_light_rain_large_lp.snd	sound/wtr_thunderstorm_lgt_os.snd	sound/wtr_light_rain_large_lp.snd	sound/wtr_thunderstorm_lgt_os.snd	sound/mus_kashyyyk_dead_forest.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	9
