Environment Family Name	Weather Index	Gradient Sky Texture (256x256 dds)	Cloud Layer Bottom Shader (sht)	Cloud Layer Bottom Shader Size	Cloud Layer Bottom Speed	Cloud Layer Top Shader (sht)	Cloud Layer Top Shader Size	Cloud Layer Top Speed	Lighting Color Ramps (256x8 tga)	Shadows Enabled	Fog Enabled	Minimum Fog Density	Maximum Fog Density	Attached Camera AppearanceTemplate	Day Environment Map (dds)	Night Environment Map (dds)	Day Ambient Sound 1 (2d .snd)	Day Ambient Sound 2 (2d .snd)	Night Ambient Sound 1 (2d .snd)	Night Ambient Sound 2 (2d .snd)	First Music (2d .snd)	Sunrise Music (2d .snd)	Sunset Music (2d .snd)	Wind Speed Scale
s	I	s	s	f	f	s	f	f	s	I	I	f	f	s	s	s	s	s	s	s	s	s	s	f
global	0	texture/grad_sky_kashyyyk_forest.dds		30	0.006	shader/cloudtile_n.sht	110	0.001	terrain/colorramp/kashyyyk_forestl0.tga	1	1	0.006	0.003		texture/env_kashyyyk_northdungeons.dds	texture/env_kashyyyk_northdungeons.dds	sound/amb_kashyyk_ryratt_trail.snd		sound/amb_kashyyk_ryratt_trail.snd		sound/mus_kashyyyk_rryatt_trail.snd	sound/mus_kashyyyk_rryatt_trail.snd	sound/mus_kashyyyk_rryatt_trail.snd	0.5
global	1	texture/grad_sky_kashyyyk_forest.dds		30	0.006	shader/cloudtile_dath_n.sht	110	0.001	terrain/colorramp/kashyyyk_forestl0.tga	1	1	0.006	0.003		texture/env_kashyyyk_northdungeons.dds	texture/env_kashyyyk_northdungeons.dds	sound/amb_kashyyk_ryratt_trail.snd		sound/amb_kashyyk_ryratt_trail.snd		sound/mus_kashyyyk_rryatt_trail.snd	sound/mus_kashyyyk_rryatt_trail.snd	sound/mus_kashyyyk_rryatt_trail.snd	1
global	2	texture/grad_sky_kashyyyk_forest.dds		30	0.006	shader/cloudtile_dath_n.sht	110	0.001	terrain/colorramp/kashyyyk_forestl0.tga	1	1	0.006	0.003	appearance/pt_rain_sheet_verylight.prt	texture/env_kashyyyk_northdungeons.dds	texture/env_kashyyyk_northdungeons.dds	sound/wtr_light_rain_large_lp.snd		sound/wtr_light_rain_large_lp.snd		sound/mus_kashyyyk_rryatt_trail.snd	sound/mus_kashyyyk_rryatt_trail.snd	sound/mus_kashyyyk_rryatt_trail.snd	3
global	3	texture/grad_sky_kashyyyk_forest.dds		30	0.006		110	0.001	terrain/colorramp/kashyyyk_forestl0.tga	0	1	0.006	0.003	appearance/pt_rain_sheet_light.prt	texture/env_kashyyyk_northdungeons.dds	texture/env_kashyyyk_northdungeons.dds	sound/wtr_heavy_rain_large_lp.snd		sound/wtr_heavy_rain_large_lp.snd		sound/mus_kashyyyk_rryatt_trail.snd	sound/mus_kashyyyk_rryatt_trail.snd	sound/mus_kashyyyk_rryatt_trail.snd	5
global	4	texture/grad_sky_kashyyyk_forest.dds		30	0.006		110	0.001	terrain/colorramp/kashyyyk_forestl0.tga	0	1	0.006	0.003	appearance/pt_rain_sheet_heavy.prt	texture/env_kashyyyk_northdungeons.dds	texture/env_kashyyyk_northdungeons.dds	sound/wtr_hail_storm_large_lp.snd		sound/wtr_hail_storm_large_lp.snd		sound/mus_kashyyyk_rryatt_trail.snd	sound/mus_kashyyyk_rryatt_trail.snd	sound/mus_kashyyyk_rryatt_trail.snd	7
forest	0	texture/grad_sky_kashyyyk_forest.dds		30	0.006	shader/cloudtile_n.sht	110	0.001	terrain/colorramp/kashyyyk_forestl0.tga	1	1	0.006	0.003		texture/env_kashyyyk_northdungeons.dds	texture/env_kashyyyk_northdungeons.dds	sound/amb_kashyyk_ryratt_trail.snd		sound/amb_kashyyk_ryratt_trail.snd		sound/mus_kashyyyk_rryatt_trail.snd	sound/mus_kashyyyk_rryatt_trail.snd	sound/mus_kashyyyk_rryatt_trail.snd	1
forest	1	texture/grad_sky_kashyyyk_forest.dds		30	0.006		110	0.001	terrain/colorramp/kashyyyk_forestl0.tga	1	1	0.006	0.003		texture/env_kashyyyk_northdungeons.dds	texture/env_kashyyyk_northdungeons.dds	sound/amb_kashyyk_ryratt_trail.snd		sound/amb_kashyyk_ryratt_trail.snd		sound/mus_kashyyyk_rryatt_trail.snd	sound/mus_kashyyyk_rryatt_trail.snd	sound/mus_kashyyyk_rryatt_trail.snd	3
forest	2	texture/grad_sky_kashyyyk_forest.dds		30	0.006		110	0.001	terrain/colorramp/kashyyyk_forestl0.tga	1	1	0.006	0.003	appearance/pt_dust_storm_light.prt	texture/env_kashyyyk_northdungeons.dds	texture/env_kashyyyk_northdungeons.dds	sound/wtr_gusting_windstrm_hvy_lp.snd		sound/wtr_gusting_windstrm_hvy_lp.snd		sound/mus_kashyyyk_rryatt_trail.snd	sound/mus_kashyyyk_rryatt_trail.snd	sound/mus_kashyyyk_rryatt_trail.snd	5
forest	3	texture/grad_sky_kashyyyk_forest.dds		30	0.006		110	0.001	terrain/colorramp/kashyyyk_forestl0.tga	0	1	0.006	0.003	appearance/pt_dust_storm_heavy_a1.prt	texture/env_kashyyyk_northdungeons.dds	texture/env_kashyyyk_northdungeons.dds	sound/wtr_gusting_sandstorm_hvy_lp.snd		sound/wtr_gusting_sandstorm_hvy_lp.snd		sound/mus_kashyyyk_rryatt_trail.snd	sound/mus_kashyyyk_rryatt_trail.snd	sound/mus_kashyyyk_rryatt_trail.snd	7
forest	4	texture/grad_sky_kashyyyk_forest.dds		30	0.006		110	0.001	terrain/colorramp/kashyyyk_forestl0.tga	0	1	0.006	0.003	appearance/pt_dust_storm_heavy_a1.prt	texture/env_kashyyyk_northdungeons.dds	texture/env_kashyyyk_northdungeons.dds	sound/wtr_sand_tornado_large_lp.snd		sound/wtr_sand_tornado_large_lp.snd		sound/mus_kashyyyk_rryatt_trail.snd	sound/mus_kashyyyk_rryatt_trail.snd	sound/mus_kashyyyk_rryatt_trail.snd	9
