Environment Family Name	Weather Index	Gradient Sky Texture (256x256 dds)	Cloud Layer Bottom Shader (sht)	Cloud Layer Bottom Shader Size	Cloud Layer Bottom Speed	Cloud Layer Top Shader (sht)	Cloud Layer Top Shader Size	Cloud Layer Top Speed	Lighting Color Ramps (256x8 tga)	Shadows Enabled	Fog Enabled	Minimum Fog Density	Maximum Fog Density	Attached Camera AppearanceTemplate	Day Environment Map (dds)	Night Environment Map (dds)	Day Ambient Sound 1 (2d .snd)	Day Ambient Sound 2 (2d .snd)	Night Ambient Sound 1 (2d .snd)	Night Ambient Sound 2 (2d .snd)	First Music (2d .snd)	Sunrise Music (2d .snd)	Sunset Music (2d .snd)	Wind Speed Scale
s	I	s	s	f	f	s	f	f	s	I	I	f	f	s	s	s	s	s	s	s	s	s	s	f
lvl1	0	texture/grad_sky_kashyyyk_rryatt_lvl1.dds		30	0.006	shader/cloudtile_n.sht	110	0.001	terrain/colorramp/kashyyyk_rryatt_trail_lvl1.tga	1	1	0.006	0.005		texture/env_kashyyyk_rryat1.dds	texture/env_kashyyyk_rryat1.dds	sound/amb_kashyyk_ryratt_trail_lvl01.snd		sound/amb_kashyyk_ryratt_trail_lvl01.snd		sound/mus_kashyyyk_rryatt_trail.snd	sound/mus_kashyyyk_rryatt_trail.snd	sound/mus_kashyyyk_rryatt_trail.snd	1.5
lvl1	1	texture/grad_sky_kashyyyk_rryatt_lvl1.dds		30	0.006	shader/cloudtile_n.sht	110	0.001	terrain/colorramp/kashyyyk_rryatt_trail_lvl1.tga	1	1	0.005	0.005		texture/env_kashyyyk_rryat1.dds	texture/env_kashyyyk_rryat1.dds	sound/amb_kashyyk_ryratt_trail_lvl01.snd		sound/amb_kashyyk_ryratt_trail_lvl01.snd		sound/mus_kashyyyk_rryatt_trail.snd	sound/mus_kashyyyk_rryatt_trail.snd	sound/mus_kashyyyk_rryatt_trail.snd	1
lvl1	2	texture/grad_sky_kashyyyk_rryatt_lvl1.dds		30	0.006	shader/cloudtile_n.sht	110	0.001	terrain/colorramp/kashyyyk_rryatt_trail_lvl1.tga	1	1	0.01	0.01	appearance/pt_rain_sheet_verylight.prt	texture/env_kashyyyk_rryat1.dds	texture/env_kashyyyk_rryat1.dds	sound/wtr_light_rain_large_lp.snd		sound/wtr_light_rain_large_lp.snd		sound/mus_kashyyyk_rryatt_trail.snd	sound/mus_kashyyyk_rryatt_trail.snd	sound/mus_kashyyyk_rryatt_trail.snd	3
lvl1	3	texture/grad_sky_kashyyyk_rryatt_lvl1.dds		30	0.006	shader/cloudtile_n.sht	110	0.001	terrain/colorramp/kashyyyk_rryatt_trail_lvl1.tga	0	1	0.025	0.025	appearance/pt_rain_sheet_light.prt	texture/env_kashyyyk_rryat1.dds	texture/env_kashyyyk_rryat1.dds	sound/wtr_heavy_rain_large_lp.snd		sound/wtr_heavy_rain_large_lp.snd		sound/mus_kashyyyk_rryatt_trail.snd	sound/mus_kashyyyk_rryatt_trail.snd	sound/mus_kashyyyk_rryatt_trail.snd	5
lvl1	4	texture/grad_sky_kashyyyk_rryatt_lvl1.dds		30	0.006	shader/cloudtile_n.sht	110	0.001	terrain/colorramp/kashyyyk_rryatt_trail_lvl1.tga	0	1	0.03	0.03	appearance/pt_rain_sheet_heavy.prt	texture/env_kashyyyk_rryat1.dds	texture/env_kashyyyk_rryat1.dds	sound/wtr_hail_storm_large_lp.snd		sound/wtr_hail_storm_large_lp.snd		sound/mus_kashyyyk_rryatt_trail.snd	sound/mus_kashyyyk_rryatt_trail.snd	sound/mus_kashyyyk_rryatt_trail.snd	7
lvl3	0	texture/grad_sky_kashyyyk_rryatt_lvl3.dds		30	0.006	shader/cloudtile_n.sht	110	0.001	terrain/colorramp/kashyyyk_rryatt_trail_lvl3.tga	1	1	0.003	0.0025		texture/env_kashyyyk_rryat3.dds	texture/env_kashyyyk_rryat3.dds	sound/amb_kashyyk_ryratt_trail_lvl03.snd		sound/amb_kashyyk_ryratt_trail_lvl03.snd		sound/mus_kashyyyk_rryatt_trail.snd	sound/mus_kashyyyk_rryatt_trail.snd	sound/mus_kashyyyk_rryatt_trail.snd	1.5
lvl3	1	texture/grad_sky_kashyyyk_rryatt_lvl3.dds		30	0.006	shader/cloudtile_n.sht	110	0.001	terrain/colorramp/kashyyyk_rryatt_trail_lvl3.tga	1	1	0	0.0025		texture/env_kashyyyk_rryat3.dds	texture/env_kashyyyk_rryat3.dds	sound/amb_kashyyk_ryratt_trail_lvl03.snd		sound/amb_kashyyk_ryratt_trail_lvl03.snd		sound/mus_kashyyyk_rryatt_trail.snd	sound/mus_kashyyyk_rryatt_trail.snd	sound/mus_kashyyyk_rryatt_trail.snd	1
lvl3	2	texture/grad_sky_kashyyyk_rryatt_lvl3.dds		30	0.006	shader/cloudtile_n.sht	110	0.001	terrain/colorramp/kashyyyk_rryatt_trail_lvl3.tga	1	1	0	0.0025	appearance/pt_rain_sheet_verylight.prt	texture/env_kashyyyk_rryat3.dds	texture/env_kashyyyk_rryat3.dds	sound/wtr_light_rain_large_lp.snd		sound/wtr_light_rain_large_lp.snd		sound/mus_kashyyyk_rryatt_trail.snd	sound/mus_kashyyyk_rryatt_trail.snd	sound/mus_kashyyyk_rryatt_trail.snd	3
lvl3	3	texture/grad_sky_kashyyyk_rryatt_lvl3.dds		30	0.006	shader/cloudtile_n.sht	110	0.001	terrain/colorramp/kashyyyk_rryatt_trail_lvl3.tga	0	1	0	0.0025	appearance/pt_rain_sheet_light.prt	texture/env_kashyyyk_rryat3.dds	texture/env_kashyyyk_rryat3.dds	sound/wtr_heavy_rain_large_lp.snd		sound/wtr_heavy_rain_large_lp.snd		sound/mus_kashyyyk_rryatt_trail.snd	sound/mus_kashyyyk_rryatt_trail.snd	sound/mus_kashyyyk_rryatt_trail.snd	5
lvl3	4	texture/grad_sky_kashyyyk_rryatt_lvl3.dds		30	0.006	shader/cloudtile_n.sht	110	0.001	terrain/colorramp/kashyyyk_rryatt_trail_lvl3.tga	0	1	0	0.0025	appearance/pt_rain_sheet_heavy.prt	texture/env_kashyyyk_rryat3.dds	texture/env_kashyyyk_rryat3.dds	sound/wtr_hail_storm_large_lp.snd		sound/wtr_hail_storm_large_lp.snd		sound/mus_kashyyyk_rryatt_trail.snd	sound/mus_kashyyyk_rryatt_trail.snd	sound/mus_kashyyyk_rryatt_trail.snd	7
