 	Weather Index	Gradient Sky Texture (256x256 dds)	Cloud Layer Bottom Shader (sht)	Cloud Layer Bottom Shader Size	Cloud Layer Bottom Speed	Cloud Layer Top Shader (sht)	Cloud Layer Top Shader Size	Cloud Layer Top Speed	Lighting Color Ramps (256x8 tga)	Shadows Enabled	Fog Enabled	Minimum Fog Density	Maximum Fog Density	Attached Camera AppearanceTemplate	Day Environment Map (dds)	Night Environment Map (dds)	Day Ambient Sound 1 (2d .snd)	Day Ambient Sound 2 (2d .snd)	Night Ambient Sound 1 (2d .snd)	Night Ambient Sound 2 (2d .snd)	First Music (2d .snd)	Sunrise Music (2d .snd)	Sunset Music (2d .snd)	Wind Speed Scale
s	I	s	s	f	f	s	f	f	s	I	I	f	f	s	s	s	s	s	s	s	s	s	s	f
forest	0	texture/grad_sky_kashyyyk_forest.dds		30	0.006		110	0.001	terrain/colorramp/kashyyyk_forestl0.tga	1	1	0.05	0.003		texture/env_kashyyyk_huntinggrounds6.dds	texture/env_kashyyyk_huntinggrounds6.dds	sound/amb_kashyyk_wilderness_hvy.snd		sound/amb_kashyyk_wilderness_hvy.snd		sound/mus_kashyyyk_elders_hut.snd	sound/mus_kashyyyk_elders_hut.snd	sound/mus_kashyyyk_elders_hut.snd	1
forest	1	texture/grad_sky_kashyyyk_forest.dds		30	0.006		110	0.001	terrain/colorramp/kashyyyk_forestl0.tga	1	1	0.006	0.003		texture/env_kashyyyk_huntinggrounds6.dds	texture/env_kashyyyk_huntinggrounds6.dds	sound/amb_kashyyk_wilderness_hvy.snd		sound/amb_kashyyk_wilderness_hvy.snd		sound/mus_kashyyyk_elders_hut.snd	sound/mus_kashyyyk_elders_hut.snd	sound/mus_kashyyyk_elders_hut.snd	3
forest	2	texture/grad_sky_kashyyyk_forest.dds		30	0.006		110	0.001	terrain/colorramp/kashyyyk_forestl0.tga	1	1	0.006	0.003	appearance/pt_dust_storm_light.prt	texture/env_kashyyyk_huntinggrounds6.dds	texture/env_kashyyyk_huntinggrounds6.dds	sound/wtr_gusting_windstrm_hvy_lp.snd		sound/wtr_gusting_windstrm_hvy_lp.snd		sound/mus_kashyyyk_elders_hut.snd	sound/mus_kashyyyk_elders_hut.snd	sound/mus_kashyyyk_elders_hut.snd	5
forest	3	texture/grad_sky_kashyyyk_forest.dds		30	0.006		110	0.001	terrain/colorramp/kashyyyk_forestl0.tga	0	1	0.006	0.003	appearance/pt_dust_storm_heavy_a1.prt	texture/env_kashyyyk_huntinggrounds6.dds	texture/env_kashyyyk_huntinggrounds6.dds	sound/wtr_gusting_sandstorm_hvy_lp.snd		sound/wtr_gusting_sandstorm_hvy_lp.snd		sound/mus_kashyyyk_elders_hut.snd	sound/mus_kashyyyk_elders_hut.snd	sound/mus_kashyyyk_elders_hut.snd	7
forest	4	texture/grad_sky_kashyyyk_forest.dds		30	0.006		110	0.001	terrain/colorramp/kashyyyk_forestl0.tga	0	1	0.006	0.003	appearance/pt_dust_storm_heavy_a1.prt	texture/env_kashyyyk_huntinggrounds6.dds	texture/env_kashyyyk_huntinggrounds6.dds	sound/wtr_sand_tornado_large_lp.snd		sound/wtr_sand_tornado_large_lp.snd		sound/mus_kashyyyk_elders_hut.snd	sound/mus_kashyyyk_elders_hut.snd	sound/mus_kashyyyk_elders_hut.snd	9
hracca_a	0	texture/grad_sky_kashyyyk_hracca_a.dds		30	0.006		110	0.001	terrain/colorramp/kashyyyk_haracca_fog.tga	1	1	0.01	0.0075	appearance/pt_fog_kashyyyk.prt	texture/env_kashyyyk_huntinggrounds6.dds	texture/env_kashyyyk_huntinggrounds6.dds	sound/amb_kashyyk_wilderness_hvy.snd		sound/amb_kashyyk_wilderness_hvy.snd		sound/mus_kashyyyk_elders_hut.snd	sound/mus_kashyyyk_elders_hut.snd	sound/mus_kashyyyk_elders_hut.snd	1
hracca_a	1	texture/grad_sky_kashyyyk_clearing.dds		30	0.006		110	0.001	terrain/colorramp/kashyyyk_main.tga	1	1	0.004	0.004		texture/env_kashyyyk_huntinggrounds6.dds	texture/env_kashyyyk_huntinggrounds6.dds	sound/amb_kashyyk_wilderness_hvy.snd		sound/amb_kashyyk_wilderness_hvy.snd		sound/mus_kashyyyk_elders_hut.snd	sound/mus_kashyyyk_elders_hut.snd	sound/mus_kashyyyk_elders_hut.snd	3
hracca_a	2			30	0.006		110	0.001	terrain/colorramp/naboo_global1.tga	1	1	0.0076	0.0076		texture/env_kashyyyk_huntinggrounds6.dds	texture/env_kashyyyk_huntinggrounds6.dds	sound/wtr_gusting_windstrm_hvy_lp.snd		sound/wtr_gusting_windstrm_hvy_lp.snd		sound/mus_kashyyyk_elders_hut.snd	sound/mus_kashyyyk_elders_hut.snd	sound/mus_kashyyyk_elders_hut.snd	5
hracca_a	3			30	0.006		110	0.001	terrain/colorramp/naboo_global1.tga	0	1	0.001	0.001		texture/env_kashyyyk_huntinggrounds6.dds	texture/env_kashyyyk_huntinggrounds6.dds	sound/wtr_gusting_sandstorm_hvy_lp.snd		sound/wtr_gusting_sandstorm_hvy_lp.snd		sound/mus_kashyyyk_elders_hut.snd	sound/mus_kashyyyk_elders_hut.snd	sound/mus_kashyyyk_elders_hut.snd	7
