Environment Family Name	Weather Index	Gradient Sky Texture (256x256 dds)	Cloud Layer Bottom Shader (sht)	Cloud Layer Bottom Shader Size	Cloud Layer Bottom Speed	Cloud Layer Top Shader (sht)	Cloud Layer Top Shader Size	Cloud Layer Top Speed	Lighting Color Ramps (256x8 tga)	Shadows Enabled	Fog Enabled	Minimum Fog Density	Maximum Fog Density	Attached Camera AppearanceTemplate	Day Environment Map (dds)	Night Environment Map (dds)	Day Ambient Sound 1 (2d .snd)	Day Ambient Sound 2 (2d .snd)	Night Ambient Sound 1 (2d .snd)	Night Ambient Sound 2 (2d .snd)	First Music (2d .snd)	Sunrise Music (2d .snd)	Sunset Music (2d .snd)	Wind Speed Scale
s	i	s	s	f	f	s	f	f	s	i	i	f	f	s	s	s	s	s	s	s	s	s	s	f
global	0	texture/grad_sky.dds		30	0.006	shader/cloudtile_echo_base_n.sht	110	0.001	terrain/colorramp/endor_global0.tga	1	1	0.0009	0.0019		texture/env_nboo_coast_day.dds	texture/env_nboo_coast_night.dds	sound/amb_forest_outside.snd		sound/amb_forest_night.snd		sound/music_kuat_entry.snd	sound/music_kuat_sunrise.snd	sound/music_kuat_sunset.snd	0.5
global	1			30	0.006	shader/cloudtile_dath_n.sht	110	0.001	terrain/colorramp/naboo_global1.tga	1	1	0.0009	0.0019		texture/env_nboo_coast_day.dds	texture/env_nboo_coast_night.dds	sound/amb_mountains_outside.snd		sound/amb_mountains_outside.snd		sound/music_kuat_entry.snd	sound/music_kuat_sunrise.snd	sound/music_kuat_sunset.snd	1
global	2			30	0.006	shader/cloudtile_dath_n.sht	110	0.001	terrain/colorramp/naboo_global1.tga	1	1	0.01	0.01	appearance/pt_rain_sheet_verylight.prt	texture/env_nboo_coast_day.dds	texture/env_nboo_coast_night.dds	sound/wtr_light_rain_large_lp.snd	sound/wtr_thunderstorm_lgt_os.snd	sound/wtr_light_rain_large_lp.snd	sound/wtr_thunderstorm_lgt_os.snd	sound/music_kuat_entry.snd	sound/music_kuat_sunrise.snd	sound/music_kuat_sunset.snd	3
global	3			30	0.006		110	0.001	terrain/colorramp/naboo_global1.tga	0	1	0.025	0.025	appearance/pt_rain_sheet_light.prt	texture/env_nboo_coast_day.dds	texture/env_nboo_coast_night.dds	sound/wtr_heavy_rain_large_lp.snd	sound/wtr_thunderstorm_hvy_os.snd	sound/wtr_heavy_rain_large_lp.snd	sound/wtr_thunderstorm_hvy_os.snd	sound/music_kuat_entry.snd	sound/music_kuat_sunrise.snd	sound/music_kuat_sunset.snd	5
global	4			30	0.006		110	0.001	terrain/colorramp/naboo_global1.tga	0	1	0.03	0.03	appearance/pt_rain_sheet_heavy.prt	texture/env_nboo_coast_day.dds	texture/env_nboo_coast_night.dds	sound/wtr_hail_storm_large_lp.snd	sound/wtr_thunderstorm_hvy_os.snd	sound/wtr_hail_storm_large_lp.snd	sound/wtr_thunderstorm_hvy_os.snd	sound/music_kuat_entry.snd	sound/music_kuat_sunrise.snd	sound/music_kuat_sunset.snd	7
desert	0	texture/grad_sky.dds		30	0.006	shader/cloudtile_echo_base_n.sht	110	0.001	terrain/colorramp/lok_desert0.tga	1	1	0.0005	0.0009		texture/env_lok_desert_day.dds	texture/env_lok_desert_night.dds	sound/amb_lok_rocky_wastelands_lp.snd		sound/amb_lok_rocky_wastelands_lp.snd		sound/music_kuat_entry.snd	sound/music_kuat_sunrise.snd	sound/music_kuat_sunset.snd	2
desert	1			30	0.006		110	0.001	terrain/colorramp/lok_desert0.tga	1	1	0.0007	0.0013	appearance/pt_dust_storm_light.prt	texture/env_lok_desert_day.dds	texture/env_lok_desert_night.dds	sound/amb_lok_rocky_wastelands_lp.snd		sound/amb_lok_rocky_wastelands_lp.snd		sound/music_kuat_entry.snd	sound/music_kuat_sunrise.snd	sound/music_kuat_sunset.snd	5
desert	2			30	0.006		110	0.001	terrain/colorramp/tatooine_global1.tga	1	1	0.01	0.01	appearance/pt_dust_storm.prt	texture/env_lok_desert_day.dds	texture/env_lok_desert_night.dds	sound/wtr_gusting_windstrm_hvy_lp.snd		sound/wtr_gusting_windstrm_hvy_lp.snd		sound/music_kuat_entry.snd	sound/music_kuat_sunrise.snd	sound/music_kuat_sunset.snd	8
desert	3			30	0.006		110	0.001	terrain/colorramp/tatooine_global1.tga	0	1	0.025	0.025	appearance/pt_dust_storm_heavy.prt	texture/env_lok_desert_day.dds	texture/env_lok_desert_night.dds	sound/wtr_gusting_sandstorm_hvy_lp.snd		sound/wtr_gusting_sandstorm_hvy_lp.snd		sound/music_kuat_entry.snd	sound/music_kuat_sunrise.snd	sound/music_kuat_sunset.snd	11
