Environment Family Name	Weather Index	Gradient Sky Texture (256x256 dds)	Cloud Layer Bottom Shader (sht)	Cloud Layer Bottom Shader Size	Cloud Layer Bottom Speed	Cloud Layer Top Shader (sht)	Cloud Layer Top Shader Size	Cloud Layer Top Speed	Lighting Color Ramps (256x8 tga)	Shadows Enabled	Fog Enabled	Minimum Fog Density	Maximum Fog Density	Attached Camera AppearanceTemplate	Day Environment Map (dds)	Night Environment Map (dds)	Day Ambient Sound 1 (2d .snd)	Day Ambient Sound 2 (2d .snd)	Night Ambient Sound 1 (2d .snd)	Night Ambient Sound 2 (2d .snd)	First Music (2d .snd)	Sunrise Music (2d .snd)	Sunset Music (2d .snd)	Wind Speed Scale
s	I	s	s	f	f	s	f	f	s	I	I	f	f	s	s	s	s	s	s	s	s	s	s	f
global	0	texture/grad_sky_lok.dds	shader/cloudtile_lok_n.sht	50	0.009	shader/cloudtile_lok_n.sht	100	0.001	terrain/colorramp/lok_global0.tga	1	1	0.006	0.003		texture/env_lok_global_day.dds	texture/env_tato_dsrt_night.dds	sound/amb_desert_outside.snd		sound/amb_desert_outside.snd		sound/music_gloom_a.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	1
global	1	texture/grad_sky_tato1.dds		50	0.009	shader/cloudtile_n.sht	100	0.001	terrain/colorramp/lok_global0.tga	1	1	0.005	0.005	appearance/pt_dust_storm_light.prt	texture/env_lok_global_day.dds	texture/env_tato_dsrt_night.dds	sound/amb_desert_outside.snd		sound/amb_desert_outside.snd		sound/music_gloom_a.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	3
global	2			50	0.009		100	0.001	terrain/colorramp/tatooine_global1.tga	1	1	0.008	0.008	appearance/pt_dust_storm.prt	texture/env_lok_global_day.dds	texture/env_tato_dsrt_night.dds	sound/wtr_gusting_windstrm_hvy_lp.snd		sound/wtr_gusting_windstrm_hvy_lp.snd		sound/music_gloom_b.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	5
global	3			50	0.009		100	0.001	terrain/colorramp/tatooine_global1.tga	0	1	0.025	0.025	appearance/pt_dust_storm_heavy.prt	texture/env_lok_global_day.dds	texture/env_tato_dsrt_night.dds	sound/wtr_gusting_sandstorm_hvy_lp.snd		sound/wtr_gusting_sandstorm_hvy_lp.snd		sound/music_gloom_b.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	9
global	4			50	0.009		100	0.001	terrain/colorramp/tatooine_global1.tga	0	1	0.05	0.05	appearance/pt_dust_storm_heavy.prt	texture/env_lok_global_day.dds	texture/env_tato_dsrt_night.dds	sound/wtr_sand_tornado_large_lp.snd		sound/wtr_sand_tornado_large_lp.snd		sound/music_gloom_b.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	11
desert	0	texture/grad_sky_lok.dds	shader/cloudtile_lok_n.sht	50	0.009	shader/cloudtile_n.sht	100	0.001	terrain/colorramp/lok_desert0.tga	1	1	0.006	0.003		texture/env_lok_desert_day.dds	texture/env_tato_dsrt_night.dds	sound/amb_lok_rocky_wastelands_lp.snd	sound/amb_lok_rocky_wastelands_os.snd	sound/amb_lok_rocky_wastelands_lp.snd	sound/amb_lok_rocky_wastelands_os.snd	sound/music_gloom_a.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	2
desert	1	texture/grad_sky_tato1.dds	shader/cloudtile_n.sht	50	0.009	shader/cloudtile_n.sht	100	0.001	terrain/colorramp/lok_desert0.tga	1	1	0.006	0.006	appearance/pt_dust_storm_light.prt	texture/env_lok_desert_day.dds	texture/env_tato_dsrt_night.dds	sound/amb_lok_rocky_wastelands_lp.snd	sound/amb_lok_rocky_wastelands_os.snd	sound/amb_lok_rocky_wastelands_lp.snd	sound/amb_lok_rocky_wastelands_os.snd	sound/music_gloom_a.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	5
desert	2			50	0.009		100	0.001	terrain/colorramp/tatooine_global1.tga	1	1	0.01	0.01	appearance/pt_dust_storm.prt	texture/env_lok_desert_day.dds	texture/env_tato_dsrt_night.dds	sound/wtr_gusting_windstrm_hvy_lp.snd		sound/wtr_gusting_windstrm_hvy_lp.snd		sound/music_gloom_b.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	8
desert	3			50	0.009		100	0.001	terrain/colorramp/tatooine_global1.tga	0	1	0.025	0.025	appearance/pt_dust_storm_heavy.prt	texture/env_lok_desert_day.dds	texture/env_tato_dsrt_night.dds	sound/wtr_gusting_sandstorm_hvy_lp.snd		sound/wtr_gusting_sandstorm_hvy_lp.snd		sound/music_gloom_b.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	11
desert	4			50	0.009		100	0.001	terrain/colorramp/tatooine_global1.tga	0	1	0.05	0.05	appearance/pt_dust_storm_heavy.prt	texture/env_lok_desert_day.dds	texture/env_tato_dsrt_night.dds	sound/wtr_sand_tornado_large_lp.snd		sound/wtr_sand_tornado_large_lp.snd		sound/music_gloom_b.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	15
