Environment Family Name	Weather Index	Gradient Sky Texture (256x256 dds)	Cloud Layer Bottom Shader (sht)	Cloud Layer Bottom Shader Size	Cloud Layer Bottom Speed	Cloud Layer Top Shader (sht)	Cloud Layer Top Shader Size	Cloud Layer Top Speed	Lighting Color Ramps (256x8 tga)	Shadows Enabled	Fog Enabled	Minimum Fog Density	Maximum Fog Density	Attached Camera AppearanceTemplate	Day Environment Map (dds)	Night Environment Map (dds)	Day Ambient Sound 1 (2d .snd)	Day Ambient Sound 2 (2d .snd)	Night Ambient Sound 1 (2d .snd)	Night Ambient Sound 2 (2d .snd)	First Music (2d .snd)	Sunrise Music (2d .snd)	Sunset Music (2d .snd)	Wind Speed Scale
s	i	s	s	f	f	s	f	f	s	i	i	f	f	s	s	s	s	s	s	s	s	s	s	f
global	0	texture/grad_sky_moraband.dds	shader/cloudtile_tato_n.sht	50	0.009	shader/cloudtile_tato_n.sht	100	0.001	terrain/colorramp/lok_valcanocenter0.tga	1	1	0.0015	0.0015		texture/env_lok_volcano_day.dds	texture/env_lok_volcano_night.dds	sound/amb_desert_outside.snd		sound/amb_desert_outside.snd		sound/mus_morband_ambient.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	1
global	1			50	0.009		100	0.001	terrain/colorramp/lok_valcanocenter0.tga	1	1	0.01	0.01	appearance/pt_dust_storm.prt	texture/env_lok_volcano_day.dds	texture/env_lok_volcano_night.dds	sound/wtr_gusting_windstrm_hvy_lp.snd		sound/amb_desert_outside.snd		sound/mus_morband_ambient.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	3
global	2			50	0.009		100	0.001	terrain/colorramp/lok_valcanocenter0.tga	1	1	0.01	0.01	appearance/pt_dust_storm.prt	texture/env_lok_volcano_day.dds	texture/env_lok_volcano_night.dds	sound/wtr_gusting_windstrm_hvy_lp.snd		sound/wtr_gusting_windstrm_hvy_lp.snd		sound/mus_morband_ambient.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	5
global	3			50	0.009		100	0.001	terrain/colorramp/lok_valcanocenter0.tga	0	1	0.025	0.025	appearance/pt_dust_storm_heavy.prt	texture/env_lok_volcano_day.dds	texture/env_lok_volcano_night.dds	sound/wtr_gusting_sandstorm_hvy_lp.snd		sound/wtr_gusting_sandstorm_hvy_lp.snd		sound/mus_morband_ambient.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	9
global	4			50	0.009		100	0.001	terrain/colorramp/lok_valcanocenter0.tga	0	1	0.05	0.05	appearance/pt_dust_storm_heavy.prt	texture/env_lok_volcano_day.dds	texture/env_lok_volcano_night.dds	sound/wtr_sand_tornado_large_lp.snd		sound/wtr_sand_tornado_large_lp.snd		sound/mus_morband_ambient.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	11
desert	0	texture/grad_sky_moraband.dds	shader/cloudtile_tato_n.sht	50	0.009	shader/cloudtile_tato_n.sht	100	0.001	terrain/colorramp/lok_valcanocenter0.tga	1	1	0.0015	0.0015		texture/env_lok_volcano_day.dds	texture/env_lok_volcano_night.dds	sound/amb_desert_outside.snd		sound/amb_lok_rocky_wastelands_lp.snd	sound/amb_lok_rocky_wastelands_os.snd	sound/mus_morband_ambient.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	2
desert	1			50	0.009		100	0.001	terrain/colorramp/lok_valcanocenter0.tga	1	1	0.01	0.01	appearance/pt_dust_storm.prt	texture/env_lok_volcano_day.dds	texture/env_lok_volcano_night.dds	sound/wtr_gusting_windstrm_hvy_lp.snd		sound/amb_lok_rocky_wastelands_lp.snd	sound/amb_lok_rocky_wastelands_os.snd	sound/mus_morband_ambient.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	5
desert	2			50	0.009		100	0.001	terrain/colorramp/lok_valcanocenter0.tga	1	1	0.01	0.01	appearance/pt_dust_storm.prt	texture/env_lok_volcano_day.dds	texture/env_lok_volcano_night.dds	sound/wtr_gusting_windstrm_hvy_lp.snd		sound/wtr_gusting_windstrm_hvy_lp.snd		sound/mus_morband_ambient.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	8
desert	3			50	0.009		100	0.001	terrain/colorramp/lok_valcanocenter0.tga	0	1	0.025	0.025	appearance/pt_dust_storm_heavy.prt	texture/env_lok_volcano_day.dds	texture/env_lok_volcano_night.dds	sound/wtr_gusting_sandstorm_hvy_lp.snd		sound/wtr_gusting_sandstorm_hvy_lp.snd		sound/mus_morband_ambient.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	11
desert	4			50	0.009		100	0.001	terrain/colorramp/lok_valcanocenter0.tga	0	1	0.05	0.05	appearance/pt_dust_storm_heavy.prt	texture/env_lok_volcano_day.dds	texture/env_lok_volcano_night.dds	sound/wtr_sand_tornado_large_lp.snd		sound/wtr_sand_tornado_large_lp.snd		sound/mus_morband_ambient.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	15
