Environment Family Name	Weather Index	Gradient Sky Texture (256x256 dds)	Cloud Layer Bottom Shader (sht)	Cloud Layer Bottom Shader Size	Cloud Layer Bottom Speed	Cloud Layer Top Shader (sht)	Cloud Layer Top Shader Size	Cloud Layer Top Speed	Lighting Color Ramps (256x8 tga)	Shadows Enabled	Fog Enabled	Minimum Fog Density	Maximum Fog Density	Attached Camera AppearanceTemplate	Day Environment Map (dds)	Night Environment Map (dds)	Day Ambient Sound 1 (2d .snd)	Day Ambient Sound 2 (2d .snd)	Night Ambient Sound 1 (2d .snd)	Night Ambient Sound 2 (2d .snd)	First Music (2d .snd)	Sunrise Music (2d .snd)	Sunset Music (2d .snd)	Wind Speed Scale
s	I	s	s	f	f	s	f	f	s	I	I	f	f	s	s	s	s	s	s	s	s	s	s	f
global	0	texture/grad_sky_mustafar.dds	shader/cloudtile_must_n.sht	60	0.008	shader/cloud_must_02.sht	60	0.0001	terrain/colorramp/mustafar_global.tga	1	1	0.0008	0.0008		texture/env_must_warm.dds	texture/env_must_warm.dds	sound/amb_mountains_outside.snd	sound/amb_lava_flow_04_lp.snd	sound/amb_mountains_outside.snd	sound/amb_lava_flow_04_lp.snd	sound/mus_mustafar_intro.snd	sound/mus_mustafar_intro.snd	sound/mus_mustafar_intro.snd	0.1
global	1	texture/grad_sky_mustafar.dds	shader/cloudtile_must_n.sht	60	0.008	shader/cloud_must_02.sht	60	0.0001	terrain/colorramp/mustafar_global.tga	1	1	0.001	0.001	appearance/pt_dust_storm.prt	texture/env_must_warm.dds	texture/env_must_warm.dds	sound/amb_mountains_outside.snd	sound/amb_lava_flow_04_lp.snd	sound/amb_mountains_outside.snd	sound/amb_lava_flow_04_lp.snd	sound/mus_mustafar_intro.snd	sound/mus_mustafar_intro.snd	sound/mus_mustafar_intro.snd	0.2
global	2	texture/grad_sky_mustafar.dds	shader/cloudtile_must_n.sht	60	0.008	shader/cloud_must_02.sht	60	0.0001	terrain/colorramp/mustafar_global.tga	1	1	0.002	0.002	appearance/pt_dust_storm_heavy.prt	texture/env_must_warm.dds	texture/env_must_warm.dds	sound/wtr_gusting_windstrm_hvy_lp.snd	sound/amb_lava_flow_04_lp.snd	sound/wtr_gusting_windstrm_hvy_lp.snd	sound/amb_lava_flow_04_lp.snd	sound/mus_mustafar_intro.snd	sound/mus_mustafar_intro.snd	sound/mus_mustafar_intro.snd	0.3
cool	0	texture/grad_sky_mustafar_cool.dds	shader/cloudtile_must_n.sht	30	0.008	shader/cloud_must_02.sht	80	0.0001	terrain/colorramp/mustafar_cool.tga	1	1	0.0008	0.0008		texture/env_must_cool.dds	texture/env_must_cool.dds	sound/amb_mountains_outside.snd	sound/amb_lava_roar_distant_lp.snd	sound/amb_mountains_outside.snd	sound/amb_lava_roar_distant_lp.snd	sound/music_exar_theme.snd	sound/music_exar_theme.snd	sound/music_exar_theme.snd	0.1
cool	1	texture/grad_sky_mustafar_cool.dds	shader/cloudtile_must_n.sht	30	0.008	shader/cloud_must_02.sht	80	0.0001	terrain/colorramp/mustafar_cool.tga	1	1	0.001	0.001	appearance/pt_dust_storm.prt	texture/env_must_cool.dds	texture/env_must_cool.dds	sound/amb_mountains_outside.snd	sound/amb_lava_roar_distant_lp.snd	sound/amb_mountains_outside.snd	sound/amb_lava_roar_distant_lp.snd	sound/music_exar_theme.snd	sound/music_exar_theme.snd	sound/music_exar_theme.snd	0.2
cool	2	texture/grad_sky_mustafar_cool.dds	shader/cloudtile_must_n.sht	30	0.008	shader/cloud_must_02.sht	80	0.0001	terrain/colorramp/mustafar_cool.tga	1	1	0.002	0.002	appearance/pt_dust_storm_heavy.prt	texture/env_must_cool.dds	texture/env_must_cool.dds	sound/wtr_gusting_windstrm_hvy_lp.snd	sound/amb_lava_roar_distant_lp.snd	sound/wtr_gusting_windstrm_hvy_lp.snd	sound/amb_lava_roar_distant_lp.snd	sound/music_exar_theme.snd	sound/music_exar_theme.snd	sound/music_exar_theme.snd	0.3
hot	0	texture/grad_sky_mustafar_hot.dds	shader/cloudtile_must_n.sht	60	0.008	shader/cloud_must_02.sht	60	0.0001	terrain/colorramp/mustafar_hot.tga	1	1	0.0015	0.0015	appearance/pt_dust_storm.prt	texture/env_must_hot.dds	texture/env_must_hot.dds	sound/amb_lava_flow_04_lp.snd	sound/amb_mountains_outside.snd	sound/amb_lava_flow_04_lp.snd	sound/amb_mountains_outside.snd	sound/music_ambience_underground.snd	sound/music_ambience_underground.snd	sound/music_ambience_underground.snd	0.1
hot	1	texture/grad_sky_mustafar_hot.dds	shader/cloudtile_must_n.sht	60	0.008	shader/cloud_must_02.sht	60	0.0001	terrain/colorramp/mustafar_hot.tga	1	1	0.002	0.001	appearance/pt_dust_storm.prt	texture/env_must_hot.dds	texture/env_must_hot.dds	sound/amb_lava_flow_04_lp.snd	sound/amb_mountains_outside.snd	sound/amb_lava_flow_04_lp.snd	sound/amb_mountains_outside.snd	sound/music_ambience_underground.snd	sound/music_ambience_underground.snd	sound/music_ambience_underground.snd	0.2
hot	2	texture/grad_sky_mustafar_hot.dds	shader/cloudtile_must_n.sht	60	0.008	shader/cloud_must_02.sht	60	0.0001	terrain/colorramp/mustafar_hot.tga	1	1	0.002	0.002	appearance/pt_dust_storm_heavy.prt	texture/env_must_hot.dds	texture/env_must_hot.dds	sound/amb_lava_flow_04_lp.snd	sound/amb_mountains_outside.snd	sound/amb_lava_flow_04_lp.snd	sound/amb_mountains_outside.snd	sound/music_ambience_underground.snd	sound/music_ambience_underground.snd	sound/music_ambience_underground.snd	0.3
