Environment Family Name	Weather Index	Gradient Sky Texture (256x256 dds)	Cloud Layer Bottom Shader (sht)	Cloud Layer Bottom Shader Size	Cloud Layer Bottom Speed	Cloud Layer Top Shader (sht)	Cloud Layer Top Shader Size	Cloud Layer Top Speed	Lighting Color Ramps (256x8 tga)	Shadows Enabled	Fog Enabled	Minimum Fog Density	Maximum Fog Density	Attached Camera AppearanceTemplate	Day Environment Map (dds)	Night Environment Map (dds)	Day Ambient Sound 1 (2d .snd)	Day Ambient Sound 2 (2d .snd)	Night Ambient Sound 1 (2d .snd)	Night Ambient Sound 2 (2d .snd)	First Music (2d .snd)	Sunrise Music (2d .snd)	Sunset Music (2d .snd)	Wind Speed Scale
s	i	s	s	f	f	s	f	f	s	i	i	f	f	s	s	s	s	s	s	s	s	s	s	f
lianorm_swamp	0			45	0.007		100	0.0001	terrain/colorramp/naboo_lianorm_swamp0.tga	0	1	0.009	0.009		texture/env_nboo_gungan_day.dds	texture/env_nboo_gungan_night.dds	sound/amb_swamp_outside.snd		sound/amb_swamp_night.snd		sound/music_ambience_swamp.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	0.15
lianorm_swamp	1			45	0.007		100	0.0001	terrain/colorramp/naboo_global1.tga	0	1	0.01	0.01		texture/env_nboo_gungan_day.dds	texture/env_nboo_gungan_night.dds	sound/amb_swamp_outside.snd		sound/amb_swamp_night.snd		sound/music_ambience_swamp.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	0.5
lianorm_swamp	2			45	0.007		100	0.0001	terrain/colorramp/naboo_global1.tga	0	1	0.015	0.015	appearance/pt_rain_sheet_verylight.prt	texture/env_nboo_gungan_day.dds	texture/env_nboo_gungan_night.dds	sound/wtr_light_rain_large_lp.snd	sound/wtr_thunderstorm_lgt_os.snd	sound/wtr_light_rain_large_lp.snd	sound/wtr_thunderstorm_lgt_os.snd	sound/music_ambience_swamp.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	1
lianorm_swamp	3			45	0.007		100	0.0001	terrain/colorramp/naboo_global1.tga	0	1	0.025	0.025	appearance/pt_rain_sheet_light.prt	texture/env_nboo_gungan_day.dds	texture/env_nboo_gungan_night.dds	sound/wtr_heavy_rain_large_lp.snd	sound/wtr_thunderstorm_hvy_os.snd	sound/wtr_heavy_rain_large_lp.snd	sound/wtr_thunderstorm_hvy_os.snd	sound/music_ambience_swamp.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	3
lianorm_swamp	4			45	0.007		100	0.0001	terrain/colorramp/naboo_global1.tga	0	1	0.03	0.03	appearance/pt_rain_sheet_heavy.prt	texture/env_nboo_gungan_day.dds	texture/env_nboo_gungan_night.dds	sound/wtr_lightning_storm_lrg_lp.snd		sound/wtr_lightning_storm_lrg_lp.snd		sound/music_ambience_swamp.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	5
main_base	0	texture/grad_sky_nboo.dds	shader/cloudtile_n.sht	45	0.007	shader/cloudtile_tato_n.sht	100	0.0001	terrain/colorramp/naboo_global0.tga	1	1	0.005	0.0007		texture/env_nboo_day.dds	texture/env_nboo_night.dds	sound/amb_grassland_outside.snd		sound/amb_grassland_outside.snd		sound/amb_grassland_outside.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	0.5
main_base	1		shader/cloudtile_n.sht	45	0.007	shader/cloudtile_dath_n.sht	100	0.0001	terrain/colorramp/naboo_global1.tga	1	1	0.002	0.002		texture/env_nboo_day.dds	texture/env_nboo_night.dds	sound/amb_grassland_outside.snd		sound/amb_grassland_outside.snd		sound/amb_grassland_outside.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	2
main_base	2		shader/cloudtile_n.sht	45	0.007	shader/cloudtile_dath_n.sht	100	0.0001	terrain/colorramp/naboo_global1.tga	1	1	0.006	0.006	appearance/pt_rain_sheet_verylight.prt	texture/env_nboo_day.dds	texture/env_nboo_night.dds	sound/wtr_light_rain_large_lp.snd	sound/wtr_thunderstorm_lgt_os.snd	sound/wtr_light_rain_large_lp.snd	sound/wtr_thunderstorm_lgt_os.snd	sound/music_gloom_b.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	4
main_base	3			45	0.007		100	0.0001	terrain/colorramp/naboo_global1.tga	0	1	0.009	0.009	appearance/pt_rain_sheet_light.prt	texture/env_nboo_day.dds	texture/env_nboo_night.dds	sound/wtr_heavy_rain_large_lp.snd	sound/wtr_thunderstorm_hvy_os.snd	sound/wtr_heavy_rain_large_lp.snd	sound/wtr_thunderstorm_hvy_os.snd	sound/music_gloom_b.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	6
