Environment Family Name	Weather Index	Gradient Sky Texture (256x256 dds)	Cloud Layer Bottom Shader (sht)	Cloud Layer Bottom Shader Size	Cloud Layer Bottom Speed	Cloud Layer Top Shader (sht)	Cloud Layer Top Shader Size	Cloud Layer Top Speed	Lighting Color Ramps (256x8 tga)	Shadows Enabled	Fog Enabled	Minimum Fog Density	Maximum Fog Density	Attached Camera AppearanceTemplate	Day Environment Map (dds)	Night Environment Map (dds)	Day Ambient Sound 1 (2d .snd)	Day Ambient Sound 2 (2d .snd)	Night Ambient Sound 1 (2d .snd)	Night Ambient Sound 2 (2d .snd)	First Music (2d .snd)	Sunrise Music (2d .snd)	Sunset Music (2d .snd)	Wind Speed Scale
s	I	s	s	f	f	s	f	f	s	I	I	f	f	s	s	s	s	s	s	s	s	s	s	f
mainswamp	0	texture/grad_sky_rori.dds	shader/cloudtile_n.sht	50	0.008	shader/cloudtile_tato_n.sht	150	0.0001	terrain/colorramp/rori_global0.tga	1	1	0.008	0.005		texture/env_rori_swamp_day.dds	texture/env_rori_swamp_night.dds	sound/amb_swamp_outside.snd		sound/amb_swamp_night.snd		sound/music_ambience_swamp.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	0.5
mainswamp	1		shader/cloudtile_n.sht	50	0.008	shader/cloudtile_dath_n.sht	150	0.0001	terrain/colorramp/naboo_global1.tga	1	1	0.0075	0.0075		texture/env_rori_swamp_day.dds	texture/env_rori_swamp_night.dds	sound/amb_mountains_outside.snd		sound/amb_mountains_outside.snd		sound/music_theme_generic_c.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	1
mainswamp	2		shader/cloudtile_n.sht	50	0.008	shader/cloudtile_dath_n.sht	150	0.0001	terrain/colorramp/naboo_global1.tga	1	1	0.01	0.01	appearance/pt_rain_sheet_verylight.prt	texture/env_rori_swamp_day.dds	texture/env_rori_swamp_night.dds	sound/wtr_light_rain_large_lp.snd	sound/wtr_thunderstorm_lgt_os.snd	sound/wtr_light_rain_large_lp.snd	sound/wtr_thunderstorm_lgt_os.snd	sound/music_gloom_b.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	5
mainswamp	3			50	0.008		150	0.0001	terrain/colorramp/naboo_global1.tga	1	1	0.02	0.02	appearance/pt_rain_sheet_light.prt	texture/env_rori_swamp_day.dds	texture/env_rori_swamp_night.dds	sound/wtr_heavy_rain_large_lp.snd	sound/wtr_thunderstorm_hvy_os.snd	sound/wtr_heavy_rain_large_lp.snd	sound/wtr_thunderstorm_hvy_os.snd	sound/music_gloom_b.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	7
mainswamp	4			50	0.008		150	0.0001	terrain/colorramp/naboo_global1.tga	1	1	0.03	0.03	appearance/pt_rain_sheet_heavy.prt	texture/env_rori_swamp_day.dds	texture/env_rori_swamp_night.dds	sound/wtr_hail_storm_large_lp.snd	sound/wtr_thunderstorm_hvy_os.snd	sound/wtr_hail_storm_large_lp.snd	sound/wtr_thunderstorm_hvy_os.snd	sound/music_gloom_b.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	10
islands-placeholder	0	texture/grad_sky_rori.dds	shader/cloudtile_n.sht	50	0.008	shader/cloudtile_tato_n.sht	150	0.0001	terrain/colorramp/rori_global0.tga	1	1	0.01	0.01		texture/env_rori_island_day.dds	texture/env_rori_island_night.dds	sound/amb_swamp_outside.snd		sound/amb_swamp_night.snd		sound/music_ambience_swamp.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	0.5
islands-placeholder	1		shader/cloudtile_n.sht	50	0.008	shader/cloudtile_dath_n.sht	150	0.0001	terrain/colorramp/naboo_global1.tga	1	1	0.01	0.01		texture/env_rori_island_day.dds	texture/env_rori_island_night.dds	sound/amb_mountains_outside.snd		sound/amb_mountains_outside.snd		sound/music_theme_generic_c.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	1
islands-placeholder	2		shader/cloudtile_n.sht	50	0.008	shader/cloudtile_dath_n.sht	150	0.0001	terrain/colorramp/naboo_global1.tga	1	1	0.015	0.015	appearance/pt_rain_sheet_verylight.prt	texture/env_rori_island_day.dds	texture/env_rori_island_night.dds	sound/wtr_light_rain_large_lp.snd	sound/wtr_thunderstorm_lgt_os.snd	sound/wtr_light_rain_large_lp.snd	sound/wtr_thunderstorm_lgt_os.snd	sound/music_gloom_b.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	5
islands-placeholder	3			50	0.008		150	0.0001	terrain/colorramp/naboo_global1.tga	1	1	0.02	0.02	appearance/pt_rain_sheet_light.prt	texture/env_rori_island_day.dds	texture/env_rori_island_night.dds	sound/wtr_heavy_rain_large_lp.snd	sound/wtr_thunderstorm_hvy_os.snd	sound/wtr_heavy_rain_large_lp.snd	sound/wtr_thunderstorm_hvy_os.snd	sound/music_gloom_b.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	7
