Environment Family Name	Weather Index	Gradient Sky Texture (256x256 dds)	Cloud Layer Bottom Shader (sht)	Cloud Layer Bottom Shader Size	Cloud Layer Bottom Speed	Cloud Layer Top Shader (sht)	Cloud Layer Top Shader Size	Cloud Layer Top Speed	Lighting Color Ramps (256x8 tga)	Shadows Enabled	Fog Enabled	Minimum Fog Density	Maximum Fog Density	Attached Camera AppearanceTemplate	Day Environment Map (dds)	Night Environment Map (dds)	Day Ambient Sound 1 (2d .snd)	Day Ambient Sound 2 (2d .snd)	Night Ambient Sound 1 (2d .snd)	Night Ambient Sound 2 (2d .snd)	First Music (2d .snd)	Sunrise Music (2d .snd)	Sunset Music (2d .snd)	Wind Speed Scale
s	I	s	s	f	f	s	f	f	s	I	I	f	f	s	s	s	s	s	s	s	s	s	s	f
global	0	texture/grad_sky_tato.dds	shader/cloudtile_sml_patch.sht	60	0.008	shader/cloudtile_tato_n.sht	80	0.001	terrain/colorramp/tatooine_global0.tga	1	1	0.005	0.002		texture/env_tato_dsrt_day.dds	texture/env_tato_dsrt_night.dds	sound/amb_desert_outside.snd		sound/amb_desert_night.snd		sound/music_theme_tatooine.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	1
global	1	texture/grad_sky_tato1.dds		0	0		0	0.001	terrain/colorramp/tatooine_global0.tga	1	1	0.0065	0.003	appearance/pt_dust_storm_light.prt	texture/env_tato_dsrt_day.dds	texture/env_tato_dsrt_night.dds	sound/amb_desert_outside.snd		sound/amb_desert_night.snd		sound/music_theme_tatooine.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	5
global	2			0	0		0	0.001	terrain/colorramp/tatooine_global1.tga	1	1	0.0075	0.0075	appearance/pt_dust_storm.prt	texture/env_tato_dsrt_day.dds	texture/env_tato_dsrt_night.dds	sound/wtr_gusting_windstrm_hvy_lp.snd		sound/wtr_gusting_windstrm_hvy_lp.snd		sound/music_theme_tatooine.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	7
global	3			0	0		0	0.001	terrain/colorramp/tatooine_global1.tga	1	1	0.025	0.025	appearance/pt_dust_storm_heavy.prt	texture/env_tato_dsrt_day.dds	texture/env_tato_dsrt_night.dds	sound/wtr_gusting_sandstorm_hvy_lp.snd		sound/wtr_gusting_sandstorm_hvy_lp.snd		sound/music_theme_tatooine.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	11
global	4			0	0		0	0.001	terrain/colorramp/tatooine_global1.tga	1	1	0.043	0.043	appearance/pt_dust_storm_heavy.prt	texture/env_tato_dsrt_day.dds	texture/env_tato_dsrt_night.dds	sound/wtr_sand_tornado_large_lp.snd		sound/wtr_sand_tornado_large_lp.snd		sound/music_theme_tatooine.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	15
valleyofthewind	0	texture/grad_sky_tato.dds	shader/cloudtile_sml_patch.sht	60	0.008	shader/cloudtile_tato_n.sht	80	0.001	terrain/colorramp/tatooine_global0.tga	1	1	0.004	0.0025		texture/env_tato_dunes_day.dds	texture/env_tato_dunes_night.dds	sound/amb_desert_outside.snd		sound/amb_desert_night.snd		sound/music_theme_generic_a.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	3
valleyofthewind	1	texture/grad_sky_tato1.dds		80	0.01		0	0.001	terrain/colorramp/tatooine_global0.tga	1	1	0.007	0.005	appearance/pt_dust_storm_light.prt	texture/env_tato_dunes_day.dds	texture/env_tato_dunes_night.dds	sound/amb_desert_outside.snd		sound/amb_desert_night.snd		sound/music_theme_generic_a.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	7
valleyofthewind	2			0	0		0	0.001	terrain/colorramp/tatooine_global1.tga	1	1	0.01	0.01	appearance/pt_dust_storm.prt	texture/env_tato_dunes_day.dds	texture/env_tato_dunes_night.dds	sound/wtr_gusting_windstrm_hvy_lp.snd		sound/wtr_gusting_windstrm_hvy_lp.snd		sound/music_theme_tatooine.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	11
valleyofthewind	3			0	0		0	0.001	terrain/colorramp/tatooine_global1.tga	1	1	0.025	0.025	appearance/pt_dust_storm_heavy.prt	texture/env_tato_dunes_day.dds	texture/env_tato_dunes_night.dds	sound/wtr_gusting_sandstorm_hvy_lp.snd		sound/wtr_gusting_sandstorm_hvy_lp.snd		sound/music_theme_tatooine.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	13
valleyofthewind	4			0	0		0	0.001	terrain/colorramp/tatooine_global1.tga	1	1	0.043	0.043	appearance/pt_dust_storm_heavy.prt	texture/env_tato_dunes_day.dds	texture/env_tato_dunes_night.dds	sound/wtr_sand_tornado_large_lp.snd		sound/wtr_sand_tornado_large_lp.snd		sound/music_theme_tatooine.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	20
