Environment Family Name	Weather Index	Gradient Sky Texture (256x256 dds)	Cloud Layer Bottom Shader (sht)	Cloud Layer Bottom Shader Size	Cloud Layer Bottom Speed	Cloud Layer Top Shader (sht)	Cloud Layer Top Shader Size	Cloud Layer Top Speed	Lighting Color Ramps (256x8 tga)	Shadows Enabled	Fog Enabled	Minimum Fog Density	Maximum Fog Density	Attached Camera AppearanceTemplate	Day Environment Map (dds)	Night Environment Map (dds)	Day Ambient Sound 1 (2d .snd)	Day Ambient Sound 2 (2d .snd)	Night Ambient Sound 1 (2d .snd)	Night Ambient Sound 2 (2d .snd)	First Music (2d .snd)	Sunrise Music (2d .snd)	Sunset Music (2d .snd)	Wind Speed Scale
s	i	s	s	f	f	s	f	f	s	i	i	f	f	s	s	s	s	s	s	s	s	s	s	f
forestedmountains	0	texture/grad_sky_dath_forestedmountains.dds	shader/cloudtile_dath_n.sht	25	0.009	shader/cloudtile_dath_n.sht	50	0.003	terrain/colorramp/dathomir_forestedmountains0.tga	1	1	0.009	0.007		texture/env_dath_forest_mntn_day.dds	texture/env_dath_forest_mntn_night.dds	sound/amb_forest_outside.snd		sound/amb_forest_night.snd		sound/music_theme_dathomir.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	1
forestedmountains	1		shader/cloudtile_dath_n.sht	25	0.009	shader/cloudtile_dath_n.sht	50	0.003	terrain/colorramp/storm_1.tga	1	1	0.005	0.007	appearance/pt_rain_sheet_verylight.prt	texture/env_dath_forest_mntn_day.dds	texture/env_dath_forest_mntn_night.dds	sound/wtr_light_rain_large_lp.snd	sound/wtr_thunderstorm_lgt_os.snd	sound/wtr_light_rain_large_lp.snd	sound/wtr_thunderstorm_lgt_os.snd	sound/music_theme_dathomir.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	3
forestedmountains	2		shader/cloudtile_dath_n.sht	25	0.009	shader/cloudtile_dath_n.sht	50	0.003	terrain/colorramp/storm_2.tga	1	1	0.003	0.005	appearance/pt_rain_sheet_light.prt	texture/env_dath_forest_mntn_day.dds	texture/env_dath_forest_mntn_night.dds	sound/wtr_heavy_rain_large_lp.snd	sound/wtr_thunderstorm_hvy_os.snd	sound/wtr_heavy_rain_large_lp.snd	sound/wtr_thunderstorm_hvy_os.snd	sound/music_theme_dathomir.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	7
forestedmountains	3		shader/cloudtile_storm_n.sht	25	0.009	shader/cloudtile_storm_n.sht	50	0.003	terrain/colorramp/storm_3.tga	0	1	0.015	0.015	appearance/pt_rain_sheet_light.prt	texture/env_dath_forest_mntn_day.dds	texture/env_dath_forest_mntn_night.dds	sound/wtr_heavy_rain_large_lp.snd	sound/wtr_thunderstorm_hvy_os.snd	sound/wtr_heavy_rain_large_lp.snd	sound/wtr_thunderstorm_hvy_os.snd	sound/music_theme_dathomir.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	10
forestedmountains	4		shader/cloudtile_storm_n.sht	25	0.009	shader/cloudtile_storm_n.sht	50	0.003	terrain/colorramp/storm_3.tga	0	1	0.025	0.025	appearance/pt_rain_sheet_heavy.prt	texture/env_dath_forest_mntn_day.dds	texture/env_dath_forest_mntn_night.dds	sound/wtr_lightning_storm_lrg_lp.snd		sound/wtr_lightning_storm_lrg_lp.snd		sound/music_theme_dathomir.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	15
rockymountains	0	texture/grad_sky_dath_forestedmountains.dds	shader/cloudtile_dath_n.sht	25	0.009		50	0.003	terrain/colorramp/dathomir_rockymountains0.tga	1	1	0.009	0.005		texture/env_dath_rocky_mntn_day.dds	texture/env_dath_rocky_mntn_night.dds	sound/amb_mountains_outside.snd		sound/amb_mountains_outside.snd		sound/music_theme_dathomir.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	1
rockymountains	1		shader/cloudtile_dath_n.sht	25	0.009		50	0.003	terrain/colorramp/storm_1.tga	1	1	0.005	0.005	appearance/pt_rain_sheet_verylight.prt	texture/env_dath_rocky_mntn_day.dds	texture/env_dath_rocky_mntn_night.dds	sound/wtr_light_rain_large_lp.snd	sound/wtr_thunderstorm_lgt_os.snd	sound/wtr_light_rain_large_lp.snd	sound/wtr_thunderstorm_lgt_os.snd	sound/music_theme_dathomir.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	3
rockymountains	2		shader/cloudtile_dath_n.sht	25	0.009		50	0.003	terrain/colorramp/storm_2.tga	1	1	0.008	0.008	appearance/pt_rain_sheet_light.prt	texture/env_dath_rocky_mntn_day.dds	texture/env_dath_rocky_mntn_night.dds	sound/wtr_heavy_rain_large_lp.snd	sound/wtr_thunderstorm_hvy_os.snd	sound/wtr_heavy_rain_large_lp.snd	sound/wtr_thunderstorm_hvy_os.snd	sound/music_theme_dathomir.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	7
rockymountains	3		shader/cloudtile_dath_n.sht	25	0.009	shader/cloudtile_storm_n.sht	50	0.003	terrain/colorramp/storm_3.tga	0	1	0.015	0.015	appearance/pt_rain_sheet_light.prt	texture/env_dath_rocky_mntn_day.dds	texture/env_dath_rocky_mntn_night.dds	sound/wtr_heavy_rain_large_lp.snd	sound/wtr_thunderstorm_hvy_os.snd	sound/wtr_heavy_rain_large_lp.snd	sound/wtr_thunderstorm_hvy_os.snd	sound/music_theme_dathomir.snd	sound/music_event_sunrise.snd	sound/music_event_sunset.snd	10
