PobName	Cell Name	Day sound/ambient Sound (2d .snd)	Night sound/ambient Sound (2d .snd)	First Music (2d .snd)	Surface Type	Fog Enabled	Fog Density	Fog Color R	Fog Color G	Fog Color B	Environment Map (dds)	Room Type
s	s	s	s	s	s	I	f(0.0)	f(1)	f(1)	f(1)	s	e(alley=0,arena=1,auditorium=2,bathRoom=3,carpetedHallway=4,cave=5,city=6,concertHall=7,dizzy=8,drugged=9,forest=10,generic=11,hallway=12,hangar=13,livingrRoom=14,mountains=15,paddedCell=16,parkingLot=17,plain=18,psychotic=19,quarry=20,room=21,sewerPipe=22,stoneCorridor=23,stoneRoom=24,underWater=25)[generic]
default	default	sound/default_interior.snd	sound/default_interior.snd		rock	0	0.0001	0.1	0.1	0.1	texture/env_corl_interior.dds	22
mun_all_capitol_s01	default	sound/default_interior.snd	sound/default_interior.snd		wood	1	0.02	0.25	0.25	0.25	texture/env_capitol.dds	22
mun_all_capitol_s01	lobby	sound/default_interior.snd	sound/default_interior.snd	sound/music_gloom_a.snd	wood	1	0.015	0.3	0.3	0.3	texture/env_capitol.dds	7
mun_all_cloning_s01	default	sound/amb_cloning_facility_int_lp.snd	sound/amb_cloning_facility_int_lp.snd		metal	1	0.002	0.2	0.2	0.2	texture/env_corl_interior.dds	22
mun_all_cloning_s01	spawn	sound/amb_cloning_facility_int_lp.snd	sound/amb_cloning_facility_int_lp.snd		metal	1	0.002	0.2	0.2	0.2	texture/env_corl_interior.dds	22
mun_all_guild_combat_s01	default	sound/default_interior.snd	sound/default_interior.snd		metal	1	0.02	0.25	0.25	0.25	texture/env_corl_interior.dds	22
mun_all_guild_commerce_s01	default	sound/default_interior.snd	sound/default_interior.snd		wood	1	0.02	0.25	0.25	0.25	texture/env_corl_interior.dds	22
mun_all_guild_theater_s01	default	sound/default_interior.snd	sound/default_interior.snd		carpet	1	0.02	0.25	0.25	0.25	texture/env_corl_interior.dds	22
mun_all_guild_university_s01	default	sound/default_interior.snd	sound/default_interior.snd		carpet	1	0.02	0.25	0.25	0.25	texture/env_corl_interior.dds	22
mun_all_hospital_s01	default	sound/default_interior.snd	sound/default_interior.snd		metal	1	0.02	0.25	0.25	0.25	texture/env_corl_interior.dds	22
mun_all_hospital_s02	default	sound/default_interior.snd	sound/default_interior.snd		metal	1	0.02	0.25	0.25	0.25	texture/env_corl_interior.dds	22
mun_all_hotel_s01	default	sound/default_interior.snd	sound/default_interior.snd		wood	1	0.02	0.25	0.25	0.25	texture/env_corl_interior.dds	22
mun_all_landing_pad_s01	default	sound/default_interior.snd	sound/default_interior.snd		stone	1	0.002	0.16	0.16	0.16	texture/env_corl_interior.dds	22
mun_all_military_base_guard_house_impl_s01	default	sound/default_interior.snd	sound/default_interior.snd		metal	0	0	0	0	0	texture/env_corl_interior.dds	22
mun_all_military_base_guard_house_rebl_s01	default	sound/default_interior.snd	sound/default_interior.snd		metal	0	0	0	0	0	texture/env_corl_interior.dds	22
mun_all_military_base_police_station_impl_s01	default	sound/default_interior.snd	sound/default_interior.snd		metal	1	0.02	0.25	0.25	0.26	texture/env_corl_interior.dds	22
mun_all_military_base_police_station_rebl_s01	default	sound/default_interior.snd	sound/default_interior.snd		metal	1	0.02	0.25	0.25	0.26	texture/env_corl_interior.dds	22
mun_all_military_storage_shed_impl_s01	default	sound/default_interior.snd	sound/default_interior.snd		metal	0	0	0	0	0	texture/env_corl_interior.dds	22
mun_all_military_storage_shed_rebl_s01	default	sound/default_interior.snd	sound/default_interior.snd		metal	0	0	0	0	0	texture/env_corl_interior.dds	22
mun_all_military_tower_impl_guard_s01	default	sound/default_interior.snd	sound/default_interior.snd		metal	0	0	0	0	0	texture/env_corl_interior.dds	22
mun_all_starport_s01_u01	default	sound/amb_starport_int_lp.snd	sound/amb_starport_int_lp.snd		metal	1	0.009	0.3	0.3	0.32	texture/env_corl_interior.dds	22
mun_corl_capitol_s01	default	sound/default_interior.snd	sound/default_interior.snd		wood	1	0.015	0.25	0.25	0.25	texture/env_capitol.dds	22
mun_corl_capitol_s01	lobby	sound/default_interior.snd	sound/default_interior.snd	sound/music_theme_corellia.snd	wood	1	0.015	0.3	0.3	0.3	texture/env_capitol.dds	7
mun_corl_cloning_s01	default	sound/amb_cloning_facility_int_lp.snd	sound/amb_cloning_facility_int_lp.snd		metal	1	0.002	0.2	0.2	0.2	texture/env_corl_interior.dds	22
mun_corl_cloning_s01	spawn	sound/amb_cloning_facility_int_lp.snd	sound/amb_cloning_facility_int_lp.snd		metal	1	0.002	0.2	0.2	0.2	texture/env_corl_interior.dds	22
mun_corl_guild_combat_s01	default	sound/default_interior.snd	sound/default_interior.snd		metal	1	0.02	0.25	0.25	0.25	texture/env_corl_interior.dds	22
mun_corl_guild_commerce_s01	default	sound/default_interior.snd	sound/default_interior.snd		wood	1	0.02	0.25	0.25	0.25	texture/env_corl_interior.dds	22
mun_corl_guild_theater_s01	default	sound/default_interior.snd	sound/default_interior.snd		carpet	1	0.02	0.25	0.25	0.25	texture/env_corl_interior.dds	22
mun_corl_guild_university_s01	default	sound/default_interior.snd	sound/default_interior.snd		carpet	1	0.02	0.25	0.25	0.25	texture/env_corl_interior.dds	22
mun_corl_hospital_s01	default	sound/default_interior.snd	sound/default_interior.snd		metal	1	0.02	0.25	0.25	0.25	texture/env_corl_interior.dds	22
mun_corl_hospital_s02	default	sound/default_interior.snd	sound/default_interior.snd		metal	1	0.02	0.25	0.25	0.25	texture/env_corl_interior.dds	22
mun_corl_hotel_s01	default	sound/default_interior.snd	sound/default_interior.snd		carpet	1	0.03	0.25	0.25	0.25	texture/env_corl_interior.dds	22
mun_corl_starport_s01_u01	default	sound/amb_starport_int_lp.snd	sound/amb_starport_int_lp.snd		metal	1	0.009	0.3	0.3	0.32	texture/env_corl_interior.dds	22
mun_impl_military_base_police_station_s01	default	sound/amb_starport_int_lp.snd	sound/amb_starport_int_lp.snd		metal	0	0	0	0	0	texture/env_corl_interior.dds	22
mun_nboo_capitol_s01	default	sound/default_interior.snd	sound/default_interior.snd		wood	1	0.015	0.25	0.25	0.25	texture/env_capitol.dds	22
mun_nboo_capitol_s01	lobby	sound/default_interior.snd	sound/default_interior.snd	sound/music_theme_naboo.snd	wood	1	0.015	0.3	0.3	0.3	texture/env_capitol.dds	7
mun_nboo_cloning_s01	default	sound/amb_cloning_facility_int_lp.snd	sound/amb_cloning_facility_int_lp.snd		metal	1	0.002	0.2	0.2	0.2	texture/env_corl_interior.dds	22
mun_nboo_cloning_s01	spawn	sound/amb_cloning_facility_int_lp.snd	sound/amb_cloning_facility_int_lp.snd		metal	1	0.002	0.2	0.2	0.2	texture/env_corl_interior.dds	22
mun_nboo_guild_combat_s01	default	sound/default_interior.snd	sound/default_interior.snd		metal	1	0.02	0.25	0.25	0.25	texture/env_ply_nboo_medhouse.dds	22
mun_nboo_guild_commerce_s01	default	sound/default_interior.snd	sound/default_interior.snd		wood	1	0.02	0.25	0.25	0.25	texture/env_ply_nboo_medhouse.dds	22
mun_nboo_guild_theater_s01	default	sound/default_interior.snd	sound/default_interior.snd		carpet	1	0.02	0.25	0.25	0.25	texture/env_ply_nboo_medhouse.dds	22
mun_nboo_guild_university_s01	default	sound/default_interior.snd	sound/default_interior.snd		carpet	1	0.02	0.25	0.25	0.25	texture/env_ply_nboo_medhouse.dds	22
mun_nboo_hospital_s01	default	sound/default_interior.snd	sound/default_interior.snd		metal	1	0.03	0.25	0.25	0.25	texture/env_ply_nboo_medhouse.dds	22
mun_nboo_hospital_s02	default	sound/default_interior.snd	sound/default_interior.snd		metal	1	0.03	0.25	0.25	0.25	texture/env_ply_nboo_medhouse.dds	22
mun_nboo_hotel_s01	default	sound/default_interior.snd	sound/default_interior.snd		wood	1	0.03	0.25	0.25	0.25	texture/env_ply_nboo_medhouse.dds	22
mun_nboo_starport_s01_u01	default	sound/amb_starport_int_lp.snd	sound/amb_starport_int_lp.snd		metal	1	0.009	0.3	0.3	0.32	texture/env_ply_nboo_medhouse.dds	22
mun_tato_capitol_s01	default	sound/amb_desert_inside.snd	sound/default_interior.snd		stone	1	0.015	0.25	0.25	0.25	texture/env_capitol.dds	22
mun_tato_capitol_s01	lobby	sound/amb_desert_inside.snd	sound/default_interior.snd	sound/music_theme_tatooine.snd	wood	1	0.02	0.25	0.25	0.22	texture/env_capitol.dds	7
mun_tato_cloning_s01	default	sound/amb_cloning_facility_int_lp.snd	sound/amb_cloning_facility_int_lp.snd		metal	1	0.002	0.2	0.2	0.2	texture/env_corl_interior.dds	22
mun_tato_cloning_s01	spawn	sound/amb_cloning_facility_int_lp.snd	sound/amb_cloning_facility_int_lp.snd		metal	1	0.002	0.2	0.2	0.2	texture/env_corl_interior.dds	22
mun_tato_guild_combat_s01	default	sound/amb_desert_inside.snd	sound/default_interior.snd		metal	1	0.02	0.3	0.3	0.26	texture/env_tato_house.dds	22
