Parent	Name	Type	Data1	Data2
s	s	s	s	s
	Bestiary	Page	@kb/kb_bestiary_n:bestiary	
Bestiary	Text	String	@kb/kb_bestiary_d:bestiary	
Bestiary	Xenobiology	Page	@kb/kb_bestiary_n:xenobiology	
Bestiary.Xenobiology	Text	String	@kb/kb_bestiary_d:xenobiology	
Bestiary	Faction	Page	@kb/kb_bestiary_n:faction	
Bestiary.Faction	Text	String	@kb/kb_bestiary_d:faction	
Bestiary	Tatooine	Page	@loc_n:tatooine	
Bestiary.Tatooine	Text	String	@kb/kb_bestiary_d:tatooine	
Bestiary	Corellia	Page	@loc_n:corellia	
Bestiary.Corellia	Text	String	@kb/kb_bestiary_d:corellia	
Bestiary	Naboo	Page	@loc_n:naboo	
Bestiary.Naboo	Text	String	@kb/kb_bestiary_d:naboo	
Bestiary	Talus	Page	@loc_n:talus	
Bestiary.Talus	Text	String	@kb/kb_bestiary_d:talus	
Bestiary	Rori	Page	@loc_n:rori	
Bestiary.Rori	Text	String	@kb/kb_bestiary_d:rori	
Bestiary	Dantooine	Page	@loc_n:dantooine	
Bestiary.Dantooine	Text	String	@kb/kb_bestiary_d:dantooine	
Bestiary	Dathomir	Page	@loc_n:dathomir	
Bestiary.Dathomir	Text	String	@kb/kb_bestiary_d:dathomir	
Bestiary	Endor	Page	@loc_n:endor	
Bestiary.Endor	Text	String	@kb/kb_bestiary_d:endor	
Bestiary	Lok	Page	@loc_n:lok	
Bestiary.Lok	Text	String	@kb/kb_bestiary_d:lok	
Bestiary	YavinIV	Page	@loc_n:yaviniv	
Bestiary.YavinIV	Text	String	@kb/kb_bestiary_d:yaviniv	
