Parent	Name	Type	Data1	Data2
s	s	s	s	s
	Combat	Page	@kb/kb_combat_n:combat	
Combat	Text	String	@kb/kb_combat_d:combat	
Combat	Targeting	Page	@kb/kb_combat_n:targeting	
Combat.Targeting	Text	String	@kb/kb_combat_d:targeting	
Combat.Targeting	Consider	Page	@kb/kb_combat_n:consider	
Combat.Targeting.Consider	Text	String	@kb/kb_combat_d:consider	
Combat.Targeting	HAM	Page	@kb/kb_combat_n:ham	
Combat.Targeting.HAM	Text	String	@kb/kb_combat_d:ham	
Combat.Targeting	Status	Page	@kb/kb_combat_n:status	
Combat.Targeting.Status	Text	String	@kb/kb_combat_d:status	
Combat	Rules	Page	@kb/kb_combat_n:rules	
Combat.Rules	Text	String	@kb/kb_combat_d:rules	
Combat.Rules	Postures	Page	@kb/kb_combat_n:postures	
Combat.Rules.Postures	Text	String	@kb/kb_combat_d:postures	
Combat.Rules	States	Page	@kb/kb_combat_n:states	
Combat.Rules.States	Text	String	@kb/kb_combat_d:states	
Combat.Rules	Range	Page	@kb/kb_combat_n:range	
Combat.Rules.Range	Text	String	@kb/kb_combat_d:range	
Combat.Rules	Armor	Page	@kb/kb_combat_n:armor	
Combat.Rules.Armor	Text	String	@kb/kb_combat_d:armor	
Combat.Rules	Weapons	Page	@kb/kb_combat_n:weapons	
Combat.Rules.Weapons	Text	String	@kb/kb_combat_d:weapons	
Combat.Rules	EquipmentDamage	Page	@kb/kb_combat_n:equipmentdamage	
Combat.Rules.EquipmentDamage	Text	String	@kb/kb_combat_d:equipmentdamage	
Combat.Rules	Looting	Page	@kb/kb_combat_n:looting	
Combat.Rules.Looting	Text	String	@kb/kb_combat_d:looting	
Combat	Death	Page	@kb/kb_combat_n:death	
Combat.Death	Text	String	@kb/kb_combat_d:death	
Combat.Death	Insurance	Page	@kb/kb_combat_n:insurance	
Combat.Death.Insurance	Text	String	@kb/kb_combat_d:insurance	
Combat.Death	Cloning	Page	@kb/kb_combat_n:cloning	
Combat.Death.Cloning	Text	String	@kb/kb_combat_d:cloning	
Combat.Death	Incapacitation	Page	@kb/kb_combat_n:incapacitation	
Combat.Death.Incapacitation	Text	String	@kb/kb_combat_d:incapacitation	
Combat.Death	Corpses	Page	@kb/kb_combat_n:corpses	
Combat.Death.Corpses	Text	String	@kb/kb_combat_d:corpses	
Combat.Death.Corpses	Consent	Page	@kb/kb_combat_n:corpseconsent	
Combat.Death.Corpses.Consent	Text	String	@kb/kb_combat_d:corpseconsent	
Combat	GCW	Page	@kb/kb_combat_n:gcw	
Combat.GCW	Text	String	@kb/kb_combat_d:gcw	
Combat.GCW	JoiningAFaction	Page	@kb/kb_combat_n:joiningafaction	
Combat.GCW.JoiningAFaction	Text	String	@kb/kb_combat_d:joiningafaction	
Combat.GCW	PvPRules	Page	@kb/kb_combat_n:pvprules	
Combat.GCW.PvPRules	Text	String	@kb/kb_combat_d:pvprules	
Combat.GCW	Perks	Page	@kb/kb_combat_n:perks	
Combat.GCW.Perks	Text	String	@kb/kb_combat_d:perks	
Combat.GCW	LeavingAFaction	Page	@kb/kb_combat_n:leavingafaction	
Combat.GCW.LeavingAFaction	Text	String	@kb/kb_combat_d:leavingafaction	
