Parent	Name	Type	Data1	Data2
s	s	s	s	s
	Communication	Page	@kb/kb_communication_n:communication	
Communication	Text	String	@kb/kb_communication_d:communication	
Communication	ChatBox	Page	@kb/kb_communication_n:chatbox	
Communication.ChatBox	Text	String	@kb/kb_communication_d:chatbox	
Communication.ChatBox	MultiChatBoxes	Page	@kb/kb_communication_n:multichatboxes	
Communication.ChatBox.MultiChatBoxes	Text	String	@kb/kb_communication_d:multichatboxes	
Communication.ChatBox	Shortcuts	Page	@kb/kb_communication_n:shortcuts	
Communication.ChatBox.Shortcuts	Text	String	@kb/kb_communication_d:shortcuts	
Communication	Spatial	Page	@kb/kb_communication_n:spatial	
Communication.Spatial	Text	String	@kb/kb_communication_d:spatial	
Communication.Spatial	Moods	Page	@kb/kb_communication_n:moods	
Communication.Spatial.Moods	Text	String	@kb/kb_communication_d:moods	
Communication.Spatial	SayAlts	Page	@kb/kb_communication_n:sayalts	
Communication.Spatial.SayAlts	Text	String	@kb/kb_communication_d:sayalts	
Communication.Spatial	Socials	Page	@kb/kb_communication_n:socials	
Communication.Spatial.Socials	Text	String	@kb/kb_communication_d:socials	
Communication	Distant	Page	@kb/kb_communication_n:distant	
Communication.Distant	Text	String	@kb/kb_communication_d:distant	
Communication.Distant	Tell	Page	@kb/kb_communication_n:tell	
Communication.Distant.Tell	Text	String	@kb/kb_communication_d:tell	
Communication.Distant	Mail	Page	@kb/kb_communication_n:mail	
Communication.Distant.Mail	Text	String	@kb/kb_communication_d:mail	
Communication.Distant	Channels	Page	@kb/kb_communication_n:channels	
Communication.Distant.Channels	Text	String	@kb/kb_communication_d:channels	
Communication.Distant.Channels	Moderating	Page	@kb/kb_communication_n:moderating	
Communication.Distant.Channels.Moderating	Text	String	@kb/kb_communication_d:moderating	
Communication	FindingFriends	Page	@kb/kb_communication_n:findingfriends	
Communication.FindingFriends	Text	String	@kb/kb_communication_d:findingfriends	
Communication.FindingFriends	Matchmaking	Page	@kb/kb_communication_n:matchmaking	
Communication.FindingFriends.Matchmaking	Text	String	@kb/kb_communication_d:matchmaking	
Communication.FindingFriends	FriendsList	Page	@kb/kb_communication_n:friendslist	
Communication.FindingFriends.FriendsList	Text	String	@kb/kb_communication_d:friendslist	
Communication.FindingFriends	Search	Page	@kb/kb_communication_n:search	
Communication.FindingFriends.Search	Text	String	@kb/kb_communication_d:search	
