Parent	Name	Type	Data1	Data2
s	s	s	s	s
	Crafting	Page	@kb/kb_crafting_n:crafting	
Crafting	Text	String	@kb/kb_crafting_d:crafting	
Crafting	DraftSchematics	Page	@kb/kb_crafting_n:draftschematics	
Crafting.DraftSchematics	Text	String	@kb/kb_crafting_d:draftschematics	
Crafting	FindingResources	Page	@kb/kb_crafting_n:findingresources	
Crafting.FindingResources	Text	String	@kb/kb_crafting_d:findingresources	
Crafting.FindingResources	Sampling	Page	@kb/kb_crafting_n:sampling	
Crafting.FindingResources.Sampling	Text	String	@kb/kb_crafting_d:sampling	
Crafting.FindingResources	Harvesting	Page	@kb/kb_crafting_n:harvesting	
Crafting.FindingResources.Harvesting	Text	String	@kb/kb_crafting_d:harvesting	
Crafting.FindingResources	Foraging	Page	@kb/kb_crafting_n:foraging	
Crafting.FindingResources.Foraging	Text	String	@kb/kb_crafting_d:foraging	
Crafting.FindingResources	Harvesters	Page	@kb/kb_crafting_n:harvesters	
Crafting.FindingResources.Harvesters	Text	String	@kb/kb_crafting_d:harvesters	
Crafting	ToolsAndStations	Page	@kb/kb_crafting_n:toolsandstations	
Crafting.ToolsAndStations	Text	String	@kb/kb_crafting_d:toolsandstations	
Crafting	Assembly	Page	@kb/kb_crafting_n:assembly	
Crafting.Assembly	Text	String	@kb/kb_crafting_d:assembly	
Crafting	Experimentation	Page	@kb/kb_crafting_n:experimentation	
Crafting.Experimentation	Text	String	@kb/kb_crafting_d:experimentation	
Crafting	Customization	Page	@kb/kb_crafting_n:customization	
Crafting.Customization	Text	String	@kb/kb_crafting_d:customization	
Crafting	ManfSchematics	Page	@kb/kb_crafting_n:manfschematics	
Crafting.ManfSchematics	Text	String	@kb/kb_crafting_d:manfschematics	
Crafting.ManfSchematics	ManfIngredients	Page	@kb/kb_crafting_n:manfingredients	
Crafting.ManfSchematics.ManfIngredients	Text	String	@kb/kb_crafting_d:manfingredients	
Crafting	Factories	Page	@kb/kb_crafting_n:factories	
Crafting.Factories	Text	String	@kb/kb_crafting_d:factories	
Crafting	Selling	Page	@kb/kb_crafting_n:selling	
Crafting.Selling	Text	String	@kb/kb_crafting_d:selling	
