Parent	Name	Type	Data1	Data2
s	s	s	s	s
	Interface	Page	@kb/kb_interface_n:interface	
Interface	Text	String	@kb/kb_interface_d:interface	
Interface	HUD	Page	@kb/kb_interface_n:hud	
Interface.HUD	Text	String	@kb/kb_interface_d:hud	
Interface.HUD	Chat	Page	@kb/kb_interface_n:chat	
Interface.HUD.Chat	Text	String	@kb/kb_interface_d:chat	
Interface.HUD	Radar	Page	@kb/kb_interface_n:radar	
Interface.HUD.Radar	Text	String	@kb/kb_interface_d:radar	
Interface.HUD	ButtonBar	Page	@kb/kb_interface_n:buttonbar	
Interface.HUD.ButtonBar	Text	String	@kb/kb_interface_d:buttonbar	
Interface.HUD	Toolbar	Page	@kb/kb_interface_n:toolbar	
Interface.HUD.Toolbar	Text	String	@kb/kb_interface_d:toolbar	
Interface.HUD	Status	Page	@kb/kb_interface_n:status	
Interface.HUD.Status	Text	String	@kb/kb_interface_d:status	
Interface.HUD	Cursor	Page	@kb/kb_interface_n:cursor	
Interface.HUD.Cursor	Text	String	@kb/kb_interface_d:cursor	
Interface	Windows	Page	@kb/kb_interface_n:windows	
Interface.Windows	Text	String	@kb/kb_interface_d:windows	
Interface.Windows	Skills	Page	@kb/kb_interface_n:skills	
Interface.Windows.Skills	Text	String	@kb/kb_interface_d:skills	
Interface.Windows	Actions	Page	@kb/kb_interface_n:actions	
Interface.Windows.Actions	Text	String	@kb/kb_interface_d:actions	
Interface.Windows	CS	Page	@kb/kb_interface_n:cs	
Interface.Windows.CS	Text	String	@kb/kb_interface_d:cs	
Interface.Windows	Personal	Page	@kb/kb_interface_n:personal	
Interface.Windows.Personal	Text	String	@kb/kb_interface_d:personal	
Interface.Windows	PlanetaryMap	Page	@kb/kb_interface_n:planetarymap	
Interface.Windows.PlanetaryMap	Text	String	@kb/kb_interface_d:planetarymap	
Interface.Windows	Inventory	Page	@kb/kb_interface_n:inventory	
Interface.Windows.Inventory	Text	String	@kb/kb_interface_d:inventory	
Interface.Windows	Datapad	Page	@kb/kb_interface_n:datapad	
Interface.Windows.Datapad	Text	String	@kb/kb_interface_d:datapad	
Interface.Windows	Options	Page	@kb/kb_interface_n:options	
Interface.Windows.Options	Text	String	@kb/kb_interface_d:options	
Interface.Windows.Options	Graphics	Page	@kb/kb_interface_n:graphics	
Interface.Windows.Options.Graphics	Text	String	@kb/kb_interface_d:graphics	
Interface.Windows.Options	Terrain	Page	@kb/kb_interface_n:terrain	
Interface.Windows.Options.Terrain	Text	String	@kb/kb_interface_d:terrain	
Interface.Windows.Options	Sound	Page	@kb/kb_interface_n:sound	
Interface.Windows.Options.Sound	Text	String	@kb/kb_interface_d:sound	
Interface.Windows.Options	Combat	Page	@kb/kb_interface_n:combat	
Interface.Windows.Options.Combat	Text	String	@kb/kb_interface_d:combat	
Interface.Windows.Options	Chat	Page	@kb/kb_interface_n:chatopt	
Interface.Windows.Options.Chat	Text	String	@kb/kb_interface_d:chatopt	
Interface.Windows.Options	ChatColor	Page	@kb/kb_interface_n:chatcolor	
Interface.Windows.Options.ChatColor	Text	String	@kb/kb_interface_d:chatcolor	
Interface.Windows.Options	Alarm	Page	@kb/kb_interface_n:alarm	
Interface.Windows.Options.Alarm	Text	String	@kb/kb_interface_d:alarm	
Interface.Windows.Options	AFK	Page	@kb/kb_interface_n:afk	
Interface.Windows.Options.AFK	Text	String	@kb/kb_interface_d:afk	
Interface.Windows.Options	Interface	Page	@kb/kb_interface_n:interfaceopt	
Interface.Windows.Options.Interface	Text	String	@kb/kb_interface_d:interfaceopt	
Interface.Windows.Options	Controls	Page	@kb/kb_interface_n:controls	
Interface.Windows.Options.Controls	Text	String	@kb/kb_interface_d:controls	
Interface.Windows.Options	Misc	Page	@kb/kb_interface_n:misc	
Interface.Windows.Options.Misc	Text	String	@kb/kb_interface_d:misc	
Interface.Windows	Mail	Page	@kb/kb_interface_n:mail	
Interface.Windows.Mail	Text	String	@kb/kb_interface_d:mail	
Interface.Windows	Community	Page	@kb/kb_interface_n:community	
Interface.Windows.Community	Text	String	@kb/kb_interface_d:community	
Interface.Windows.Community	Matchmaking	Page	@kb/kb_interface_n:matchmaking	
Interface.Windows.Community.Matchmaking	Text	String	@kb/kb_interface_d:matchmaking	
Interface.Windows.Community	Search	Page	@kb/kb_interface_n:search	
Interface.Windows.Community.Search	Text	String	@kb/kb_interface_d:search	
Interface.Windows.Community	FriendsList	Page	@kb/kb_interface_n:friendslist	
Interface.Windows.Community.FriendsList	Text	String	@kb/kb_interface_d:friendslist	
Interface.Windows.Community	IgnoreList	Page	@kb/kb_interface_n:ignore	
Interface.Windows.Community.IgnoreList	Text	String	@kb/kb_interface_d:ignore	
