Parent	Name	Type	Data1	Data2
s	s	s	s	s
	Missions	Page	@kb/kb_missions_n:missions	
Missions	Text	String	@kb/kb_missions_d:missions	
Missions	Deliver	Page	@kb/kb_missions_n:deliver	
Missions.Deliver	Text	String	@kb/kb_missions_d:deliver	
Missions	Destroy	Page	@kb/kb_missions_n:destroy	
Missions.Destroy	Text	String	@kb/kb_missions_d:destroy	
Missions	Escort	Page	@kb/kb_missions_n:escort	
Missions.Escort	Text	String	@kb/kb_missions_d:escort	
Missions	Fetch	Page	@kb/kb_missions_n:fetch	
Missions.Fetch	Text	String	@kb/kb_missions_d:fetch	
Missions	Gig	Page	@kb/kb_missions_n:gig	
Missions.Gig	Text	String	@kb/kb_missions_d:gig	
Missions.Gig	MusicLink	LinkButton	@kb/kb_missions_d:link_music	Missions.Gig.Music
Missions.Gig	DanceLink	LinkButton	@kb/kb_missions_d:link_dance	Missions.Gig.Dance
Missions.Gig	Music	Page	@kb/kb_missions_n:musician	
Missions.Gig.Music	Text	String	@kb/kb_missions_d:musician	
Missions.Gig	Dance	Page	@kb/kb_missions_n:dancer	
Missions.Gig.Dance	Text	String	@kb/kb_missions_d:dancer	
Missions	Survey	Page	@kb/kb_missions_n:survey	
Missions.Survey	Text	String	@kb/kb_missions_d:survey	
Missions	Crafting	Page	@kb/kb_missions_n:crafting	
Missions.Crafting	Text	String	@kb/kb_missions_d:crafting	
Missions	Recon	Page	@kb/kb_missions_n:recon	
Missions.Recon	Text	String	@kb/kb_missions_d:recon	
Missions	Bounty	Page	@kb/kb_missions_n:bounty	
Missions.Bounty	Text	String	@kb/kb_missions_d:bounty	
Missions.Bounty	EasyLink	LinkButton	@kb/kb_missions_d:link_easy	Missions.Bounty.Easy
Missions.Bounty	HardLink	LinkButton	@kb/kb_missions_d:link_hard	Missions.Bounty.Hard
Missions.Bounty	Easy	Page	@kb/kb_missions_n:bountyeasy	
Missions.Bounty.Easy	Text	String	@kb/kb_missions_d:bountyeasy	
Missions.Bounty	Hard	Page	@kb/kb_missions_n:bountyhard	
Missions.Bounty.Hard	Text	String	@kb/kb_missions_d:bountyhard	
