Parent	Name	Type	Data1	Data2
s	s	s	s	s
	Navigation	Page	@kb/kb_navigation_n:navigation	
Navigation	Text	String	@kb/kb_navigation_d:navigation	
Navigation	Radar	Page	@kb/kb_navigation_n:radar	
Navigation.Radar	Text	String	@kb/kb_navigation_d:radar	
Navigation	PlanetaryMap	Page	@kb/kb_navigation_n:planetarymap	
Navigation.PlanetaryMap	Text	String	@kb/kb_navigation_d:planetarymap	
Navigation	OverheadMap	Page	@kb/kb_navigation_n:overheadmap	
Navigation.OverheadMap	Text	String	@kb/kb_navigation_d:overheadmap	
Navigation	Waypoints	Page	@kb/kb_navigation_n:waypoints	
Navigation.Waypoints	Text	String	@kb/kb_navigation_d:waypoints	
Navigation	LongDistanceTravel	Page	@kb/kb_navigation_n:longdistancetravel	
Navigation.LongDistanceTravel	Text	String	@kb/kb_navigation_d:longdistancetravel	
Navigation	ThingsToFind	Page	@kb/kb_navigation_n:thingstofind	
Navigation.ThingsToFind	Text	String	@kb/kb_navigation_d:thingstofind	
Navigation.ThingsToFind	Players	Page	@kb/kb_navigation_n:findplayers	
Navigation.ThingsToFind.Players	Text	String	@kb/kb_navigation_d:findplayers	
Navigation.ThingsToFind	Terminals	Page	@kb/kb_navigation_n:findterminals	
Navigation.ThingsToFind.Terminals	Text	String	@kb/kb_navigation_d:findterminals	
Navigation.ThingsToFind.Terminals	Mission	Page	@kb/kb_navigation_n:terminalsmission	
Navigation.ThingsToFind.Terminals.Mission	Text	String	@kb/kb_navigation_d:terminalsmissiont	
Navigation.ThingsToFind.Terminals	Starport	Page	@kb/kb_navigation_n:terminalsstarport	
Navigation.ThingsToFind.Terminals.Starport	Text	String	@kb/kb_navigation_d:terminalsstarport	
Navigation.ThingsToFind.Terminals	Shuttleport	Page	@kb/kb_navigation_n:terminalsshuttleport	
Navigation.ThingsToFind.Terminals.Shuttleport	Text	String	@kb/kb_navigation_d:terminalshuttleport	
Navigation.ThingsToFind.Terminals	Bank	Page	@kb/kb_navigation_n:terminalsbank	
Navigation.ThingsToFind.Terminals.Bank	Text	String	@kb/kb_navigation_d:terminalsbank	
Navigation.ThingsToFind.Terminals	Cloning	Page	@kb/kb_navigation_n:terminalscloning	
Navigation.ThingsToFind.Terminals.Cloning	Text	String	@kb/kb_navigation_d:terminalscloning	
Navigation.ThingsToFind.Terminals	Insurance	Page	@kb/kb_navigation_n:terminalsinsurance	
Navigation.ThingsToFind.Terminals.Insurance	Text	String	@kb/kb_navigation_d:terminalsinsurance	
Navigation.ThingsToFind.Terminals	Bazaar	Page	@kb/kb_navigation_n:terminalsbazaar	
Navigation.ThingsToFind.Terminals.Bazaar	Text	String	@kb/kb_navigation_d:terminalsbazaar	
Navigation.ThingsToFind	NPCs	Page	@kb/kb_navigation_n:npcs	
Navigation.ThingsToFind.NPCs	Text	String	@kb/kb_navigation_d:npcs	
Navigation.ThingsToFind	Creatures	Page	@kb/kb_navigation_n:creatures	
Navigation.ThingsToFind.Creatures	Text	String	@kb/kb_navigation_d:creatures	
Navigation.ThingsToFind	NPCLairs	Page	@kb/kb_navigation_n:npclairs	
Navigation.ThingsToFind.NPCLairs	Text	String	@kb/kb_navigation_d:npclairs	
Navigation.ThingsToFind	CreatureLairs	Page	@kb/kb_navigation_n:creaturelairs	
Navigation.ThingsToFind.CreatureLairs	Text	String	@kb/kb_navigation_d:creaturelairs	
Navigation.ThingsToFind	POIs	Page	@kb/kb_navigation_n:pois	
Navigation.ThingsToFind.POIs	Text	String	@kb/kb_navigation_d:pois	
Navigation.ThingsToFind	Strongholds	Page	@kb/kb_navigation_n:findstrongholds	
Navigation.ThingsToFind.Strongholds	Text	String	@kb/kb_navigation_d:findstrongholds	
Navigation.ThingsToFind	Battlefields	Page	@kb/kb_navigation_n:battlefields	
Navigation.ThingsToFind.Battlefields	Text	String	@kb/kb_navigation_d:battlefields	
Navigation	Buildings	Page	@kb/kb_navigation_n:buildings	
Navigation.Buildings	Text	String	@kb/kb_navigation_d:buildings	
Navigation.Buildings	Bank	Page	@kb/kb_navigation_n:bank	
Navigation.Buildings.Bank	Text	String	@kb/kb_navigation_d:bank	
Navigation.Buildings.Bank	Button1	CommandButton	@kb/kb_navigation_n:findbutton	/find
Navigation.Buildings	Cloning	Page	@kb/kb_navigation_n:cloningfacility	
Navigation.Buildings.Cloning	Text	String	@kb/kb_navigation_d:cloningfacility	
Navigation.Buildings.Cloning	Button1	CommandButton	@kb/kb_navigation_n:findbutton	/find
Navigation.Buildings	Cantina	Page	@kb/kb_navigation_n:cantina	
Navigation.Buildings.Cantina	Text	String	@kb/kb_navigation_d:cantina	
Navigation.Buildings.Cantina	Button1	CommandButton	@kb/kb_navigation_n:findbutton	/find
Navigation.Buildings	Theater	Page	@kb/kb_navigation_n:theater	
Navigation.Buildings.Theater	Text	String	@kb/kb_navigation_d:theater	
Navigation.Buildings.Theater	Button1	CommandButton	@kb/kb_navigation_n:findbutton	/find
Navigation.Buildings	Hotel	Page	@kb/kb_navigation_n:hotel	
Navigation.Buildings.Hotel	Text	String	@kb/kb_navigation_d:hotel	
Navigation.Buildings.Hotel	Button1	CommandButton	@kb/kb_navigation_n:findbutton	/find
Navigation.Buildings	Hospital	Page	@kb/kb_navigation_n:hospital	
Navigation.Buildings.Hospital	Text	String	@kb/kb_navigation_d:hospital	
Navigation.Buildings.Hospital	Button1	CommandButton	@kb/kb_navigation_n:findbutton	/find
Navigation.Buildings	MedicalCenter	Page	@kb/kb_navigation_n:medicalcenter	
Navigation.Buildings.MedicalCenter	Text	String	@kb/kb_navigation_n:medicalcenter	
Navigation.Buildings.MedicalCenter	Button1	CommandButton	@kb/kb_navigation_n:findbutton	/find
Navigation.Buildings	Tavern	Page	@kb/kb_navigation_n:tavern	
Navigation.Buildings.Tavern	Text	String	@kb/kb_navigation_d:tavern	
Navigation.Buildings.Tavern	Button1	CommandButton	@kb/kb_navigation_n:findbutton	/find
Navigation.Buildings	Barracks	Page	@kb/kb_navigation_n:barracks	
Navigation.Buildings.Barracks	Text	String	@kb/kb_navigation_d:barracks	
Navigation.Buildings.Barracks	Button1	CommandButton	@kb/kb_navigation_n:findbutton	/find
Navigation.Buildings	Starport	Page	@kb/kb_navigation_n:starport	
Navigation.Buildings.Starport	Text	String	@kb/kb_navigation_d:starport	
Navigation.Buildings.Starport	Button1	CommandButton	@kb/kb_navigation_n:findbutton	/find
Navigation.Buildings	Shuttleport	Page	@kb/kb_navigation_n:shuttleport	
Navigation.Buildings.Shuttleport	Text	String	@kb/kb_navigation_d:shuttleport	
Navigation.Buildings.Shuttleport	Button1	CommandButton	@kb/kb_navigation_n:findbutton	/find
Navigation.Buildings	CombatGuild	Page	@kb/kb_navigation_n:combatguild	
Navigation.Buildings.CombatGuild	Text	String	@kb/kb_navigation_d:combatguild	
Navigation.Buildings.CombatGuild	Button1	CommandButton	@kb/kb_navigation_n:findbutton	/find
Navigation.Buildings	CommerceGuild	Page	@kb/kb_navigation_n:commerceguild	
Navigation.Buildings.CommerceGuild	Text	String	@kb/kb_navigation_d:commerceguild	
Navigation.Buildings.CommerceGuild	Button1	CommandButton	@kb/kb_navigation_n:findbutton	/find
Navigation.Buildings	University	Page	@kb/kb_navigation_n:university	
Navigation.Buildings.University	Text	String	@kb/kb_navigation_d:university	
Navigation.Buildings.University	Button1	CommandButton	@kb/kb_navigation_n:findbutton	/find
Navigation.Buildings	Garage	Page	@kb/kb_navigation_n:garage	
Navigation.Buildings.Garage	Text	String	@kb/kb_navigation_d:garage	
Navigation.Buildings.Garage	Button1	CommandButton	@kb/kb_navigation_n:findbutton	/find
