Parent	Name	Type	Data1	Data2
s	s	s	s	s
	PlayerCities	Page	@kb/kb_player_cities_n:player_cities_n	
PlayerCities	Text	String	@kb/kb_player_cities_n:player_cities_d	
PlayerCities	CreatingACity	Page	@kb/kb_player_cities_n:create_city_n	
PlayerCities.CreatingACity	Text	String	@kb/kb_player_cities_n:create_city_d	
PlayerCities	RunningACity	Page	@kb/kb_player_cities_n:run_city_n	
PlayerCities.RunningACity	Text	String	@kb/kb_player_cities_n:run_city_d	
PlayerCities.RunningACity	Voting	Page	@kb/kb_player_cities_n:voting_n	
PlayerCities.RunningACity.Voting	Text	String	@kb/kb_player_cities_n:voting_d	
PlayerCities.RunningACity	Taxation	Page	@kb/kb_player_cities_n:taxation_n	
PlayerCities.RunningACity.Taxation	Text	String	@kb/kb_player_cities_n:taxation_d	
PlayerCities.RunningACity	Maintenance	Page	@kb/kb_player_cities_n:maint_n	
PlayerCities.RunningACity.Maintenance	Text	String	@kb/kb_player_cities_n:maint_d	
PlayerCities.RunningACity	Militia	Page	@kb/kb_player_cities_n:militia_n	
PlayerCities.RunningACity.Militia	Text	String	@kb/kb_player_cities_n:militia_d	
PlayerCities.RunningACity	Rank	Page	@kb/kb_player_cities_n:rank_n	
PlayerCities.RunningACity.Rank	Text	String	@kb/kb_player_cities_n:rank_d	
PlayerCities.RunningACity	Spec	Page	@kb/kb_player_cities_n:spec_n	
PlayerCities.RunningACity.Spec	Text	String	@kb/kb_player_cities_n:spec_d	
PlayerCities	JoiningACity	Page	@kb/kb_player_cities_n:join_city_n	
PlayerCities.JoiningACity	Text	String	@kb/kb_player_cities_n:join_city_d	
PlayerCities	CityStructures	Page	@kb/kb_player_cities_n:city_structures_n	
PlayerCities.CityStructures	Text	String	@kb/kb_player_cities_n:city_structures_d	
PlayerCities.CityStructures	CivicStructures	Page	@kb/kb_player_cities_n:civic_structures_n	
PlayerCities.CityStructures.CivicStructures	Text	String	@kb/kb_player_cities_n:civic_structures_d	
PlayerCities.CityStructures.CivicStructures	Bank	Page	@kb/kb_player_cities_n:bank_n	
PlayerCities.CityStructures.CivicStructures.Bank	Text	String	@kb/kb_player_cities_n:bank_d	
PlayerCities.CityStructures.CivicStructures	CityHall	Page	@kb/kb_player_cities_n:city_hall_n	
PlayerCities.CityStructures.CivicStructures.CityHall	Text	String	@kb/kb_player_cities_n:city_hall_d	
PlayerCities.CityStructures.CivicStructures	CloningFacility	Page	@kb/kb_player_cities_n:cloning_n	
PlayerCities.CityStructures.CivicStructures.CloningFacility	Text	String	@kb/kb_player_cities_n:cloning_d	
PlayerCities.CityStructures.CivicStructures	Gardens	Page	@kb/kb_player_cities_n:gardens_n	
PlayerCities.CityStructures.CivicStructures.Gardens	Text	String	@kb/kb_player_cities_n:gardens_d	
PlayerCities.CityStructures.CivicStructures	Shuttleport	Page	@kb/kb_player_cities_n:shuttleport_n	
PlayerCities.CityStructures.CivicStructures.Shuttleport	Text	String	@kb/kb_player_cities_n:shuttleport_d	
PlayerCities.CityStructures.CivicStructures	Garage	Page	@kb/kb_player_cities_n:garage_n	
PlayerCities.CityStructures.CivicStructures.Garage	Text	String	@kb/kb_player_cities_n:garage_d	
PlayerCities.CityStructures.CivicStructures	Decorations	Page	@kb/kb_player_cities_n:decorations_n	
PlayerCities.CityStructures.CivicStructures.Decorations	Text	String	@kb/kb_player_cities_n:decorations_d	
PlayerCities.CityStructures.CivicStructures	MissionTerminals	Page	@kb/kb_player_cities_n:mt_n	
PlayerCities.CityStructures.CivicStructures.MissionTerminals	Text	String	@kb/kb_player_cities_n:mt_d	
PlayerCities.CityStructures.CivicStructures	SkillTrainers	Page	@kb/kb_player_cities_n:st_n	
PlayerCities.CityStructures.CivicStructures.SkillTrainers	Text	String	@kb/kb_player_cities_n:st_d	
PlayerCities.CityStructures	CommercialStructures	Page	@kb/kb_player_cities_n:commercial_structures_n	
PlayerCities.CityStructures.CommercialStructures	Text	String	@kb/kb_player_cities_n:commercial_structures_d	
PlayerCities.CityStructures.CommercialStructures	Cantina	Page	@kb/kb_player_cities_n:cantina_n	
PlayerCities.CityStructures.CommercialStructures.Cantina	Text	String	@kb/kb_player_cities_n:cantina_d	
PlayerCities.CityStructures.CommercialStructures	Hospital	Page	@kb/kb_player_cities_n:hospital_n	
PlayerCities.CityStructures.CommercialStructures.Hospital	Text	String	@kb/kb_player_cities_n:hospital_d	
PlayerCities.CityStructures.CommercialStructures	Theater	Page	@kb/kb_player_cities_n:theater_n	
PlayerCities.CityStructures.CommercialStructures.Theater	Text	String	@kb/kb_player_cities_n:theater_d	
