Parent	Name	Type	Data1	Data2
s	s	s	s	s
	Professions	Page	@kb/kb_professions_n:professions	
Professions	Text	String	@kb/kb_professions_d:professions	
Professions	Starting	Page	@kb/kb_professions_n:starting	
Professions.Starting	Text	String	@kb/kb_professions_d:starting	
Professions.Starting	Artisan	Page	@kb/kb_professions_n:artisan	
Professions.Starting.Artisan	Text	String	@kb/kb_professions_d:artisan	
Professions.Starting	Brawler	Page	@kb/kb_professions_n:brawler	
Professions.Starting.Brawler	Text	String	@kb/kb_professions_d:brawler	
Professions.Starting	Entertainer	Page	@kb/kb_professions_n:entertainer	
Professions.Starting.Entertainer	Text	String	@kb/kb_professions_d:entertainer	
Professions.Starting	Marksman	Page	@kb/kb_professions_n:marksman	
Professions.Starting.Marksman	Text	String	@kb/kb_professions_d:marksman	
Professions.Starting	Medic	Page	@kb/kb_professions_n:medic	
Professions.Starting.Medic	Text	String	@kb/kb_professions_d:medic	
Professions.Starting	Scout	Page	@kb/kb_professions_n:scout	
Professions.Starting.Scout	Text	String	@kb/kb_professions_d:scout	
Professions	Advanced	Page	@kb/kb_professions_n:advanced	
Professions.Advanced	Text	String	@kb/kb_professions_d:advanced	
Professions.Advanced	Architect	Page	@kb/kb_professions_n:architect	
Professions.Advanced.Architect	Text	String	@kb/kb_professions_d:architect	
Professions.Advanced	Armorsmith	Page	@kb/kb_professions_n:armorsmith	
Professions.Advanced.Armorsmith	Text	String	@kb/kb_professions_d:armorsmith	
Professions.Advanced	Bio-Engineer	Page	@kb/kb_professions_n:bioengineer	
Professions.Advanced.Bio-Engineer	Text	String	@kb/kb_professions_d:bioengineer	
Professions.Advanced	BountyHunter	Page	@kb/kb_professions_n:bountyhunter	
Professions.Advanced.BountyHunter	Text	String	@kb/kb_professions_d:bountyhunter	
Professions.Advanced	Carbineer	Page	@kb/kb_professions_n:carbineer	
Professions.Advanced.Carbineer	Text	String	@kb/kb_professions_d:carbineer	
Professions.Advanced	Chef	Page	@kb/kb_professions_n:chef	
Professions.Advanced.Chef	Text	String	@kb/kb_professions_d:chef	
Professions.Advanced	CombatMedic	Page	@kb/kb_professions_n:combatmedic	
Professions.Advanced.CombatMedic	Text	String	@kb/kb_professions_d:combatmedic	
Professions.Advanced	Commando	Page	@kb/kb_professions_n:commando	
Professions.Advanced.Commando	Text	String	@kb/kb_professions_d:commando	
Professions.Advanced	CreatureHandler	Page	@kb/kb_professions_n:creaturehandler	
Professions.Advanced.CreatureHandler	Text	String	@kb/kb_professions_d:creaturehandler	
Professions.Advanced	Dancer	Page	@kb/kb_professions_n:dancer	
Professions.Advanced.Dancer	Text	String	@kb/kb_professions_d:dancer	
Professions.Advanced	Doctor	Page	@kb/kb_professions_n:doctor	
Professions.Advanced.Doctor	Text	String	@kb/kb_professions_d:doctor	
Professions.Advanced	DroidEngineer	Page	@kb/kb_professions_n:droidengineer	
Professions.Advanced.DroidEngineer	Text	String	@kb/kb_professions_d:droidengineer	
Professions.Advanced	Fencer	Page	@kb/kb_professions_n:fencer	
Professions.Advanced.Fencer	Text	String	@kb/kb_professions_d:fencer	
Professions.Advanced	ImageDesigner	Page	@kb/kb_professions_n:imagedesigner	
Professions.Advanced.ImageDesigner	Text	String	@kb/kb_professions_d:imagedesigner	
Professions.Advanced	Merchant	Page	@kb/kb_professions_n:merchant	
Professions.Advanced.Merchant	Text	String	@kb/kb_professions_d:merchant	
Professions.Advanced	Musician	Page	@kb/kb_professions_n:musician	
Professions.Advanced.Musician	Text	String	@kb/kb_professions_d:musician	
Professions.Advanced	Pikeman	Page	@kb/kb_professions_n:pikeman	
Professions.Advanced.Pikeman	Text	String	@kb/kb_professions_d:pikeman	
Professions.Advanced	Pistoleer	Page	@kb/kb_professions_n:pistoleer	
Professions.Advanced.Pistoleer	Text	String	@kb/kb_professions_d:pistoleer	
Professions.Advanced	Politician	Page	@kb/kb_professions_n:politician	
Professions.Advanced.Politician	Text	String	@kb/kb_professions_d:politician	
Professions.Advanced	Ranger	Page	@kb/kb_professions_n:ranger	
Professions.Advanced.Ranger	Text	String	@kb/kb_professions_d:ranger	
Professions.Advanced	Rifleman	Page	@kb/kb_professions_n:rifleman	
Professions.Advanced.Rifleman	Text	String	@kb/kb_professions_d:rifleman	
Professions.Advanced	Smuggler	Page	@kb/kb_professions_n:smuggler	
Professions.Advanced.Smuggler	Text	String	@kb/kb_professions_d:smuggler	
Professions.Advanced	SquadLeader	Page	@kb/kb_professions_n:squadleader	
Professions.Advanced.SquadLeader	Text	String	@kb/kb_professions_d:squadleader	
Professions.Advanced	Swordsman	Page	@kb/kb_professions_n:swordsman	
Professions.Advanced.Swordsman	Text	String	@kb/kb_professions_d:swordsman	
Professions.Advanced	Tailor	Page	@kb/kb_professions_n:tailor	
Professions.Advanced.Tailor	Text	String	@kb/kb_professions_d:tailor	
Professions.Advanced	TerasKasiArtist	Page	@kb/kb_professions_n:teraskasiartist	
Professions.Advanced.TerasKasiArtist	Text	String	@kb/kb_professions_d:teraskasiartist	
Professions.Advanced	Weaponsmith	Page	@kb/kb_professions_n:weaponsmith	
Professions.Advanced.Weaponsmith	Text	String	@kb/kb_professions_d:weaponsmith	
Professions	ForceRank	Page	@kb/kb_professions_n:forcerank	
Professions.ForceRank	Text	String	@kb/kb_professions_d:forcerank	
Professions.ForceRank	Commands	Page	@kb/kb_professions_n:forcerank_commands	
Professions.ForceRank.Commands	Text	String	@kb/kb_professions_d:forcerank_commands	
Professions.ForceRank	AdvancementLight	Page	@kb/kb_professions_n:forcerank_advancement_light	
Professions.ForceRank.AdvancementLight	Text	String	@kb/kb_professions_d:forcerank_advancement_light	
Professions.ForceRank.AdvancementLight	Petitioning	Page	@kb/kb_professions_n:forcerank_petitioning	
Professions.ForceRank.AdvancementLight.Petitioning	Text	String	@kb/kb_professions_d:forcerank_petitioning	
Professions.ForceRank.AdvancementLight	Voting	Page	@kb/kb_professions_n:forcerank_voting	
Professions.ForceRank.AdvancementLight.Voting	Text	String	@kb/kb_professions_d:forcerank_voting	
Professions.ForceRank.AdvancementLight	Accepting	Page	@kb/kb_professions_n:forcerank_accepting	
Professions.ForceRank.AdvancementLight.Accepting	Text	String	@kb/kb_professions_d:forcerank_accepting	
Professions.ForceRank.AdvancementLight	Example	Page	@kb/kb_professions_n:forcerank_advancement_example	
Professions.ForceRank.AdvancementLight.Example	Text	String	@kb/kb_professions_d:forcerank_advancement_example	
Professions.ForceRank	Demotion	Page	@kb/kb_professions_n:forcerank_demotion	
Professions.ForceRank.Demotion	Text	String	@kb/kb_professions_d:forcerank_demotion	
Professions.ForceRank.Demotion	LosingExperience	Page	@kb/kb_professions_n:forcerank_losing_experience	
Professions.ForceRank.Demotion.LosingExperience	Text	String	@kb/kb_professions_d:forcerank_losing_experience	
Professions.ForceRank.Demotion	MinimumExperience	Page	@kb/kb_professions_n:forcerank_min_xp	
Professions.ForceRank.Demotion.MinimumExperience	Text	String	@kb/kb_professions_d:forcerank_min_xp	
Professions.ForceRank	AdvancementDark	Page	@kb/kb_professions_n:forcerank_advancement_dark	
Professions.ForceRank.AdvancementDark	Text	String	@kb/kb_professions_d:forcerank_advancement_dark	
Professions.ForceRank.AdvancementDark	ChallengeDuels	Page	@kb/kb_professions_n:forcerank_advancement_dark_duels	
Professions.ForceRank.AdvancementDark.ChallengeDuels	Text	String	@kb/kb_professions_d:forcerank_advancement_dark_duels	
Professions.ForceRank.AdvancementDark	ChallengeVoting	Page	@kb/kb_professions_n:forcerank_advancement_dark_voting	
Professions.ForceRank.AdvancementDark.ChallengeVoting	Text	String	@kb/kb_professions_d:forcerank_advancement_dark_voting	
Professions.ForceRank.AdvancementDark	AcceptingDarkVote	Page	@kb/kb_professions_n:forcerank_accepting_dark	
Professions.ForceRank.AdvancementDark.AcceptingDarkVote	Text	String	@kb/kb_professions_d:forcerank_accepting_dark	
Professions	ForceSensitive	Page	@kb/kb_professions_n:forcesensitive	
Professions.ForceSensitive	Text	String	@kb/kb_professions_d:forcesensitive	
Professions.ForceSensitive	Experience	Page	@kb/kb_professions_n:forcesensitive_experience	
Professions.ForceSensitive.Experience	Text	String	@kb/kb_professions_d:forcesensitive_experience	
Professions.ForceSensitive	Unlocking	Page	@kb/kb_professions_n:forcesensitive_unlocking	
Professions.ForceSensitive.Unlocking	Text	String	@kb/kb_professions_d:forcesensitive_unlocking	
Professions.ForceSensitive	Qualifying	Page	@kb/kb_professions_n:forcesensitive_qualifying	
Professions.ForceSensitive.Qualifying	Text	String	@kb/kb_professions_d:forcesensitive_qualifying	
