Parent	Name	Type	Data1	Data2
s	s	s	s	s
	Resources	Page	@kb/kb_resources_n:resources	
Resources	Text	String	@kb/kb_resources_d:resources	
Resources	ClassesAndTypes	Page	@kb/kb_resources_n:classesandtypes	
Resources.ClassesAndTypes	Text	String	@kb/kb_resources_d:classesandtypes	
Resources	Attributes	Page	@kb/kb_resources_n:attributes	
Resources.Attributes	Text	String	@kb/kb_resources_d:attributes	
Resources	ResourceTree	Page	@kb/kb_resources_n:resourcetree	
Resources.ResourceTree	Text	String	@kb/kb_resources_d:resourcetree	
Resources.ResourceTree	Organic	Page	@kb/kb_resources_n:organic	
Resources.ResourceTree.Organic	Image	Image	ui_res_organic	
Resources.ResourceTree.Organic	Text	String	@kb/kb_resources_d:organic	
Resources.ResourceTree.Organic	Creature	Page	@kb/kb_resources_n:creature	
Resources.ResourceTree.Organic.Creature	Image	Image	ui_res_creature_resources	
Resources.ResourceTree.Organic.Creature	Text	String	@kb/kb_resources_d:creature	
Resources.ResourceTree.Organic.Creature	Food	Page	@kb/kb_resources_n:creaturefood	
Resources.ResourceTree.Organic.Creature.Food	Image	Image	ui_res_creature_food	
Resources.ResourceTree.Organic.Creature.Food	Text	String	@kb/kb_resources_d:creaturefood	
Resources.ResourceTree.Organic.Creature.Food	Milk	Page	@kb/kb_resources_n:milk	
Resources.ResourceTree.Organic.Creature.Food.Milk	Image	Image	ui_res_milk	
Resources.ResourceTree.Organic.Creature.Food.Milk	Text	String	@kb/kb_resources_d:milk	
Resources.ResourceTree.Organic.Creature.Food	Meat	Page	@kb/kb_resources_n:meat	
Resources.ResourceTree.Organic.Creature.Food.Meat	Image	Image	ui_res_meat	
Resources.ResourceTree.Organic.Creature.Food.Meat	Text	String	@kb/kb_resources_d:meat	
Resources.ResourceTree.Organic.Creature.Food.Meat	Egg	Page	@kb/kb_resources_n:egg	
Resources.ResourceTree.Organic.Creature.Food.Meat.Egg	Image	Image	ui_res_meat	
Resources.ResourceTree.Organic.Creature.Food.Meat.Egg	Text	String	@kb/kb_resources_d:egg	
Resources.ResourceTree.Organic.Creature.Food.Meat	Seafood	Page	@kb/kb_resources_n:seafood	
Resources.ResourceTree.Organic.Creature.Food.Meat.Seafood	Image	Image	ui_res_meat	
Resources.ResourceTree.Organic.Creature.Food.Meat.Seafood	Text	String	@kb/kb_resources_d:seafood	
Resources.ResourceTree.Organic.Creature	Structural	Page	@kb/kb_resources_n:creaturestructural	
Resources.ResourceTree.Organic.Creature.Structural	Image	Image	ui_res_creature_structural	
Resources.ResourceTree.Organic.Creature.Structural	Text	String	@kb/kb_resources_d:creaturestructural	
Resources.ResourceTree.Organic.Creature.Structural	Bone	Page	@kb/kb_resources_n:bone	
Resources.ResourceTree.Organic.Creature.Structural.Bone	Image	Image	ui_res_bone	
Resources.ResourceTree.Organic.Creature.Structural.Bone	Text	String	@kb/kb_resources_d:bone	
Resources.ResourceTree.Organic.Creature.Structural	Horn	Page	@kb/kb_resources_n:horn	
Resources.ResourceTree.Organic.Creature.Structural.Horn	Image	Image	ui_res_bone	
Resources.ResourceTree.Organic.Creature.Structural.Horn	Text	String	@kb/kb_resources_d:horn	
Resources.ResourceTree.Organic.Creature.Structural	Hide	Page	@kb/kb_resources_n:hide	
Resources.ResourceTree.Organic.Creature.Structural.Hide	Image	Image	ui_res_hide	
Resources.ResourceTree.Organic.Creature.Structural.Hide	Text	String	@kb/kb_resources_d:hide	
Resources.ResourceTree.Organic	Flora	Page	@kb/kb_resources_n:flora	
Resources.ResourceTree.Organic.Flora	Image	Image	ui_res_flora_resources	
Resources.ResourceTree.Organic.Flora	Text	String	@kb/kb_resources_d:flora	
Resources.ResourceTree.Organic.Flora	Food	Page	@kb/kb_resources_n:florafood	
Resources.ResourceTree.Organic.Flora.Food	Image	Image	ui_res_flora_resources	
Resources.ResourceTree.Organic.Flora.Food	Text	String	@kb/kb_resources_d:florafood	
Resources.ResourceTree.Organic.Flora.Food	Cereal	Page	@kb/kb_resources_n:cereal	
Resources.ResourceTree.Organic.Flora.Food.Cereal	Image	Image	ui_res_cereal	
Resources.ResourceTree.Organic.Flora.Food.Cereal	Text	String	@kb/kb_resources_d:cereal	
Resources.ResourceTree.Organic.Flora.Food	Seed	Page	@kb/kb_resources_n:seed	
Resources.ResourceTree.Organic.Flora.Food.Seed	Image	Image	ui_res_seeds	
Resources.ResourceTree.Organic.Flora.Food.Seed	Text	String	@kb/kb_resources_d:seed	
Resources.ResourceTree.Organic.Flora.Food.Seed	Vegetable	Page	@kb/kb_resources_n:vegetable	
Resources.ResourceTree.Organic.Flora.Food.Seed.Vegetable	Image	Image	ui_res_seeds	
Resources.ResourceTree.Organic.Flora.Food.Seed.Vegetable	Text	String	@kb/kb_resources_d:vegetable	
Resources.ResourceTree.Organic.Flora.Food.Seed	Fruit	Page	@kb/kb_resources_n:fruit	
Resources.ResourceTree.Organic.Flora.Food.Seed.Fruit	Image	Image	ui_res_seeds	
Resources.ResourceTree.Organic.Flora.Food.Seed.Fruit	Text	String	@kb/kb_resources_d:fruit	
Resources.ResourceTree.Organic.Flora	Structural	Page	@kb/kb_resources_n:florastructural	
Resources.ResourceTree.Organic.Flora.Structural	Image	Image	ui_res_flora_structural	
Resources.ResourceTree.Organic.Flora.Structural	Text	String	@kb/kb_resources_d:florastructural	
Resources.ResourceTree.Organic.Flora.Structural	HardWood	Page	@kb/kb_resources_n:hardwood	
Resources.ResourceTree.Organic.Flora.Structural.HardWood	Image	Image	ui_res_flora_structural	
Resources.ResourceTree.Organic.Flora.Structural.HardWood	Text	String	@kb/kb_resources_d:hardwood	
Resources.ResourceTree.Organic.Flora.Structural	SoftWood	Page	@kb/kb_resources_n:softwood	
Resources.ResourceTree.Organic.Flora.Structural.SoftWood	Image	Image	ui_res_flora_structural	
Resources.ResourceTree.Organic.Flora.Structural.SoftWood	Text	String	@kb/kb_resources_d:softwood	
Resources.ResourceTree	Inorganic	Page	@kb/kb_resources_n:inorganic	
Resources.ResourceTree.Inorganic	Image	Image	ui_res_inorganic	
Resources.ResourceTree.Inorganic	Text	String	@kb/kb_resources_d:inorganic	
Resources.ResourceTree.Inorganic	Chemical	Page	@kb/kb_resources_n:chemical	
Resources.ResourceTree.Inorganic.Chemical	Image	Image	ui_res_underground_liquid	
Resources.ResourceTree.Inorganic.Chemical	Text	String	@kb/kb_resources_d:chemical	
Resources.ResourceTree.Inorganic.Chemical	LiquidPetrochemFuels	Page	@kb/kb_resources_n:liquidpetrochem	
Resources.ResourceTree.Inorganic.Chemical.LiquidPetrochemFuels	Image	Image	ui_res_fuel_petrochem_liquid	
Resources.ResourceTree.Inorganic.Chemical.LiquidPetrochemFuels	Text	String	@kb/kb_resources_d:liquidpetrochem	
Resources.ResourceTree.Inorganic.Chemical	InertPetrochem	Page	@kb/kb_resources_n:inertpetrochem	
Resources.ResourceTree.Inorganic.Chemical.InertPetrochem	Image	Image	ui_res_petrochem_inert	
Resources.ResourceTree.Inorganic.Chemical.InertPetrochem	Text	String	@kb/kb_resources_d:inertpetrochem	
Resources.ResourceTree.Inorganic.Chemical	Fiberplast	Page	@kb/kb_resources_n:fiberplast	
Resources.ResourceTree.Inorganic.Chemical.Fiberplast	Image	Image	ui_res_underground_liquid	
Resources.ResourceTree.Inorganic.Chemical.Fiberplast	Text	String	@kb/kb_resources_d:fiberplast	
Resources.ResourceTree.Inorganic	Water	Page	@kb/kb_resources_n:water	
Resources.ResourceTree.Inorganic.Water	Image	Image	ui_res_water	
Resources.ResourceTree.Inorganic.Water	Text	String	@kb/kb_resources_d:water	
Resources.ResourceTree.Inorganic.Water	Vapor	Page	@kb/kb_resources_n:vapor	
Resources.ResourceTree.Inorganic.Water.Vapor	Image	Image	ui_res_liquid_vapors	
Resources.ResourceTree.Inorganic.Water.Vapor	Text	String	@kb/kb_resources_d:vapor	
Resources.ResourceTree.Inorganic	Minerals	Page	@kb/kb_resources_n:minerals	
Resources.ResourceTree.Inorganic.Minerals	Image	Image	ui_res_mineral	
Resources.ResourceTree.Inorganic.Minerals	Text	String	@kb/kb_resources_d:minerals	
Resources.ResourceTree.Inorganic.Minerals	SolidPetrochemFuels	Page	@kb/kb_resources_n:solidpetrochem	
Resources.ResourceTree.Inorganic.Minerals.SolidPetrochemFuels	Image	Image	ui_res_fuel_petrochem_solid	
Resources.ResourceTree.Inorganic.Minerals.SolidPetrochemFuels	Text	String	@kb/kb_resources_d:solidpetrochem	
Resources.ResourceTree.Inorganic.Minerals	Radioactives	Page	@kb/kb_resources_n:radioactives	
Resources.ResourceTree.Inorganic.Minerals.Radioactives	Image	Image	ui_res_radioactive	
Resources.ResourceTree.Inorganic.Minerals.Radioactives	Text	String	@kb/kb_resources_d:radioactives	
Resources.ResourceTree.Inorganic.Minerals	Metals	Page	@kb/kb_resources_n:metals	
Resources.ResourceTree.Inorganic.Minerals.Metals	Image	Image	ui_res_metal	
Resources.ResourceTree.Inorganic.Minerals.Metals	Text	String	@kb/kb_resources_d:metals	
Resources.ResourceTree.Inorganic.Minerals.Metals	Ferrous	Page	@kb/kb_resources_n:ferrous	
Resources.ResourceTree.Inorganic.Minerals.Metals.Ferrous	Image	Image	ui_res_metal_ferrous	
Resources.ResourceTree.Inorganic.Minerals.Metals.Ferrous	Text	String	@kb/kb_resources_d:ferrous	
Resources.ResourceTree.Inorganic.Minerals.Metals	NonFerrous	Page	@kb/kb_resources_n:nonferrous	
Resources.ResourceTree.Inorganic.Minerals.Metals.NonFerrous	Image	Image	ui_res_metal_nonferrous	
Resources.ResourceTree.Inorganic.Minerals.Metals.NonFerrous	Text	String	@kb/kb_resources_d:nonferrous	
Resources.ResourceTree.Inorganic.Minerals	LowGradeOre	Page	@kb/kb_resources_n:lowgradeore	
Resources.ResourceTree.Inorganic.Minerals.LowGradeOre	Image	Image	ui_res_ore	
Resources.ResourceTree.Inorganic.Minerals.LowGradeOre	Text	String	@kb/kb_resources_d:lowgradeore	
Resources.ResourceTree.Inorganic.Minerals.LowGradeOre	Igneous	Page	@kb/kb_resources_n:igneous	
Resources.ResourceTree.Inorganic.Minerals.LowGradeOre.Igneous	Image	Image	ui_res_ore_igneous	
Resources.ResourceTree.Inorganic.Minerals.LowGradeOre.Igneous	Text	String	@kb/kb_resources_d:igneous	
Resources.ResourceTree.Inorganic.Minerals.LowGradeOre	Sedimentary	Page	@kb/kb_resources_n:sedimentary	
Resources.ResourceTree.Inorganic.Minerals.LowGradeOre.Sedimentary	Image	Image	ui_res_ore_sedimentary	
Resources.ResourceTree.Inorganic.Minerals.LowGradeOre.Sedimentary	Text	String	@kb/kb_resources_d:sedimentary	
Resources.ResourceTree.Inorganic.Minerals	Gemstone	Page	@kb/kb_resources_n:gemstone	
Resources.ResourceTree.Inorganic.Minerals.Gemstone	Image	Image	ui_res_gemstone	
Resources.ResourceTree.Inorganic.Minerals.Gemstone	Text	String	@kb/kb_resources_d:gemstone	
Resources.ResourceTree.Inorganic	Gas	Page	@kb/kb_resources_n:gas	
Resources.ResourceTree.Inorganic.Gas	Image	Image	ui_res_gas	
Resources.ResourceTree.Inorganic.Gas	Text	String	@kb/kb_resources_d:gas	
Resources.ResourceTree.Inorganic.Gas	Reactive	Page	@kb/kb_resources_n:reactive	
Resources.ResourceTree.Inorganic.Gas.Reactive	Image	Image	ui_res_gas_reactive	
Resources.ResourceTree.Inorganic.Gas.Reactive	Text	String	@kb/kb_resources_d:reactive	
Resources.ResourceTree.Inorganic.Gas	Inert	Page	@kb/kb_resources_n:inert	
Resources.ResourceTree.Inorganic.Gas.Inert	Image	Image	ui_res_gas_inert	
Resources.ResourceTree.Inorganic.Gas.Inert	Text	String	@kb/kb_resources_d:inert	
