StringId	Picture	Title
s	s	s
@loading/endor:lake_villages	loading/endor/cities/endor_lakevillage	@loading/endor_n:lake_villages
@loading/endor:marauder	loading/endor/cities/endor_marauderscamp	@loading/endor_n:marauder
@loading/endor:tree_villages	loading/endor/cities/endor_treevillage	@loading/endor_n:tree_villages
@loading/endor:blurrg	loading/endor/creatures/endor_blurrg	@loading/endor_n:blurrg
@loading/endor:ewok	loading/endor/creatures/endor_ewok	@loading/endor_n:ewok
@loading/endor:hanadak	loading/endor/creatures/endor_hanadak	@loading/endor_n:hanadak
@loading/endor:lantern_bird	loading/endor/creatures/endor_lanternbird	@loading/endor_n:lantern_bird
@loading/endor:merek	loading/endor/creatures/endor_merek	@loading/endor_n:merek
@loading/endor:remmer	loading/endor/creatures/endor_remmer	@loading/endor_n:remmer
@loading/endor:swirl_prong	loading/endor/creatures/endor_swirlprong	@loading/endor_n:swirl_prong
