StringId	Picture	Title
s	s	s
@loading/naboo:narglatch	loading/naboo/creatures/naboo_narglatch	@loading/naboo_n:narglatch
@loading/naboo:deeja_peak	loading/naboo/cities/naboo_deejapeak	@loading/naboo_n:deeja_peak
@loading/naboo:kadaara	loading/naboo/cities/naboo_keren	@loading/naboo_n:kadaara
@loading/naboo:moenia	loading/naboo/cities/naboo_moenia	@loading/naboo_n:moenia
@loading/naboo:theed	loading/naboo/cities/naboo_theed	@loading/naboo_n:theed
@loading/naboo:falumpaset	loading/naboo/creatures/naboo_falumpaset	@loading/naboo_n:falumpaset
@loading/naboo:fambaa	loading/naboo/creatures/naboo_fambaa	@loading/naboo_n:fambaa
@loading/naboo:gungan	loading/naboo/creatures/naboo_gungan	@loading/naboo_n:gungan
@loading/naboo:kaadu	loading/naboo/creatures/naboo_kaduu	@loading/naboo_n:kaadu
@loading/naboo:peko_peko	loading/naboo/creatures/naboo_pekopeko	@loading/naboo_n:peko_peko
@loading/naboo:tusk_cat	loading/naboo/creatures/naboo_tuskcat	@loading/naboo_n:tusk_cat
@loading/naboo:emperors_retreat	loading/naboo/landmarks/naboo_emperorsretreat	@loading/naboo_n:emperors_retreat
@loading/naboo:gungan_sacred_place	loading/naboo/landmarks/naboo_gungansacredplace	@loading/naboo_n:gungan_sacred_place
@loading/naboo:lake_retreat	loading/naboo/landmarks/naboo_lakeretreat	@loading/naboo_n:lake_retreat
@loading/naboo:theed_palace	loading/naboo/landmarks/naboo_theedpalace	@loading/naboo_n:theed_palace
@loading/naboo:darth_vader	loading/naboo/npcs/naboo_darthvader	@loading/naboo_n:darth_vader
@loading/naboo:emperor_palpatine	loading/naboo/landmarks/naboo_emperorsretreat	@loading/naboo_n:emperor_palpatine
@loading/naboo:gungan	loading/naboo/landmarks/naboo_gungansacredplace	@loading/naboo_n:gungan
@loading/naboo:kaja_orzee	loading/naboo/landmarks/naboo_emperorsretreat	@loading/naboo_n:kaja_orzee
@loading/naboo:keren	loading/naboo/cities/naboo_kadaara	@loading/naboo_n:keren
@loading/naboo:loam_redge	loading/naboo/landmarks/naboo_emperorsretreat	@loading/naboo_n:loam_redge
@loading/naboo:lord_hethrir	loading/naboo/landmarks/naboo_emperorsretreat	@loading/naboo_n:lord_hethrir
@loading/naboo:naboo	loading/naboo/landmarks/naboo_theedpalace	@loading/naboo_n:theed
