StringId	Picture	Title
s	s	s
@loading/space_tatooine:booster_tip	loading/space/images/space_load_booster	@loading/space_tatooine:booster_title
@loading/space_tatooine:target_tip	loading/space/images/space_load_combat	@loading/space_tatooine:target_title
@loading/space_tatooine:docking_tip	loading/space/images/space_load_docking	@loading/space_tatooine:docking_title
@loading/space_tatooine:eject_tip	loading/space/images/space_load_escapepod	@loading/space_tatooine:eject_title
@loading/space_tatooine:flightcontrol_tip	loading/space/images/space_load_flightcontrol	@loading/space_tatooine:flightcontrol_title
@loading/space_tatooine:station_tip	loading/space/images/space_load_landing	@loading/space_tatooine:station_title
@loading/space_tatooine:missions_tip	loading/space/images/space_load_missions	@loading/space_tatooine:missions_title
@loading/space_tatooine:pilotability_tip	loading/space/images/space_load_pilotability	@loading/space_tatooine:pilotability_title
@loading/space_tatooine:pobships_tip	loading/space/images/space_load_pobships	@loading/space_tatooine:pobships_title
@loading/space_tatooine:pvp_tip	loading/space/images/space_load_pvp	@loading/space_tatooine:pvp_title
@loading/space_tatooine:waypoint_tip	loading/space/images/space_load_waypoint	@loading/space_tatooine:waypoint_title
@loading/space_tatooine:zonemap_tip	loading/space/images/space_load_zonemap	@loading/space_tatooine:zonemap_title
@loading/space_tatooine:hyperdrive_tip	loading/space/images/space_load_booster	@loading/space_tatooine:hyperdrive_title
@loading/space_tatooine:radar_tip	loading/space/images/space_load_combat	@loading/space_tatooine:radar_title
@loading/space_tatooine:shipdamage_tip	loading/space/images/space_load_combat	@loading/space_tatooine:shipdamage_title
@loading/space_tatooine:dutymissions_tip	loading/space/images/space_load_missions	@loading/space_tatooine:dutymissions_title
