StringId	Picture	Title
s	s	s
@loading/talus:vynock	loading/talus/creatures/talus_vynock	@loading/talus_n:vynock
@loading/talus:guf_drolg	loading/talus/creatures/talus_gufdrolg	@loading/talus_n:guf_drolg
@loading/talus:kima	loading/talus/creatures/talus_kima	@loading/talus_n:kima
@loading/talus:dearic_and_nashal	loading/talus/cities/talus_dearic	@loading/talus_n:dearic
@loading/talus:dearic_and_nashal	loading/talus/cities/talus_narshal	@loading/talus_n:nashal
@loading/talus:aakuans	loading/talus/creatures/talus_aakuans	@loading/talus_n:aakuans
@loading/talus:binayre_pirates	loading/talus/npcs/talus_binayrepirate	@loading/talus_n:binayre_pirates
@loading/talus:fed_dub	loading/talus/npcs/talus_feddub	@loading/talus_n:fed_dub
@loading/talus:hilltop_kima	loading/talus/creatures/talus_hilltopkima	@loading/talus_n:hilltop_kima
@loading/talus:huf_dun	loading/talus/cities/talus_talus	@loading/talus_n:huf_dun
@loading/talus:kahmurra	loading/talus/cities/talus_talus	@loading/talus_n:kahmurra
@loading/talus:lost_aquilish	loading/talus/creatures/talus_lostaquilish	@loading/talus_n:lost_aquilish
@loading/talus:sludge_panther	loading/talus/creatures/talus_sludgepanther	@loading/talus_n:sludge_panther
@loading/talus:talus	loading/talus/cities/talus_talus	@loading/talus_n:talus
@loading/talus:talus_liberation_party	loading/talus/cities/talus_dearic	@loading/talus_n:talus_liberation_party
