StringId	Picture	Title
s	s	s
@loading/tatooine:jawa	loading/tatooine/creatures/tatooine_jawa	@loading/tatooine_n:jawa
@loading/tatooine:anchorhead	loading/tatooine/cities/tatooine_anchorhead	@loading/tatooine_n:anchorhead
@loading/tatooine:bestine	loading/tatooine/cities/tatooine_bestine	@loading/tatooine_n:bestine
@loading/tatooine:mos_eisley	loading/tatooine/cities/tatooine_moseisley	@loading/tatooine_n:mos_eisley
@loading/tatooine:mos_espa	loading/tatooine/cities/tatooine_mosespa	@loading/tatooine_n:mos_espa
@loading/tatooine:wayfar	loading/tatooine/cities/tatooine_wayfar	@loading/tatooine_n:wayfar
@loading/tatooine:bantha	loading/tatooine/creatures/tatooine_bantha	@loading/tatooine_n:bantha
@loading/tatooine:dewback	loading/tatooine/creatures/tatooine_dewback	@loading/tatooine_n:dewback
@loading/tatooine:eopie	loading/tatooine/creatures/tatooine_eopie	@loading/tatooine_n:eopie
@loading/tatooine:krayt_dragon	loading/tatooine/creatures/tatooine_krayt	@loading/tatooine_n:krayt_dragon
@loading/tatooine:ronto	loading/tatooine/creatures/tatooine_ronto	@loading/tatooine_n:ronto
@loading/tatooine:womprat	loading/tatooine/creatures/tatooine_womprat	@loading/tatooine_n:womprat
@loading/tatooine:worrt	loading/tatooine/creatures/tatooine_wort	@loading/tatooine_n:worrt
@loading/tatooine:krayt_graveyard	loading/tatooine/landmarks/tatooine_kraytgrave	@loading/tatooine_n:krayt_graveyard
@loading/tatooine:mos_entha	loading/tatooine/cities/tatooine_mosentha	@loading/tatooine_n:mos_entha
@loading/tatooine:fort_tusken	loading/tatooine/landmarks/tatooine_forttusken	@loading/tatooine_n:fort_tusken
@loading/tatooine:jabbas_palace	loading/tatooine/landmarks/tatooine_jabbaspalace	@loading/tatooine_n:jabbas_palace
@loading/tatooine:jabba_the_hutt	loading/tatooine/npcs/tatooine_jabba	@loading/tatooine_n:jabba_the_hutt
@loading/tatooine:bib_fortuna	loading/tatooine/npcs/tatooine_bibfortuna	@loading/tatooine_n:bib_fortuna
@loading/tatooine:fallen_star	loading/tatooine/cities/tatooine_mosentha	@loading/tatooine_n:fallen_star
@loading/tatooine:great_pit_of_carkoon	loading/tatooine/npcs/tatooine_jabba	@loading/tatooine_n:great_pit_of_carkoon
@loading/tatooine:jawa_fortress	loading/tatooine/landmarks/tatooine_jawafortresse	@loading/tatooine_n:jawa_fortress
@loading/tatooine:jawa_mountain_fortress	loading/tatooine/landmarks/tatooine_jawafortresse	@loading/tatooine_n:jawa_mountain_fortress
@loading/tatooine:lucky_despot	loading/tatooine/cities/tatooine_moseisley	@loading/tatooine_n:lucky_despot
@loading/tatooine:max_rebo_and_the_max_rebo_band	loading/tatooine/npcs/tatooine_maxrebo	@loading/tatooine_n:max_rebo_and_the_max_rebo_band
@loading/tatooine:sand_people	loading/tatooine/landmarks/tatooine_forttusken	@loading/tatooine_n:sand_people
