StringId	Picture	Title
s	s	s
@loading/yavin4:angler	loading/yavin4/creatures/yavin4_angler	@loading/yavin4_n:angler
@loading/yavin4:choku	loading/yavin4/creatures/yavin4_choku	@loading/yavin4_n:choku
@loading/yavin4:crystal_snake	loading/yavin4/creatures/yavin4_crystalsnake	@loading/yavin4_n:crystal_snake
@loading/yavin4:gackle_bat	loading/yavin4/creatures/yavin4_gacklebat	@loading/yavin4_n:gackle_bat
@loading/yavin4:kliknik	loading/yavin4/creatures/yavin4_kilknik	@loading/yavin4_n:kliknik
@loading/yavin4:stintaril	loading/yavin4/creatures/yavin4_stintari	@loading/yavin4_n:stintaril
@loading/yavin4:whisper_bird	loading/yavin4/creatures/yavin4_whisperbird	@loading/yavin4_n:whisper_bird
@loading/yavin4:blueleaf	loading/yavin4/landmarks/yavin4_blueleaftemple	@loading/yavin4_n:blueleaf
@loading/yavin4:palace_woolamander	loading/yavin4/landmarks/yavin4_woolamandertemple	@loading/yavin4_n:palace_woolamander
@loading/yavin4:imperialoutpost	loading/yavin4/landmarks/yavin4_imperialoutpost	@loading/yavin4_n:imperialoutpost
@loading/yavin4:jandodonna	loading/yavin4/npcs/yavin4_jandodonna	@loading/yavin4_n:jandodonna
@loading/yavin4:luke	loading/yavin4/creatures/yavin4_luke	@loading/yavin4_n:luke
@loading/yavin4:mamien	loading/yavin4/creatures/yavin4_mamien	@loading/yavin4_n:mamien
@loading/yavin4:mawgax	loading/yavin4/creatures/yavin4_mawgax	@loading/yavin4_n:mawgax
@loading/yavin4:rebel_base	loading/yavin4/landmarks/yavin4_greatmassassitemple	@loading/yavin4_n:rebel_base
@loading/yavin4:spined_puc	loading/yavin4/creatures/yavin4_spinedpuc	@loading/yavin4_n:spined_puc
@loading/yavin4:tankmite	loading/yavin4/creatures/yavin4_tankmite	@loading/yavin4_n:tankmite
