category	type
s	s
blood_type	blood_type_a_negative
blood_type	blood_type_a_positive
blood_type	blood_type_ab_negative
blood_type	blood_type_ab_positive
blood_type	blood_type_b_negative
blood_type	blood_type_b_positive
blood_type	blood_type_o_negative
blood_type	blood_type_o_positive
collecting	collecting_action_figures
collecting	collecting_antiques
collecting	collecting_coins
collecting	collecting_other
collecting	collecting_stamps
collecting	collecting_stuffed_animals
computers	computers_mac
computers	computers_pc
computers	computers_programming
computers	computers_unix_linux
computers	computers_web_design
general_topics	general_topics_astrology_occult
general_topics	general_topics_astronomy
general_topics	general_topics_cars
general_topics	general_topics_cooking
general_topics	general_topics_gardening
general_topics	general_topics_hard_sciences
general_topics	general_topics_politics
general_topics	general_topics_social_sciences
hobbies	hobbies_photography
hobbies	hobbies_arts_and_crafts
hobbies	hobbies_dancing
hobbies	hobbies_model_making
hobbies	hobbies_musician
hobbies	hobbies_needlecraft
hobbies	hobbies_visual_arts
hobbies	hobbies_writing
gender	gender_female
gender	gender_male
music	music_blues
music	music_celtic
music	music_classical_orchestral
music	music_country
music	music_dance_techno
music	music_folk_singer_songwriter
music	music_gospel
music	music_rock
music	music_jazz
music	music_latin
music	music_musicals
music	music_new_age
music	music_oldies
music	music_r_b
music	music_rap_hiphop
music	music_reggae_caribbean
music	music_soft_rock_aaa_pop
music	music_swing_big_band
music	music_world_beat
movies	movies_anime_cartoons
movies	movies_classics
movies	movies_documentaries
movies	movies_drama
movies	movies_fantasy_horror
movies	movies_romantic_comedy
movies	movies_science_fiction
movies	movies_thrillers
pets	pets_birds
pets	pets_cats
pets	pets_dogs
pets	pets_fish
pets	pets_reptiles
pets	pets_small_mammals_rodents
playing_games	playing_games_board_games_party_games
playing_games	playing_games_cards
playing_games	playing_games_collectible_card_games
playing_games	playing_games_live_action_roleplaying
playing_games	playing_games_puzzles
reading	reading_comics_manga
reading	reading_fantasy_horror
reading	reading_literary
reading	reading_mystery
reading	reading_non_fiction
reading	reading_poetry
reading	reading_romance
reading	reading_science_fiction
reading	reading_thrillers
sports	sports_martial_arts
sports	sports_other
sports	sports_skateboarding_skating_rollerblading
sports	sports_swimming
sports	sports_team_sports
swg_gameplay	swg_gameplay_crafting_commerce
swg_gameplay	swg_gameplay_player_vs_player_combat
swg_gameplay	swg_gameplay_adventuring
swg_gameplay	swg_gameplay_socializing
video_games	video_games_fighting
video_games	video_games_puzzle
video_games	video_games_racing
video_games	video_games_real_time_strategy
video_games	video_games_rhythm
video_games	video_games_rpg_adventure
video_games	video_games_shooters
video_games	video_games_simulation_space_sim
video_games	video_games_sports
video_games	video_games_strategy
video_games	video_games_console
video_games	video_games_pc
watching_tv	watching_tv_anime_cartoons
watching_tv	watching_tv_drama
watching_tv	watching_tv_documentary
watching_tv	watching_tv_family_drama
watching_tv	watching_tv_fantasy_horror_sci_fi
watching_tv	watching_tv_music
watching_tv	watching_tv_sitcoms
watching_tv	watching_tv_soaps
zodiac_sign	zodiac_sign_aquarius
zodiac_sign	zodiac_sign_aries
zodiac_sign	zodiac_sign_cancer
zodiac_sign	zodiac_sign_capricorn
zodiac_sign	zodiac_sign_gemini
zodiac_sign	zodiac_sign_leo
zodiac_sign	zodiac_sign_libra
zodiac_sign	zodiac_sign_pisces
zodiac_sign	zodiac_sign_sagittarius
zodiac_sign	zodiac_sign_scorpio
zodiac_sign	zodiac_sign_taurus
zodiac_sign	zodiac_sign_virgo
