LAYER	ROW	COLUMN
i	i	i
6	9	11
6	9	13
5	9	9
5	9	11
5	9	13
5	9	15
4	8	8
4	8	10
4	8	12
4	8	14
4	8	16
4	10	8
4	10	10
4	10	12
4	10	14
4	10	16
3	7	9
3	7	11
3	7	13
3	7	15
3	8	7
3	8	17
3	9	9
3	9	11
3	9	13
3	9	15
3	10	7
3	10	17
3	11	9
3	11	11
3	11	13
3	11	15
2	1	2
2	1	22
2	3	1
2	3	23
2	6	10
2	6	12
2	6	14
2	7	0
2	7	8
2	7	16
2	7	24
2	8	6
2	8	10
2	8	12
2	8	14
2	8	18
2	9	0
2	9	8
2	9	16
2	9	24
2	10	6
2	10	10
2	10	12
2	10	14
2	10	18
2	11	0
2	11	8
2	11	16
2	11	24
2	12	10
2	12	12
2	12	14
2	15	1
2	15	23
2	17	2
2	17	22
1	1	2
1	1	22
1	3	1
1	3	23
1	5	11
1	5	13
1	6	9
1	6	15
1	7	0
1	7	7
1	7	11
1	7	13
1	7	17
1	7	24
1	8	5
1	8	9
1	8	15
1	8	19
1	9	0
1	9	7
1	9	11
1	9	13
1	9	17
1	9	24
1	10	5
1	10	9
1	10	15
1	10	19
1	11	0
1	11	7
1	11	11
1	11	13
1	11	17
1	11	24
1	12	9
1	12	15
1	13	11
1	13	13
1	15	1
1	15	23
1	17	2
1	17	22
0	1	2
0	1	22
0	3	1
0	3	23
0	4	10
0	4	12
0	4	14
0	5	8
0	5	16
0	6	6
0	6	10
0	6	12
0	6	14
0	6	18
0	7	0
0	7	8
0	7	16
0	7	24
0	8	4
0	8	6
0	8	10
0	8	12
0	8	14
0	8	18
0	8	20
0	9	0
0	9	8
0	9	16
0	9	24
0	10	4
0	10	6
0	10	10
0	10	12
0	10	14
0	10	18
0	10	20
0	11	0
0	11	8
0	11	16
0	11	24
0	12	6
0	12	10
0	12	12
0	12	14
0	12	18
0	13	8
0	13	16
0	14	10
0	14	12
0	14	14
0	15	1
0	15	23
0	17	2
0	17	22
