LAYER	ROW	COLUMN
i	i	i
7	11	13
6	10	12
6	10	14
6	12	12
6	12	14
5	3	1
5	3	25
5	10	12
5	10	14
5	12	12
5	12	14
5	19	1
5	19	25
4	3	1
4	3	25
4	10	12
4	10	14
4	12	12
4	12	14
4	19	1
4	19	25
3	3	1
3	3	25
3	9	11
3	9	13
3	9	15
3	11	11
3	11	13
3	11	15
3	13	11
3	13	13
3	13	15
3	19	1
3	19	25
2	2	0
2	2	2
2	2	13
2	2	24
2	2	26
2	4	0
2	4	2
2	4	24
2	4	26
2	8	10
2	8	12
2	8	14
2	8	16
2	10	10
2	10	16
2	11	1
2	11	25
2	12	10
2	12	16
2	14	10
2	14	12
2	14	14
2	14	16
2	18	0
2	18	2
2	18	24
2	18	26
2	20	0
2	20	2
2	20	13
2	20	24
2	20	26
1	2	0
1	2	2
1	2	12
1	2	14
1	2	24
1	2	26
1	4	0
1	4	2
1	4	13
1	4	24
1	4	26
1	6	13
1	8	10
1	8	12
1	8	14
1	8	16
1	10	0
1	10	2
1	10	10
1	10	16
1	10	24
1	10	26
1	11	4
1	11	6
1	11	8
1	11	18
1	11	20
1	11	22
1	12	0
1	12	2
1	12	10
1	12	16
1	12	24
1	12	26
1	14	10
1	14	12
1	14	14
1	14	16
1	16	13
1	18	0
1	18	2
1	18	13
1	18	24
1	18	26
1	20	0
1	20	2
1	20	12
1	20	14
1	20	24
1	20	26
0	2	0
0	2	2
0	2	4
0	2	6
0	2	8
0	2	10
0	2	12
0	2	14
0	2	16
0	2	18
0	2	20
0	2	22
0	2	24
0	2	26
0	4	0
0	4	2
0	4	11
0	4	13
0	4	15
0	4	24
0	4	26
0	6	10
0	6	12
0	6	14
0	6	16
0	7	8
0	7	18
0	8	10
0	8	12
0	8	14
0	8	16
0	9	8
0	9	18
0	10	0
0	10	2
0	10	10
0	10	16
0	10	24
0	10	26
0	11	4
0	11	6
0	11	8
0	11	18
0	11	20
0	11	22
0	12	0
0	12	2
0	12	10
0	12	16
0	12	24
0	12	26
0	13	8
0	13	18
0	14	10
0	14	12
0	14	14
0	14	16
0	15	8
0	15	18
0	16	10
0	16	12
0	16	14
0	16	16
0	18	0
0	18	2
0	18	11
0	18	13
0	18	15
0	18	24
0	18	26
0	20	0
0	20	2
0	20	4
0	20	6
0	20	8
0	20	10
0	20	12
0	20	14
0	20	16
0	20	18
0	20	20
0	20	22
0	20	24
0	20	26
