LAYER	ROW	COLUMN
i	i	i
3	1	0
3	1	22
3	3	0
3	3	22
3	5	0
3	5	22
3	7	0
3	7	22
3	9	0
3	9	22
3	11	0
3	11	22
3	13	0
3	13	22
3	15	0
3	15	22
3	17	0
3	17	22
2	0	0
2	0	22
2	2	0
2	2	22
2	4	0
2	4	22
2	6	0
2	6	22
2	7	10
2	7	12
2	8	0
2	8	22
2	9	9
2	9	11
2	9	13
2	10	0
2	10	22
2	11	10
2	11	12
2	12	0
2	12	22
2	14	0
2	14	22
2	16	0
2	16	22
2	18	0
2	18	22
1	0	0
1	0	22
1	2	0
1	2	22
1	4	0
1	4	22
1	5	9
1	5	11
1	5	13
1	6	0
1	6	22
1	7	8
1	7	10
1	7	12
1	7	14
1	8	0
1	8	22
1	9	7
1	9	9
1	9	11
1	9	13
1	9	15
1	10	0
1	10	22
1	11	8
1	11	10
1	11	12
1	11	14
1	12	0
1	12	22
1	13	9
1	13	11
1	13	13
1	14	0
1	14	22
1	16	0
1	16	22
1	18	0
1	18	22
0	0	0
0	0	22
0	2	0
0	2	22
0	3	9
0	3	11
0	3	13
0	4	0
0	4	22
0	5	7
0	5	9
0	5	11
0	5	13
0	5	15
0	6	0
0	6	22
0	7	5
0	7	7
0	7	9
0	7	11
0	7	13
0	7	15
0	7	17
0	8	0
0	8	22
0	9	2
0	9	4
0	9	6
0	9	8
0	9	10
0	9	12
0	9	14
0	9	16
0	9	18
0	9	20
0	10	0
0	10	22
0	11	5
0	11	7
0	11	9
0	11	11
0	11	13
0	11	15
0	11	17
0	12	0
0	12	22
0	13	7
0	13	9
0	13	11
0	13	13
0	13	15
0	14	0
0	14	22
0	15	9
0	15	11
0	15	13
0	16	0
0	16	22
0	18	0
0	18	22
