main	company	header	title	names	text
s	s	s	s	s	s
					
STAR WARS GALAXIES: THE COMPLETE ONLINE ADVENTURES					
					
	Sony Online Entertainment				
					
		PRODUCTION MANAGEMENT			
			Producer		
				Grant McDaniel	
			Art Director		
				Jason Minor	
			Creative Director		
				Kai Steinmann	
			Technical Director		
				Tony Tyson	
					
		PRODUCTION LEADS			
			Assistant Lead Designer		
				Thomas Blair	
			Lead Systems Designer		
				Jeff Carpenter	
			Lead Content Designer		
				Mike Farone	
			Associate Producers		
				Fannie Gunton	
				David Jones	
					
		ART			
			Artists		
				Don Alexander	
				Alexis Allen	
				Christine Chugon	
				Abigail Daniel	
				Scott Downey	
				Rick Knox	
				Dave Nevala	
				David Russ	
					
		GAME DESIGN			
			Designers		
				Jesse Benjamin	
				Thomas Eidson	
				Hollis Gray	
				Mark Halash	
				Travis Hicks	
				Eli Holding	
				Niklas Johansson	
				Jesse Knapp	
				Ernie Laurence	
				EJ Moreland	
				Pete Warner	
					
		PROGRAMMING			
			Lead Programmer		
				Ryan Smith	
			Buildmaster		
				Tom Cramer	
			Programmers		
				Dave Driggers	
				Rob Hanz	
				Michael Howard	
				Adam Hunter	
				Huy Nguyen	
				Tim Schubert	
				Jeff Uriarte	
					
		COMMUNITY			
			Director, Global Community Relations		
				Alan Crosby	
			Community Relations Coordinator		
				Aimee Rekoske	
			Events Manager		
				Jason Ryan	
			Senior Community Relations Manager, SWG		
				EM Stock	
			Community Relations Manager		
				Kurt Stangl	
			Community Relations Representatives		
				Vaughn Garvin	
				Paul Williams	
					
		STUDIO MANAGEMENT			
			Vice President of Development		
				John Blakely	
			Director of Development		
				Todd Fiala	
			Studio Art Director		
				Whitney Ayres	
			Studio Creative Director		
				Chris Cao	
			Studio Technical Director		
				Lorin Jameson	
			Executive Assistant		
				Rhonda Loeliger	
			HR Manager - Austin		
				Sheri Davenport	
					
		CUSTOMER SERVICE AND QUALITY ASSURANCE			
			Vice President of CS & QA		
				George Scotto	
			Director of Quality Assurance		
				Tony Rado	
			Quality Assurance Manager		
				Rob Thompson	
			Quality Assurance Supervisor		
				Taylor Haley	
			Senior Quality Assurance Analysts		
				Annette Rogers	
				Christine Chugon	
				Floyd Billings	
				Jeff Haskell	
				Kevin Shoemaker	
				Robert Nelson	
			Quality Assurance Analysts		
				Brett Acuff	
				Brissia Jimenez	
				Christian Holton	
				James Michener	
				Mike Pirrone	
				Mikkel Jensen	
				Raul Mondragon	
				Wesley Haselden	
			Compatibility Lab Supervisor		
				Ryan Antonelli	
