level	grey	green	light_blue	blue	white	yellow	orange	red	purple
i	i	i	i	i	i	i	i	i	i
1	0	0	0	0	1	2	3	4	5
2	0	0	0	1	2	3	4	5	6
3	0	0	1	2	3	4	5	6	7
4	0	1	2	3	4	5	6	7	8
5	0	1	2	3	5	6	8	9	10
6	1	2	3	4	6	7	9	10	11
7	1	2	3	4	7	8	11	12	13
8	2	3	4	5	8	9	12	13	14
9	2	3	4	6	9	10	13	15	16
10	3	4	5	7	10	11	14	16	17
11	3	4	5	8	11	12	15	18	19
12	4	5	6	9	12	13	16	19	20
13	4	5	7	10	13	14	17	20	22
14	5	6	8	11	14	15	18	21	23
15	5	6	9	12	15	16	19	22	25
16	6	7	10	13	16	17	20	23	26
17	7	8	11	14	17	18	21	24	27
18	8	9	12	15	18	19	22	25	28
19	9	10	13	16	19	20	23	26	29
20	10	11	14	17	20	21	24	27	30
21	11	12	15	18	21	22	25	28	31
22	12	13	16	19	22	23	26	29	32
23	13	14	17	20	23	24	27	30	33
24	14	15	18	21	24	25	28	31	34
25	15	16	19	22	25	26	29	32	35
26	15	16	19	22	26	27	30	33	36
27	16	17	20	23	27	28	31	34	37
28	17	18	21	24	28	29	32	35	38
29	18	19	22	25	29	30	33	36	39
30	19	20	23	26	30	31	34	37	40
31	20	21	24	27	31	32	35	38	41
32	20	21	24	27	32	33	36	39	42
33	21	22	25	28	33	34	37	40	43
34	22	23	26	29	34	35	38	41	44
35	23	24	27	30	35	36	39	42	45
36	24	25	28	31	36	37	40	43	46
37	25	26	29	32	37	38	41	44	47
38	25	26	29	32	38	39	42	45	48
39	26	27	30	33	39	40	43	46	49
40	27	28	31	34	40	41	44	47	50
41	28	29	32	35	41	42	45	48	51
42	29	30	33	36	42	43	46	49	52
43	30	31	34	37	43	44	47	50	53
44	30	31	34	37	44	45	48	51	54
45	31	32	35	38	45	46	49	52	55
46	32	33	36	39	46	47	50	53	56
47	33	34	37	40	47	48	51	54	57
48	34	35	38	41	48	49	52	55	58
49	35	36	39	42	49	50	53	56	59
50	35	36	39	42	50	51	54	57	60
51	36	37	40	43	51	52	55	58	61
52	37	38	41	44	52	53	56	59	62
53	38	39	42	45	53	54	57	60	63
54	39	40	43	46	54	55	58	61	64
55	40	41	44	47	55	56	59	62	65
56	40	41	44	47	56	57	60	63	66
57	41	42	45	48	57	58	61	64	67
58	42	43	46	49	58	59	62	65	68
59	43	44	47	50	59	60	63	66	69
60	44	45	48	51	60	61	64	67	70
61	45	46	49	52	61	62	65	68	71
62	45	46	49	52	62	63	66	69	72
63	46	47	50	53	63	64	67	70	73
64	47	48	51	54	64	65	68	71	74
65	48	49	52	55	65	66	69	72	75
66	49	50	53	56	66	67	70	73	76
67	50	51	54	57	67	68	71	74	77
68	50	51	54	57	68	69	72	75	78
69	51	52	55	58	69	70	73	76	79
70	52	53	56	59	70	71	74	77	80
71	53	54	57	60	71	72	75	78	81
72	54	55	58	61	72	73	76	79	82
73	55	56	59	62	73	74	77	80	83
74	55	56	59	62	74	75	78	81	84
75	56	57	60	63	75	76	79	82	85
76	57	58	61	64	76	77	80	83	86
77	58	59	62	65	77	78	81	84	87
78	59	60	63	66	78	79	82	85	88
79	60	61	64	67	79	80	83	86	89
80	60	61	64	67	80	81	84	87	90
81	61	62	65	68	81	82	85	88	91
82	62	63	66	69	82	83	86	89	92
83	63	64	67	70	83	84	87	90	93
84	64	65	68	71	84	85	88	91	94
85	65	66	69	72	85	86	89	92	95
86	65	66	69	72	86	87	90	93	96
87	66	67	70	73	87	88	91	94	97
88	67	68	71	74	88	89	92	95	98
89	68	69	72	75	89	90	93	96	99
90	69	70	73	76	90	91	94	97	100
