color	appearance	color_a	color_r	color_g	color_b
s	s	f	f	f	f
blue	object/waypoint/shared_world_waypoint_blue.iff	1	0.3	0.7	1
green	object/waypoint/shared_world_waypoint_green.iff	1	0	1	0.5
orange	object/waypoint/shared_world_waypoint_orange.iff	1	1	0.5	0
yellow	object/waypoint/shared_world_waypoint_yellow.iff	1	1	1	0
purple	object/waypoint/shared_world_waypoint_purple.iff	1	1	0.5	1
white	object/waypoint/shared_world_waypoint_white.iff	1	1	1	1
space	object/waypoint/shared_world_waypoint_space.iff	1	1	1	1
small	object/waypoint/shared_world_waypoint_white_small.iff	1	1	1	1
entrance	object/waypoint/shared_world_waypoint_yellow_door.iff	1	1	1	0
