name	appearance
s	s
corellia	ui_planet_sel_corl.apt
dantooine	ui_planet_sel_dant.apt
dathomir	ui_planet_sel_dath.apt
default	ui_planet_sel_default.apt
endor	ui_planet_sel_endo.apt
lok	ui_planet_sel_lok.apt
naboo	ui_planet_sel_nboo.apt
rori	ui_planet_sel_rori.apt
talus	ui_planet_sel_talu.apt
tatooine	ui_planet_sel_tato.apt
yavin4	ui_planet_sel_yavi.apt
space_corellia	ui_datapad_waypoint.apt
space_dantooine	ui_datapad_waypoint.apt
space_dathomir	ui_datapad_waypoint.apt
space_endor	ui_datapad_waypoint.apt
space_lok	ui_datapad_waypoint.apt
space_naboo	ui_datapad_waypoint.apt
space_tatooine	ui_datapad_waypoint.apt
space_yavin4	ui_datapad_waypoint.apt
space_tatooine_2	ui_datapad_waypoint.apt
space_corellia_2	ui_datapad_waypoint.apt
space_naboo_2	ui_datapad_waypoint.apt
space_light1	ui_datapad_waypoint.apt
space_heavy1	ui_datapad_waypoint.apt
kashyyyk_main	ui_planet_sel_kash.apt
kashyyyk_dead_forest	ui_planet_sel_kash.apt
kashyyyk_hunting	ui_planet_sel_kash.apt
kashyyyk_rryatt_trail	ui_planet_sel_kash.apt
kashyyyk_north_dungeons	ui_planet_sel_kash.apt
kashyyyk_south_dungeons	ui_planet_sel_kash.apt
kashyyyk_pob_dungeons	ui_planet_sel_kash.apt
mustafar	ui_planet_sel_must.apt
space_ord_mantell	ui_datapad_waypoint.apt
space_npe_falcon	ui_datapad_waypoint.apt
space_npe_falcon_2	ui_datapad_waypoint.apt
space_npe_falcon_3	ui_datapad_waypoint.apt
space_ord_mantell_2	ui_datapad_waypoint.apt
space_ord_mantell_3	ui_datapad_waypoint.apt
space_ord_mantell_4	ui_datapad_waypoint.apt
space_ord_mantell_5	ui_datapad_waypoint.apt
space_ord_mantell_6	ui_datapad_waypoint.apt
space_kashyyyk	ui_datapad_waypoint.apt
space_nova_orion	ui_datapad_waypoint.apt
adventure1	ui_planet_sel_tato.apt
adventure2	ui_planet_sel_hoth.apt
