PREREQUISITE_TASKS	EXCLUSION_TASKS	ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	IS_VISIBLE	SHOW_SYSTEM_MESSAGES	ALLOW_REPEATS	MUSIC_ON_ACTIVATE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_FAIL	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	ITEM	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	RADIUS	MIN_TIME	MAX_TIME	CREATURE_TYPE	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	MIN_DISTANCE	MAX_DISTANCE	DIRECTION	REWARD_CREDITS	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	SIGNAL_NAME
s	s	s	s	s	s	s	s	b	b	b	s	s	s	s	s	s	i	s	i	i	s	s	s	s	s	s	i[0]	i[0]	s[]	s[]	s[]	s[]	i[0]	i[0]	i[0]	s[]	i[0]	s[]	i[0]	i[0]	s[]
		quest.task.ground.reward	@quest/ground/c_darndroid1:task00_journal_entry_title	@quest/ground/c_darndroid1:task00_journal_entry_description	1		worthlessreward	0	0	0							0	Rebel	0	0							0	0					0	0	0		0		0	0	
		quest.task.ground.go_to_location	@quest/ground/c_darndroid1:task01_journal_entry_title	@quest/ground/c_darndroid1:task01_journal_entry_description	2		gostar	1	1	0							0		0	0		naboo	4796	4	-4698	20	0	0					0	0	0		0		0	0	
		quest.task.ground.wait_for_signal	@quest/ground/c_darndroid1:task02_journal_entry_title	@quest/ground/c_darndroid1:task02_journal_entry_description	3,8,10		selan	1	1	0							0		0	0							0	0					0	0	0		0		0	0	
		quest.task.ground.wait_for_signal	@quest/ground/c_darndroid1:task03_journal_entry_title	@quest/ground/c_darndroid1:task03_journal_entry_description	4		amarentinfo	1	1	0							0		0	0							0	0					0	0	0		0		0	0	
		quest.task.ground.go_to_location	@quest/ground/c_darndroid1:task04_journal_entry_title	@quest/ground/c_darndroid1:task04_journal_entry_description	5		findship	1	1	0							0		0	0		talus	-2380	0	2031	25	0	0					0	0	0		0		0	0	
		quest.task.ground.wait_for_signal	@quest/ground/c_darndroid1:task05_journal_entry_title	@quest/ground/c_darndroid1:task05_journal_entry_description	6		talkserth	1	1	0							0		0	0							0	0					0	0	0		0		0	0	
		quest.task.ground.reward	@quest/ground/c_darndroid1:task06_journal_entry_title	@quest/ground/c_darndroid1:task06_journal_entry_description	7		reward	1	0	0						combat_general	1000	townsperson	50	3000	object/tangible/loot/collectible/collectible_parts/blue_rug_adhesive.iff						0	0					0	0	0		0		0	0	
		quest.task.ground.complete_quest	@quest/ground/c_darndroid1:task07_journal_entry_title	@quest/ground/c_darndroid1:task07_journal_entry_description			complete	0	1	0							0		0	0							0	0					0	0	0		0		0	0	
		quest.task.ground.wait_for_signal	@quest/ground/c_darndroid1:task08_journal_entry_title	@quest/ground/c_darndroid1:task08_journal_entry_description	9		canbribe	0	0	0							0		0	0							0	0					0	0	0		0		0	0	
		quest.task.ground.reward	@quest/ground/c_darndroid1:task09_journal_entry_title	@quest/ground/c_darndroid1:task09_journal_entry_description				1	0	0							0	Rebel	0	-1000							0	0					0	0	0		0		0	0	
		quest.task.ground.wait_for_signal	@quest/ground/c_darndroid1:task10_journal_entry_title	@quest/ground/c_darndroid1:task10_journal_entry_description	11		canintimidate	0	0	0							0		0	0							0	0					0	0	0		0		0	0	
		quest.task.ground.reward	@quest/ground/c_darndroid1:task11_journal_entry_title	@quest/ground/c_darndroid1:task11_journal_entry_description				1	0	0							0	Imperial	-50	0							0	0					0	0	0		0		0	0	
