PREREQUISITE_TASKS	EXCLUSION_TASKS	ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	IS_VISIBLE	SHOW_SYSTEM_MESSAGES	ALLOW_REPEATS	MUSIC_ON_ACTIVATE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_FAIL	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	ITEM	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	RADIUS	MIN_TIME	MAX_TIME	CREATURE_TYPE	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	COUNT	MIN_DISTANCE	MAX_DISTANCE	DIRECTION	REWARD_CREDITS	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	SIGNAL_NAME
s	s	s	s	s	s	s	s	b	b	b	s	s	s	s	s	s	i	s	i	i	s	s	s	s	s	s	i[0]	i[0]	s[]	s[]	s[]	s[]	i[0]	i[0]	i[0]	s[]	i[0]	s[]	i[0]	i[0]	s[]
			@taanab_harvest:cropsurvey_title	@taanab_harvest:cropsurvey_description_dummy			dummy	0	1	0							0	taanab_coop	100	0							0	0					0	0	0		0		0	0	
			@taanab_harvest:cropsurvey_title_01	@taanab_harvest:cropsurvey_description_01			survey	1	1	0		corn_domesticated_taanab					0	taanab_coop	100	0							0	0					0	0	0		0		0	0	
			@taanab_harvest:cropsurvey_title_02	@taanab_harvest:cropsurvey_description_01			survey	1	1	0		corn_wild_taanab					0	taanab_coop	100	0							0	0					0	0	0		0		0	0	
			@taanab_harvest:cropsurvey_title_03	@taanab_harvest:cropsurvey_description_01			survey	1	1	0		rice_domesticated_taanab					0	taanab_coop	100	0							0	0					0	0	0		0		0	0	
			@taanab_harvest:cropsurvey_title_04	@taanab_harvest:cropsurvey_description_01			survey	1	1	0		rice_wild_taanab					0	taanab_coop	100	0							0	0					0	0	0		0		0	0	
			@taanab_harvest:cropsurvey_title_05	@taanab_harvest:cropsurvey_description_01			survey	1	1	0		oats_domesticated_taanab					0	taanab_coop	100	0							0	0					0	0	0		0		0	0	
			@taanab_harvest:cropsurvey_title_06	@taanab_harvest:cropsurvey_description_01			survey	1	1	0		oats_wild_taanab					0	taanab_coop	100	0							0	0					0	0	0		0		0	0	
			@taanab_harvest:cropsurvey_title_07	@taanab_harvest:cropsurvey_description_01			survey	1	1	0		wheat_domesticated_taanab					0	taanab_coop	100	0							0	0					0	0	0		0		0	0	
			@taanab_harvest:cropsurvey_title_08	@taanab_harvest:cropsurvey_description_01			survey	1	1	0		wheat_wild_taanab					0	taanab_coop	100	0							0	0					0	0	0		0		0	0	
			@taanab_harvest:cropsurvey_title_09	@taanab_harvest:cropsurvey_description_01			survey	1	1	0		vegetable_greens_taanab					0	taanab_coop	100	0							0	0					0	0	0		0		0	0	
			@taanab_harvest:cropsurvey_title_10	@taanab_harvest:cropsurvey_description_01			survey	1	1	0		vegetable_beans_taanab					0	taanab_coop	100	0							0	0					0	0	0		0		0	0	
			@taanab_harvest:cropsurvey_title_11	@taanab_harvest:cropsurvey_description_01			survey	1	1	0		vegetable_tubers_taanab					0	taanab_coop	100	0							0	0					0	0	0		0		0	0	
			@taanab_harvest:cropsurvey_title_12	@taanab_harvest:cropsurvey_description_01			survey	1	1	0		vegetable_fungi_taanab					0	taanab_coop	100	0							0	0					0	0	0		0		0	0	
			@taanab_harvest:cropsurvey_title_13	@taanab_harvest:cropsurvey_description_01			survey	1	1	0		fruit_fruits_taanab					0	taanab_coop	100	0							0	0					0	0	0		0		0	0	
			@taanab_harvest:cropsurvey_title_14	@taanab_harvest:cropsurvey_description_01			survey	1	1	0		fruit_berries_taanab					0	taanab_coop	100	0							0	0					0	0	0		0		0	0	
			@taanab_harvest:cropsurvey_title_15	@taanab_harvest:cropsurvey_description_01			survey	1	1	0		fruit_flowers_taanab					0	taanab_coop	100	0							0	0					0	0	0		0		0	0	
			@taanab_harvest:cropsurvey_title_complete	@taanab_harvest:cropsurvey_description_complete			reward	0	0	0							0		0	0	object/tangible/survey_tool/survey_tool_inorganic.iff						0	0					0	0	0		0		0	0	
