LayoutName	LayoutId	FromKeyName	FromScanCode	ToKeyName	ToScanCode
s["]	s["]	s["]	i[0]	s["]	i[0]
Albanian	0000041c	Y	44	Y	21
Albanian	0000041c	Z	21	Z	44
Azeri (Latin)	0000042c	`	41	'	40
Azeri (Latin)	0000042c	?	40	\	43
Azeri (Latin)	0000042c	\	43	\	86
Bulgarian	00000402	Q	52	=	13
Bulgarian	00000402	,	16	.	52
Bulgarian	00000402	?	51	Q	16
Croatian	0000041a	-	53	-	12
Croatian	0000041a	'	12	/	53
Croatian	0000041a	Y	44	Y	21
Croatian	0000041a	Z	21	Z	44
Czech	00000405	-	53	=	13
Czech	00000405	CáRKA	13	-	12
Czech	00000405	=	12	/	53
Czech	00000405	Y	44	Y	21
Czech	00000405	Z	21	Z	44
Danish	00000406	-	53	\	43
Danish	00000406	å	26	=	13
Danish	00000406	'	43	`	41
Danish	00000406	TREMA	27	[	26
Danish	00000406	ACCENT AIGU	13	-	12
Danish	00000406	æ	39	]	27
Danish	00000406	½	41	;	39
Danish	00000406	+	12	/	53
Dutch (Netherlands)	00000413	@	41	'	40
Dutch (Netherlands)	00000413	-	53	=	13
Dutch (Netherlands)	00000413	ACCENT-AIGU (´)	40	`	41
Dutch (Netherlands)	00000413	*	27	[	26
Dutch (Netherlands)	00000413	TREMA (¨)	26	-	12
Dutch (Netherlands)	00000413	+	39	]	27
Dutch (Netherlands)	00000413	°	13	;	39
Dutch (Netherlands)	00000413	/	12	/	53
Dutch (Belgium)	00000813	A	16	A	30
Dutch (Belgium)	00000813	²	41	'	40
Dutch (Belgium)	00000813	:	52	,	51
Dutch (Belgium)	00000813	)	12	=	13
Dutch (Belgium)	00000813	ù	40	`	41
Dutch (Belgium)	00000813	$	27	[	26
Dutch (Belgium)	00000813	;	51	M	50
Dutch (Belgium)	00000813	ACCENT CIRCONFLEXE	26	-	12
Dutch (Belgium)	00000813	=	53	.	52
Dutch (Belgium)	00000813	Q	30	Q	16
Dutch (Belgium)	00000813	M	39	]	27
Dutch (Belgium)	00000813	,	50	;	39
Dutch (Belgium)	00000813	-	13	/	53
Dutch (Belgium)	00000813	W	44	W	17
Dutch (Belgium)	00000813	Z	17	Z	44
English (United Kingdom)	00000809	`	41	'	40
English (United Kingdom)	00000809	'	40	\	43
English (United Kingdom)	00000809	#	43	\	86
English (Canadian)	00001009	#	41	'	40
English (Canadian)	00001009	ACCENT GRAVE	40	`	41
English (Ireland)	00001809	GRAVE	41	'	40
English (Ireland)	00001809	'	40	\	43
English (Ireland)	00001809	#	43	\	86
Estonian	00000425	-	53	'	40
Estonian	00000425	ä	40	`	41
Estonian	00000425	CARON	41	[	26
Estonian	00000425	ü	26	]	27
Estonian	00000425	õ	27	/	53
Faeroese	00000438	-	53	\	43
Faeroese	00000438	å	26	=	13
Faeroese	00000438	'	43	`	41
Faeroese	00000438	ð	27	[	26
Faeroese	00000438	ACCENT AIGU	13	-	12
Faeroese	00000438	æ	39	]	27
Faeroese	00000438	½	41	;	39
Faeroese	00000438	+	12	/	53
Finnish	0000040b	-	53	\	43
Finnish	0000040b	å	26	=	13
Finnish	0000040b	'	43	`	41
Finnish	0000040b	TREEMA	27	[	26
Finnish	0000040b	AKUUTTIAKSENTTI	13	-	12
Finnish	0000040b	ö	39	]	27
Finnish	0000040b	§	41	;	39
Finnish	0000040b	+	12	/	53
French (Standard)	0000040c	A	16	A	30
French (Standard)	0000040c	²	41	'	40
French (Standard)	0000040c	:	52	,	51
French (Standard)	0000040c	ù	40	`	41
French (Standard)	0000040c	$	27	[	26
