Name	Type	SplineControlPoints	CenterLocationX	CenterLocationY	CenterLocationZ	Radius	FlattenDepth	FaceTowards	NumAsteroids	RandomSeed	ScaleMin	ScaleMax	RotationMin	RotationMax	FieldStyleTable	RadialStyleTable	NumRadialAsteroids	MaxViewableDistance	ViewAllDistance	SoundEffect
s	e(cube=1,spline=2)[cube]	s	f	f	f	f	f[-1]	s	i	i	f	f	f	f	s	s	i	f	f	s
	1		0	0	0	2000	-1		2000	1	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_medium.iff	datatables/space/asteroidfield/fieldstyle/radial_s01.iff	50	8000	700	sound/amb_ast_large_field.snd
	1		-4000	0	0	2000	-1		2000	2	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_medium.iff	datatables/space/asteroidfield/fieldstyle/radial_s01.iff	50	8000	700	sound/amb_ast_large_field.snd
	1		4000	0	0	2000	-1		2000	3	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_small.iff	datatables/space/asteroidfield/fieldstyle/radial_s01.iff	50	8000	700	sound/amb_ast_large_field.snd
	1		0	-4000	0	2000	-1		2000	4	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_small.iff	datatables/space/asteroidfield/fieldstyle/radial_s01.iff	50	8000	700	sound/amb_ast_large_field.snd
	1		0	4000	0	2000	-1		2000	5	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_medium.iff	datatables/space/asteroidfield/fieldstyle/radial_s01.iff	32	8000	700	sound/amb_ast_large_field.snd
	1		0	0	4000	2000	-1		2000	6	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_medium.iff	datatables/space/asteroidfield/fieldstyle/radial_s01.iff	32	8000	700	sound/amb_ast_large_field.snd
	1		0	0	-4000	2000	-1		2000	7	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_medium.iff	datatables/space/asteroidfield/fieldstyle/radial_s01.iff	32	8000	700	sound/amb_ast_large_field.snd
	1		4000	4000	0	2000	-1		1500	8	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_large.iff	datatables/space/asteroidfield/fieldstyle/radial_s01.iff	50	2000	700	sound/amb_ast_large_field.snd
	1		4000	-4000	0	2000	-1		1500	9	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_medium.iff	datatables/space/asteroidfield/fieldstyle/radial_s01.iff	50	2000	700	sound/amb_ast_large_field.snd
	1		-4000	4000	0	2000	-1		1500	10	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_medium.iff	datatables/space/asteroidfield/fieldstyle/radial_s01.iff	50	2000	700	sound/amb_ast_large_field.snd
	1		-4000	-4000	0	2000	-1		1500	12	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_small.iff	datatables/space/asteroidfield/fieldstyle/radial_s01.iff	20	2000	800	sound/amb_ast_large_field.snd
	1		4000	4000	4000	2000	-1		1500	13	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_large.iff	datatables/space/asteroidfield/fieldstyle/radial_s01.iff	50	2000	700	sound/amb_ast_large_field.snd
	1		4000	-4000	4000	2000	-1		1500	14	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_medium.iff	datatables/space/asteroidfield/fieldstyle/radial_s01.iff	50	2000	700	sound/amb_ast_large_field.snd
	1		-4000	4000	4000	2000	-1		1500	15	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_medium.iff	datatables/space/asteroidfield/fieldstyle/radial_s01.iff	50	2000	700	sound/amb_ast_large_field.snd
	1		-4000	-4000	4000	2000	-1		1500	16	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_small.iff	datatables/space/asteroidfield/fieldstyle/radial_s01.iff	20	2000	800	sound/amb_ast_large_field.snd
	1		4000	4000	-4000	2000	-1		1500	17	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_large.iff	datatables/space/asteroidfield/fieldstyle/radial_s01.iff	50	2000	700	sound/amb_ast_large_field.snd
	1		4000	-4000	-4000	2000	-1		1500	18	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_medium.iff	datatables/space/asteroidfield/fieldstyle/radial_s01.iff	50	2000	700	sound/amb_ast_large_field.snd
	1		-4000	4000	-4000	2000	-1		1500	19	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_medium.iff	datatables/space/asteroidfield/fieldstyle/radial_s01.iff	50	2000	700	sound/amb_ast_large_field.snd
	1		-4000	-4000	-4000	2000	-1		1500	20	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_small.iff	datatables/space/asteroidfield/fieldstyle/radial_s01.iff	20	2000	800	sound/amb_ast_large_field.snd
