Name	Type	SplineControlPoints	CenterLocationX	CenterLocationY	CenterLocationZ	Radius	FlattenDepth	FaceTowards	NumAsteroids	RandomSeed	ScaleMin	ScaleMax	RotationMin	RotationMax	FieldStyleTable	RadialStyleTable	NumRadialAsteroids	MaxViewableDistance	ViewAllDistance	SoundEffect
s	e(cube=1,spline=2)[cube]	s	f	f	f	f	f[-1]	s	I	I	f	f	f	f	s	s	i	f	f	s
	1		-3900	-2500	-3450	200	-1		10	7354	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	60	2000	800	sound/amb_ast_large_field.snd
	1		-3300	-2500	-3500	150	-1		10	6731	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	60	2000	800	sound/amb_ast_large_field.snd
	1		-1200	-200	510	378	-1		24	5733	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	10	2000	800	sound/amb_ast_large_field.snd
	1		500	-300	500	312	-1		25	9987	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	60	2000	800	sound/amb_ast_large_field.snd
	1		-100	220	-3700	200	-1		8	1555	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	60	2000	800	sound/amb_ast_large_field.snd
	1		300	180	-3350	250	-1		17	2999	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	60	2000	800	sound/amb_ast_large_field.snd
	1		300	-400	-750	350	-1		23	3500	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	60	2000	800	sound/amb_ast_large_field.snd
	1		800	0	0	380	-1		24	9999	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	60	2000	800	sound/amb_ast_large_field.snd
	1		800	100	-2850	300	-1		21	3333	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	60	2000	800	sound/amb_ast_large_field.snd
	1		900	-200	-1350	350	-1		24	5555	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	60	2000	800	sound/amb_ast_large_field.snd
	1		1468	1794	3992	300	-1		23	4567	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	60	2000	800	sound/amb_ast_large_field.snd
	1		1800	-50	-1900	350	-1		24	5800	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	25	2000	800	sound/amb_ast_large_field.snd
	1		1810	1560	3258	320	-1		25	8746	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	23	2000	800	sound/amb_ast_large_field.snd
	1		2100	-150	-2500	320	-1		26	5600	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	60	2000	800	sound/amb_ast_large_field.snd
	1		2274	1240	2308	350	-1		27	5801	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	60	2000	800	sound/amb_ast_large_field.snd
	1		2600	-225	-2850	300	-1		22	3334	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	60	2000	800	sound/amb_ast_large_field.snd
	1		2842	1448	2543	300	-1		25	4668	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	60	2000	800	sound/amb_ast_large_field.snd
	1		2900	-300	-3000	200	-1		12	1556	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	60	2000	800	sound/amb_ast_large_field.snd
	1		3034	1582	3423	290	-1		26	7764	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	60	2000	800	sound/amb_ast_large_field.snd
	1		3439	1674	3342	350	-1		25	5324	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	60	2000	800	sound/amb_ast_large_field.snd
	1		3672	1792	2679	350	-1		15	3354	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	60	2000	800	sound/amb_ast_large_field.snd
	1		3710	1810	3984	300	-1		25	4432	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	45	2000	800	sound/amb_ast_large_field.snd
	1		3989	1902	2309	300	-1		12	4598	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	30	2000	800	sound/amb_ast_large_field.snd
	1		4000	4000	4000	500	-1		25	3458	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	10	2000	800	sound/amb_ast_large_field.snd
	1		3742	-3770	-3900	300	-1		25	3728	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	60	2000	800	sound/amb_ast_large_field.snd
	1		905	3157	3822	300	-1		10	4562	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	60	2000	800	sound/amb_ast_large_field.snd
	1		3987	0	2976	450	-1		23	5472	1	1	0	0	datatables/space/asteroidfield/fieldstyle/asteroid_basic_metal.iff	datatables/space/asteroidfield/fieldstyle/radial_metal_asteroid_s01.iff	60	2000	800	sound/amb_ast_large_field.snd
	1		-2000	2000	-2000	150	-1		65	3745	1	1	0	0	datatables/space/asteroidfield/fieldstyle/debris_xwingvstie.iff	datatables/space/asteroidfield/fieldstyle/radial_debris_xwingvstie.iff	46	2000	800	sound/amb_ast_large_field.snd
	1		-3500	1000	2500	200	-1		87	5486	1	1	0	0	datatables/space/asteroidfield/fieldstyle/debris_cargo.iff	datatables/space/asteroidfield/fieldstyle/radial_debris_xwingvstie.iff	25	2000	800	sound/amb_ast_large_field.snd
	1		4712	4683	-2508	500	-1		99	5698	1	1	0	0	datatables/space/asteroidfield/fieldstyle/debris_tie.iff	datatables/space/asteroidfield/fieldstyle/radial_debris_tie.iff	50	2000	800	sound/amb_ast_large_field.snd
