component	reactor	engine	shield_0	shield_1	armor_0	armor_1	capacitor	booster	droid_interface	bridge	hangar	targeting_station	weapon_0	weapon_1	weapon_2	weapon_3	weapon_4	weapon_5	weapon_6	weapon_7	hit_range
s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	f
wpn_xwing_missile_s01																					0
bst_xwing_booster_s01																					0
eng_crafted_novaldex_eventhorizon																					0
eng_crafted_qualdex_kyromaster																					0
eng_crafted_incom_fusialthrust																					0
wpn_crafted_incom_disruptor																					0
wpn_crafted_slayn_ioncannon																					0
wpn_crafted_subpro_tripleblaster																					0
eng_novaldex_eventhorizon																					0
eng_qualdex_kyromaster																					0
eng_incom_fusialthrust																					0
wpn_incom_disruptor																					0
wpn_slayn_ioncannon																					0
wpn_subpro_tripleblaster																					0
wpn_corvette_turret_sm_s01													corellian_corvette_turret_small_s01:turret_small1	corellian_corvette_turret_small_s01:turret_small2	corellian_corvette_turret_small_s01:turret_small3	corellian_corvette_turret_small_s01:turret_small4	corellian_corvette_turret_small_s01:turret_small5	corellian_corvette_turret_small_s01:turret_small6	corellian_corvette_turret_small_s01:turretyaw_large_top	corellian_corvette_turret_small_s01:turretyaw_large_bottom	6
wpn_tieadvanced_blaster													raider_corvette_turret_small_s01:turret_small1	raider_corvette_turret_small_s01:turret_small2	raider_corvette_turret_small_s01:turret_small3	raider_corvette_turret_small_s01:turret_small4	raider_corvette_turret_small_s01:turretyaw_large_top	raider_corvette_turret_main_s01:turretyaw_large_bottom	raider_corvette_turret_side:turret_side_right	raider_corvette_turret_side:turret_side_left	6
rct_generic	reactor1																				6
eng_generic		engine1,engine2,engine3,engine4,engine5,engine6,engine7,engine8,engine9																			7.5
shd_generic			shield1	shield2																	6
bdg_generic										bridge1											8
