component	reactor	engine	shield_0	shield_1	armor_0	armor_1	capacitor	booster	droid_interface	bridge	hangar	targeting_station	weapon_0	weapon_1	weapon_2	weapon_3	weapon_4	weapon_5	weapon_6	weapon_7
s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
wpn_xwing_missile_s01																				
bst_xwing_booster_s01																				
eng_crafted_novaldex_eventhorizon		tie_engine_s01:																		
eng_crafted_qualdex_kyromaster		tie_engine_s01:																		
eng_crafted_incom_fusialthrust		tie_engine_s01:																		
wpn_crafted_incom_disruptor																				
wpn_crafted_slayn_ioncannon																				
wpn_crafted_subpro_tripleblaster																				
eng_novaldex_eventhorizon		tie_engine_s01:																		
eng_qualdex_kyromaster		tie_engine_s01:																		
eng_incom_fusialthrust		tie_engine_s01:																		
wpn_incom_disruptor																				
wpn_slayn_ioncannon																				
wpn_subpro_tripleblaster																				
wpn_seinar_concussion_missile_s01																				
wpn_sienar_heatseeker_missile_s01																				
wpn_slayn_imagerec_missile_s01																				
wpn_incom_proton_missile_s01																				
wpn_incom_seismic_missile_s01																				
eng_prototype		tie_engine_s01:																		
wpn_prototype																				
wpn_prototype_tie																				
eng_novaldex_singularity		tie_engine_s01:																		
eng_qualdex_a10		tie_engine_s01:																		
eng_novaldex_x12		tie_engine_s01:																		
eng_koensayr_ionjet		tie_engine_s01:																		
eng_damorian_rx7		tie_engine_s01:																		
eng_kuat_f31		tie_engine_s01:																		
eng_qualdex_igt		tie_engine_s01:																		
eng_ubrikkian_n2		tie_engine_s01:																		
eng_kuat_tc40		tie_engine_s01:																		
eng_cygnus_hd7		tie_engine_s01:																		
eng_incom_e16		tie_engine_s01:																		
eng_surronian_a2		tie_engine_s01:																		
eng_surronian_a25		tie_engine_s01:																		
eng_kongar_defender		tie_engine_s01:																		
eng_seinar_ps56		tie_engine_s01:																		
eng_kuat_a9x		tie_engine_s01:																		
eng_nubian_221		tie_engine_s01:																		
eng_nubian_221_racing_mod		tie_engine_s01:																		
eng_mk1		tie_engine_s01:																		
eng_mk2		tie_engine_s01:																		
eng_mk3		tie_engine_s01:																		
eng_mk4		tie_engine_s01:																		
eng_mk5		tie_engine_s01:																		
bst_incom_intimidator_mk1																				
bst_kuat_military_mk1																				
bst_koensayr_evh12																				
bst_mandal_jbj_mk1																				
bst_subpro_accelatron_mk1																				
bst_corellian_tjh3																				
bst_moncal_jlc37																				
bst_sorosuub_liberator_mk1																				
bst_kse_cb6																				
bst_incom_nkj31																				
bst_slayn_ion_booster_mk1																				
bst_gallofree_light																				
bst_sfs_imperial_1																				
bst_sap_imperial_1																				
bst_freitek_outrunner_x1																				
bst_cygnus_flashboost3																				
bst_surronian_nomad_x4																				
bst_qualdex_xboost_mk1																				
bst_koensayr_special_evh12																				
bst_mandal_enhanced_jbj_mk1																				
bst_subpro_tuned_accelatron_mk1																				
bst_corellian_experimental_tjh3																				
bst_moncal_limited_jlc37																				
bst_sorosuub_prized_liberator_mk1																				
bst_kse_performance_cb6																				
bst_incom_performance_nkj31																				
eng_novaldex_light_eventhorizon		tie_engine_s01:																		
eng_qualdex_small_kyromaster		tie_engine_s01:																		
eng_koensayr_small_ionjet		tie_engine_s01:																		
eng_kse_a2x		tie_engine_s01:																		
eng_moncal_light		tie_engine_s01:																		
eng_corellian_cruiser_grade_mk1		tie_engine_s01:																		
eng_subpro_light_engines		tie_engine_s01:																		
eng_sorosuub_l_337_ion_engine		tie_engine_s01:																		
eng_mandal_x37_vandal		tie_engine_s01:																		
eng_haor_chall_old_engine		tie_engine_s01:																		
eng_sfs_imperial_1		tie_engine_s01:																		
eng_sds_imperial_1		tie_engine_s01:																		
eng_cygnus_hd3		tie_engine_s01:																		
