component	reactor	engine	shield_0	shield_1	armor_0	armor_1	capacitor	booster	droid_interface	bridge	hangar	targeting_station	weapon_0	weapon_1	weapon_2	weapon_3	weapon_4	weapon_5	weapon_6	weapon_7
s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
wpn_xwing_missile_s01																				
bst_xwing_booster_s01								xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1												
bst_generic								xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1												
eng_crafted_novaldex_eventhorizon		fang_engine_s01:engine_rotate,fang_engine_s02:engine1																		
eng_crafted_qualdex_kyromaster		fang_engine_s01:engine_rotate,fang_engine_s02:engine1																		
eng_crafted_incom_fusialthrust		fang_engine_s01:engine_rotate,fang_engine_s02:engine1																		
wpn_crafted_incom_disruptor													fang_weapon_s01:weapon_rotate							
wpn_crafted_slayn_ioncannon													fang_weapon_s01:weapon_rotate							
wpn_crafted_subpro_tripleblaster													xwing_weapon1_pos_s04_0:weapon1_pos1,xwing_weapon1_neg_s04_0:weapon1_neg1							
eng_novaldex_eventhorizon		fang_engine_s01:engine_rotate,fang_engine_s02:engine1																		
eng_qualdex_kyromaster		fang_engine_s01:engine_rotate,fang_engine_s02:engine1																		
eng_incom_fusialthrust		fang_engine_s01:engine_rotate,fang_engine_s02:engine1																		
wpn_incom_disruptor													fang_weapon_s01:weapon_rotate							
wpn_slayn_ioncannon													fang_weapon_s01:weapon_rotate							
wpn_subpro_tripleblaster													xwing_weapon1_pos_s04_0:weapon1_pos1,xwing_weapon1_neg_s04_0:weapon1_neg1							
eng_generic		fang_engine_s01:engine_rotate,fang_engine_s02:engine1																		
eng_prototype		fang_engine_s01:engine_rotate,fang_engine_s02:engine1																		
wpn_prototype													xwing_weapon1_pos_s04_0:weapon1_pos1,xwing_weapon1_neg_s04_0:weapon1_neg1							
wpn_prototype_tie													xwing_weapon1_pos_s04_0:weapon1_pos1,xwing_weapon1_neg_s04_0:weapon1_neg1							
bst_xwing_booster_mk1								xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1												
bst_xwing_booster_mk2								xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1												
wpn_armek_sw4													xwing_weapon1_pos_s06_0:weapon1_pos1,xwing_weapon1_neg_s06_0:weapon1_neg1							
wpn_armek_sw7													xwing_weapon1_pos_s06_0:weapon1_pos1,xwing_weapon1_neg_s06_0:weapon1_neg1							
wpn_incom_blaster													fang_weapon_s01:weapon_rotate							
wpn_incom_shredder													xwing_weapon1_pos_s05_0:weapon1_pos1,xwing_weapon1_neg_s05_0:weapon1_neg1							
wpn_subpro_tripleblaster_mark2													xwing_weapon1_pos_s04_0:weapon1_pos1,xwing_weapon1_neg_s04_0:weapon1_neg1							
wpn_incom_quad_blaster													xwing_weapon1_pos_s04_0:weapon1_pos1,xwing_weapon1_neg_s04_0:weapon1_neg1							
wpn_taim_ix4													xwing_weapon1_pos_s03_0:weapon1_pos1,xwing_weapon1_neg_s03_0:weapon1_neg1							
wpn_taim_kx5													xwing_weapon1_pos_s03_0:weapon1_pos1,xwing_weapon1_neg_s03_0:weapon1_neg1							
wpn_taim_kx9													xwing_weapon1_pos_s03_0:weapon1_pos1,xwing_weapon1_neg_s03_0:weapon1_neg1							
wpn_taim_heavy_laser													xwing_weapon1_pos_s03_0:weapon1_pos1,xwing_weapon1_neg_s03_0:weapon1_neg1							
eng_novaldex_singularity		fang_engine_s01:engine_rotate,fang_engine_s02:engine1																		
eng_qualdex_a10		fang_engine_s01:engine_rotate,fang_engine_s02:engine1																		
eng_novaldex_x12		fang_engine_s01:engine_rotate,fang_engine_s02:engine1																		
