component	reactor	engine	shield_0	shield_1	armor_0	armor_1	capacitor	booster	droid_interface	bridge	hangar	targeting_station	weapon_0	weapon_1	weapon_2	weapon_3	weapon_4	weapon_5	weapon_6	weapon_7
s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
wpn_xwing_missile_s01																				
bst_xwing_booster_s01								xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1												
bst_generic								xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1												
eng_crafted_novaldex_eventhorizon		refractor_engine_s01:engine1,refractor_engine_s01_b:engine2																		
eng_crafted_qualdex_kyromaster		refractor_engine_s01:engine1,refractor_engine_s01_b:engine2																		
eng_crafted_incom_fusialthrust		refractor_engine_s01:engine1,refractor_engine_s01_b:engine2																		
wpn_crafted_incom_disruptor													bwing_weapon1_s01:weapon1	refractor_weapon2_s01:weapon_wing	xwing_weapon2_pos_s01_1:weapon2_pos1, xwing_weapon2_neg_s01_1:weapon2_neg1					
wpn_crafted_slayn_ioncannon													bwing_weapon1_s01:weapon1	refractor_weapon2_s01:weapon_wing	xwing_weapon2_pos_s02_1:weapon2_pos1, xwing_weapon2_neg_s02_1:weapon2_neg1					
wpn_crafted_subpro_tripleblaster													bwing_weapon1_s01:weapon1	refractor_weapon2_s01:weapon_wing	xwing_weapon2_pos_s04_1:weapon2_pos1, xwing_weapon2_neg_s04_1:weapon2_neg1					
eng_novaldex_eventhorizon		refractor_engine_s01:engine1,refractor_engine_s01_b:engine2																		
eng_qualdex_kyromaster		refractor_engine_s01:engine1,refractor_engine_s01_b:engine2																		
eng_incom_fusialthrust		refractor_engine_s01:engine1,refractor_engine_s01_b:engine2																		
wpn_incom_disruptor													bwing_weapon1_s01:weapon1	refractor_weapon2_s01:weapon_wing	xwing_weapon2_pos_s01_1:weapon2_pos1, xwing_weapon2_neg_s01_1:weapon2_neg1					
wpn_slayn_ioncannon													bwing_weapon1_s01:weapon1	refractor_weapon2_s01:weapon_wing	xwing_weapon2_pos_s02_1:weapon2_pos1, xwing_weapon2_neg_s02_1:weapon2_neg1					
wpn_subpro_tripleblaster													bwing_weapon1_s01:weapon1	refractor_weapon2_s01:weapon_wing	xwing_weapon2_pos_s04_1:weapon2_pos1, xwing_weapon2_neg_s04_1:weapon2_neg1					
eng_generic		refractor_engine_s01:engine1,refractor_engine_s01_b:engine2																		
eng_prototype		refractor_engine_s01:engine1,refractor_engine_s01_b:engine2																		
wpn_prototype													bwing_weapon1_s01:weapon1	refractor_weapon2_s01:weapon_wing	xwing_weapon2_pos_s04_1:weapon2_pos1, xwing_weapon2_neg_s04_1:weapon2_neg1					
wpn_prototype_tie													bwing_weapon1_s01:weapon1	refractor_weapon2_s01:weapon_wing	xwing_weapon2_pos_s04_1:weapon2_pos1, xwing_weapon2_neg_s04_1:weapon2_neg1					
bst_xwing_booster_mk1								xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1												
bst_xwing_booster_mk2								xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1												
wpn_armek_sw4													bwing_weapon1_s01:weapon1	refractor_weapon2_s01:weapon_wing	xwing_weapon2_pos_s05_1:weapon2_pos1, xwing_weapon2_neg_s05_1:weapon2_neg1					
wpn_armek_sw7													bwing_weapon1_s01:weapon1	refractor_weapon2_s01:weapon_wing	xwing_weapon2_pos_s05_1:weapon2_pos1, xwing_weapon2_neg_s05_1:weapon2_neg1					
wpn_incom_blaster													bwing_weapon1_s01:weapon1	refractor_weapon2_s01:weapon_wing	xwing_weapon2_pos_s01_1:weapon2_pos1, xwing_weapon2_neg_s01_1:weapon2_neg1					
