component	engine	booster	weapon_0	weapon_1
s	s	s	s	s
collection_reward_booster_01_mk1		ywing_booster_s02:booster1		
collection_reward_booster_01_mk2		ywing_booster_s02:booster1		
collection_reward_booster_01_mk3		ywing_booster_s02:booster1		
collection_reward_booster_01_mk4		ywing_booster_s02:booster1		
collection_reward_booster_01_mk5		ywing_booster_s02:booster1		
bst_corellian_advanced_thrust_enhancer		ywing_booster_s01:booster1		
bst_corellian_elite_thrust_enhancer		ywing_booster_s01:booster1		
bst_corellian_experimental_tjh3		ywing_booster_s01:booster1		
bst_corellian_heavy_thrust_enhancer		ywing_booster_s02:booster1		
bst_corellian_highly_modified_elite_thrust_enhancer		ywing_booster_s01:booster1		
bst_corellian_performance_advanced_thrust_enhancer		ywing_booster_s01:booster1		
bst_corellian_promotional_standard_thrust_enhancer		ywing_booster_s01:booster1		
bst_corellian_standard_thrust_enhancer		ywing_booster_s01:booster1		
bst_corellian_tjh3		ywing_booster_s01:booster1		
bst_corellian_tuned_heavy_thrust_enhancer		ywing_booster_s02:booster1		
bst_cygnus_flashboost3		ywing_booster_s01:booster1		
bst_cygnus_flashboost4		ywing_booster_s01:booster1		
bst_elite_booster		ywing_booster_s01:booster1		
bst_freitek_outrunner_x1		ywing_booster_s01:booster1		
bst_gallofree_light		ywing_booster_s01:booster1		
bst_generic		ywing_booster_s01:booster1		
bst_incom_deluxe_fynock		ywing_booster_s01:booster1		
bst_incom_elite_sls_1		ywing_booster_s01:booster1		
bst_incom_enhanced_mynock		ywing_booster_s01:booster1		
bst_incom_fynock		ywing_booster_s01:booster1		
bst_incom_intimidator_mk1		ywing_booster_s01:booster1		
bst_incom_intimidator_mk2		ywing_booster_s01:booster1		
bst_incom_intimidator_mk3		ywing_booster_s01:booster1		
bst_incom_intimidator_mk4		ywing_booster_s01:booster1		
bst_incom_mynock		ywing_booster_s01:booster1		
bst_incom_nkj31		ywing_booster_s01:booster1		
bst_incom_performance_nkj31		ywing_booster_s01:booster1		
bst_incom_sls_1		ywing_booster_s01:booster1		
bst_incom_supercharged_vynock		ywing_booster_s02:booster1		
bst_incom_vynock		ywing_booster_s01:booster1		
bst_kde_br12		ywing_booster_s01:booster1		
bst_kessel_imperial_cygnus_hyperthrust		ywing_booster_s01:booster1		
bst_kessel_imperial_sds_experimental_b7		ywing_booster_s01:booster1		
bst_kessel_imperial_sfs_ultra_thrust		ywing_booster_s01:booster1		
bst_kessel_rebel_incom_quicksilver		ywing_booster_s01:booster1		
bst_kessel_rebel_incom_windrunner		ywing_booster_s01:booster1		
bst_kessel_rebel_mandal_lightning_m1		ywing_booster_s01:booster1		
bst_koensayr_advanced		ywing_booster_s01:booster1		
bst_koensayr_charged_advanced		ywing_booster_s01:booster1		
bst_koensayr_deluxe_elite		ywing_booster_s01:booster1		
bst_koensayr_elite		ywing_booster_s01:booster1		
bst_koensayr_evh12		ywing_booster_s01:booster1		
bst_koensayr_heavy		ywing_booster_s02:booster1		
bst_koensayr_modified_heavy		ywing_booster_s02:booster1		
bst_koensayr_racer_mk1		ywing_booster_s02:booster1		
bst_koensayr_racer_mk2		ywing_booster_s02:booster1		
bst_koensayr_racer_mk3		ywing_booster_s02:booster1		
bst_koensayr_racer_mk4		ywing_booster_s02:booster1		
bst_koensayr_special_evh12		ywing_booster_s01:booster1		
bst_koensayr_improved_standard		ywing_booster_s01:booster1		
bst_koensayr_standard		ywing_booster_s01:booster1		
bst_kse_als_1		ywing_booster_s01:booster1		
bst_kse_bti1		ywing_booster_s01:booster1		
bst_kse_bti2		ywing_booster_s01:booster1		
