component	reactor	engine	shield_0	shield_1	armor_0	armor_1	capacitor	booster	droid_interface	bridge	hangar	targeting_station	weapon_0	weapon_1	weapon_2	weapon_3	weapon_4	weapon_5	weapon_6	weapon_7
s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
wpn_xwing_missile_s01																				
bst_xwing_booster_s01								xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1												
bst_generic								xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1												
eng_crafted_novaldex_eventhorizon		xwing_engine_pos_s02:engine_pos1,xwing_engine_neg_s02:engine_neg1																		
eng_crafted_qualdex_kyromaster		xwing_engine_pos_s02:engine_pos1,xwing_engine_neg_s02:engine_neg1																		
eng_crafted_incom_fusialthrust		z95_engine_s01:engine1																		
wpn_crafted_incom_disruptor													z95_weapon_s01:weapon1	xwing_weapon1_neg_s01_0:weapon1_neg1	xwing_weapon2_pos_s01_1:weapon2_pos1, xwing_weapon2_neg_s01_1:weapon2_neg1					
wpn_crafted_slayn_ioncannon													z95_weapon_s01:weapon1	xwing_weapon1_neg_s02_0:weapon1_neg1	xwing_weapon2_pos_s02_1:weapon2_pos1, xwing_weapon2_neg_s02_1:weapon2_neg1					
wpn_crafted_subpro_tripleblaster													xwing_weapon1_pos_s04_0:weapon1_pos1	xwing_weapon1_neg_s02_0:weapon1_neg1	xwing_weapon2_pos_s04_1:weapon2_pos1, xwing_weapon2_neg_s04_1:weapon2_neg1					
eng_novaldex_eventhorizon		xwing_engine_pos_s02:engine_pos1,xwing_engine_neg_s02:engine_neg1																		
eng_qualdex_kyromaster		xwing_engine_pos_s02:engine_pos1,xwing_engine_neg_s02:engine_neg1																		
eng_incom_fusialthrust		z95_engine_s01:engine1																		
wpn_incom_disruptor													z95_weapon_s01:weapon1	xwing_weapon1_neg_s01_0:weapon1_neg1	xwing_weapon2_pos_s01_1:weapon2_pos1, xwing_weapon2_neg_s01_1:weapon2_neg1					
wpn_slayn_ioncannon													z95_weapon_s01:weapon1	xwing_weapon1_neg_s02_0:weapon1_neg1	xwing_weapon2_pos_s02_1:weapon2_pos1, xwing_weapon2_neg_s02_1:weapon2_neg1					
wpn_subpro_tripleblaster													xwing_weapon1_pos_s04_0:weapon1_pos1	xwing_weapon1_neg_s04_0:weapon1_neg1	xwing_weapon2_pos_s04_1:weapon2_pos1, xwing_weapon2_neg_s04_1:weapon2_neg1					
eng_generic		z95_engine_s01:engine1																		
eng_prototype		z95_engine_s01:engine1																		
wpn_prototype													xwing_weapon1_pos_s04_0:weapon1_pos1	xwing_weapon1_neg_s04_0:weapon1_neg1	xwing_weapon2_pos_s04_1:weapon2_pos1, xwing_weapon2_neg_s04_1:weapon2_neg1					
wpn_prototype_tie													xwing_weapon1_pos_s04_0:weapon1_pos1	xwing_weapon1_neg_s04_0:weapon1_neg1	xwing_weapon2_pos_s04_1:weapon2_pos1, xwing_weapon2_neg_s04_1:weapon2_neg1					
bst_xwing_booster_mk1								xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1												
bst_xwing_booster_mk2								xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1												
wpn_armek_sw4													xwing_weapon1_pos_s06_0:weapon1_pos1	xwing_weapon1_neg_s06_0:weapon1_neg1	xwing_weapon2_pos_s05_1:weapon2_pos1, xwing_weapon2_neg_s05_1:weapon2_neg1					
wpn_armek_sw7													xwing_weapon1_pos_s06_0:weapon1_pos1	xwing_weapon1_neg_s06_0:weapon1_neg1	xwing_weapon2_pos_s05_1:weapon2_pos1, xwing_weapon2_neg_s05_1:weapon2_neg1					
