component	engine	booster	weapon_0	weapon_1
s	s	s	s	s
collection_reward_booster_01_mk1				
collection_reward_booster_01_mk2				
collection_reward_booster_01_mk3				
collection_reward_booster_01_mk4				
collection_reward_booster_01_mk5				
bst_corellian_advanced_thrust_enhancer				
bst_corellian_elite_thrust_enhancer				
bst_corellian_experimental_tjh3				
bst_corellian_heavy_thrust_enhancer				
bst_corellian_highly_modified_elite_thrust_enhancer				
bst_corellian_performance_advanced_thrust_enhancer				
bst_corellian_promotional_standard_thrust_enhancer				
bst_corellian_standard_thrust_enhancer				
bst_corellian_tjh3				
bst_corellian_tuned_heavy_thrust_enhancer				
bst_cygnus_flashboost3				
bst_cygnus_flashboost4				
bst_elite_booster				
bst_freitek_outrunner_x1				
bst_gallofree_light				
bst_generic				
bst_incom_deluxe_fynock				
bst_incom_elite_sls_1				
bst_incom_enhanced_mynock				
bst_incom_fynock				
bst_incom_intimidator_mk1				
bst_incom_intimidator_mk2				
bst_incom_intimidator_mk3				
bst_incom_intimidator_mk4				
bst_incom_mynock				
bst_incom_nkj31				
bst_incom_performance_nkj31				
bst_incom_sls_1				
bst_incom_supercharged_vynock				
bst_incom_vynock				
bst_kde_br12				
bst_kessel_imperial_cygnus_hyperthrust				
bst_kessel_imperial_sds_experimental_b7				
bst_kessel_imperial_sfs_ultra_thrust				
bst_kessel_rebel_incom_quicksilver				
bst_kessel_rebel_incom_windrunner				
bst_kessel_rebel_mandal_lightning_m1				
bst_koensayr_advanced				
bst_koensayr_charged_advanced				
bst_koensayr_deluxe_elite				
bst_koensayr_elite				
bst_koensayr_evh12				
bst_koensayr_heavy				
bst_koensayr_modified_heavy				
bst_koensayr_racer_mk1				
bst_koensayr_racer_mk2				
bst_koensayr_racer_mk3				
bst_koensayr_racer_mk4				
bst_koensayr_special_evh12				
bst_koensayr_improved_standard				
bst_koensayr_standard				
bst_kse_als_1				
bst_kse_bti1				
bst_kse_bti2				
bst_kse_bti3				
bst_kse_cb6				
bst_kse_deluxe_bti3				
bst_kse_elite_als_1				
bst_kse_enhanced_bti2				
bst_kse_performance_bti1				
bst_kse_performance_cb6				
bst_kuat_military_mk1				
bst_kuat_military_mk2				
bst_kuat_military_mk3				
bst_kuat_military_mk4				
bst_mandal_deluxe_jbj_mk4				
bst_mandal_enhanced_jbj_mk1				
