component	engine	booster	weapon_0	weapon_1	weapon_2	modification_0
s	s	s	s	s	s	s
collection_reward_booster_01_mk1		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
collection_reward_booster_01_mk2		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
collection_reward_booster_01_mk3		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
collection_reward_booster_01_mk4		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
collection_reward_booster_01_mk5		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
bst_corellian_advanced_thrust_enhancer		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_corellian_elite_thrust_enhancer		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_corellian_experimental_tjh3		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_corellian_heavy_thrust_enhancer		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
bst_corellian_highly_modified_elite_thrust_enhancer		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_corellian_performance_advanced_thrust_enhancer		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_corellian_promotional_standard_thrust_enhancer		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_corellian_standard_thrust_enhancer		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_corellian_tjh3		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_corellian_tuned_heavy_thrust_enhancer		xwing_booster_s02_pos:booster_pos1,xwing_booster_s02_neg:booster_neg1				
bst_cygnus_flashboost3		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_cygnus_flashboost4		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_elite_booster		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_freitek_outrunner_x1		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_gallofree_light		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_generic		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_incom_deluxe_fynock		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_incom_elite_sls_1		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_incom_enhanced_mynock		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_incom_fynock		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
bst_incom_intimidator_mk1		xwing_booster_s01_pos:booster_pos1,xwing_booster_s01_neg:booster_neg1				
