component	engine	booster	weapon_0	weapon_1
s	s	s	s	s
bst_mk1				
bst_mk2				
bst_mk3				
bst_mk4				
bst_xwing_booster_s01				
eng_crafted_incom_fusialthrust	ywing_clone_engine_s01:engine1			
eng_crafted_novaldex_eventhorizon	ywing_clone_engine_s02:engine1			
eng_crafted_qualdex_kyromaster	ywing_clone_engine_s02:engine1			
eng_incom_fusialthrust	ywing_clone_engine_s01:engine1			
eng_novaldex_eventhorizon	ywing_clone_engine_s02:engine1			
eng_qualdex_kyromaster	ywing_clone_engine_s02:engine1			
wpn_advanced_blaster			ywing_clone_weapon1_s05:weapon1	ywing_clone_weapon2_s05:turretyaw1
wpn_heavy_blaster			ywing_clone_weapon1_s05:weapon1	ywing_clone_weapon2_s05:turretyaw1
wpn_heavy_ioncannon			ywing_clone_weapon1_s06:weapon1	ywing_clone_weapon2_s06:turretyaw1
wpn_incom_disruptor			ywing_clone_weapon1_s01:weapon1	ywing_clone_weapon2_s01:turretyaw1
wpn_light_blaster			ywing_clone_weapon1_s05:weapon1	ywing_clone_weapon2_s05:turretyaw1
wpn_light_disruptor			ywing_clone_weapon1_s01:weapon1	ywing_clone_weapon2_s01:turretyaw1
wpn_light_ioncannon			ywing_clone_weapon1_s06:weapon1	ywing_clone_weapon2_s06:turretyaw1
wpn_medium_blaster			ywing_clone_weapon1_s05:weapon1	ywing_clone_weapon2_s05:turretyaw1
wpn_medium_disruptor			ywing_clone_weapon1_s01:weapon1	ywing_clone_weapon2_s01:turretyaw1
wpn_medium_ioncannon			ywing_clone_weapon1_s06:weapon1	ywing_clone_weapon2_s06:turretyaw1
wpn_slayn_ioncannon			ywing_clone_weapon1_s06:weapon1	ywing_clone_weapon2_s06:turretyaw1
wpn_subpro_tripleblaster			ywing_clone_weapon1_s04:weapon1	ywing_clone_weapon2_s04:turretyaw1
				
