location	hardpoint
s	s
HIT_LOCATION_BODY	spine3
HIT_LOCATION_BODY	spine2
HIT_LOCATION_BODY	spine_2
HIT_LOCATION_BODY	body
HIT_LOCATION_BODY	sp1
HIT_LOCATION_BODY	spine2_joint
HIT_LOCATION_BODY	spine02
HIT_LOCATION_BODY	shoulder
HIT_LOCATION_BODY	spine01
HIT_LOCATION_HEAD	Head
HIT_LOCATION_HEAD	neck
HIT_LOCATION_HEAD	am_head
HIT_LOCATION_HEAD	shell
HIT_LOCATION_HEAD	head1
HIT_LOCATION_HEAD	head_joint
HIT_LOCATION_HEAD	head_base
HIT_LOCATION_HEAD	fambaa_head
HIT_LOCATION_HEAD	muzzle
HIT_LOCATION_R_ARM	rforearm
HIT_LOCATION_R_ARM	am_rleg
HIT_LOCATION_R_ARM	rElbow
HIT_LOCATION_R_ARM	rFrntLeg2
HIT_LOCATION_R_ARM	r_elbow
HIT_LOCATION_R_ARM	rElbow2
HIT_LOCATION_R_ARM	gun01
HIT_LOCATION_R_ARM	RHip
HIT_LOCATION_R_ARM	arm3
HIT_LOCATION_R_ARM	arm_c_bicep
HIT_LOCATION_R_ARM	r_forearm
HIT_LOCATION_R_ARM	rFourArm
HIT_LOCATION_R_ARM	right_elbow
HIT_LOCATION_R_ARM	rtElbow
HIT_LOCATION_R_ARM	r_f_leg2
HIT_LOCATION_R_ARM	RFrntElbow
HIT_LOCATION_R_ARM	RWing2
HIT_LOCATION_R_ARM	rupper_arm
HIT_LOCATION_R_ARM	r_frnt_ankle
HIT_LOCATION_R_ARM	joint62
HIT_LOCATION_R_ARM	R_F_elbow1
HIT_LOCATION_R_ARM	fambaa_rfourarm
HIT_LOCATION_R_ARM	RShoulder
HIT_LOCATION_R_ARM	RClaw2
HIT_LOCATION_R_ARM	r_metacarpal_bone
HIT_LOCATION_R_ARM	rwing1
HIT_LOCATION_R_ARM	fr_elbow
HIT_LOCATION_R_ARM	RWrist
HIT_LOCATION_R_ARM	r_fourarm
HIT_LOCATION_R_ARM	F_R_knee
HIT_LOCATION_R_ARM	tentacle00
HIT_LOCATION_R_ARM	rLeg1_3
HIT_LOCATION_R_ARM	door
HIT_LOCATION_L_ARM	lforearm
HIT_LOCATION_L_ARM	am_lleg
HIT_LOCATION_L_ARM	lElbow
HIT_LOCATION_L_ARM	lFrntLeg2
HIT_LOCATION_L_ARM	l_elbow
HIT_LOCATION_L_ARM	lElbow2
HIT_LOCATION_L_ARM	arm
HIT_LOCATION_L_ARM	gun02
HIT_LOCATION_L_ARM	LHip
HIT_LOCATION_L_ARM	arm4
HIT_LOCATION_L_ARM	arm_d_bicep
HIT_LOCATION_L_ARM	l_forearm
HIT_LOCATION_L_ARM	lFourArm
HIT_LOCATION_L_ARM	left_elbow
HIT_LOCATION_L_ARM	lftElbow
HIT_LOCATION_L_ARM	l_f_leg2
HIT_LOCATION_L_ARM	LFrntElbow
HIT_LOCATION_L_ARM	LWing2
HIT_LOCATION_L_ARM	lupper_arm
HIT_LOCATION_L_ARM	l_frnt_ankle
HIT_LOCATION_L_ARM	joint38
HIT_LOCATION_L_ARM	L_F_elbow1
HIT_LOCATION_L_ARM	fambaa_lfourarm
HIT_LOCATION_L_ARM	l_forarm
HIT_LOCATION_L_ARM	LShoulder
HIT_LOCATION_L_ARM	LClaw2
HIT_LOCATION_L_ARM	l_metacarpal_bone
HIT_LOCATION_L_ARM	lwing1
HIT_LOCATION_L_ARM	FL_Elbow
HIT_LOCATION_L_ARM	LWrist
HIT_LOCATION_L_ARM	l_fourarm
HIT_LOCATION_L_ARM	F_L_elbow
HIT_LOCATION_L_ARM	tentacle
HIT_LOCATION_L_ARM	lLeg1_3
HIT_LOCATION_L_ARM	door
HIT_LOCATION_R_LEG	rShin
HIT_LOCATION_R_LEG	am_rfoot
HIT_LOCATION_R_LEG	rknee
HIT_LOCATION_R_LEG	rRearLeg2
HIT_LOCATION_R_LEG	r_kneeb
HIT_LOCATION_R_LEG	r_knee
HIT_LOCATION_R_LEG	rankle
HIT_LOCATION_R_LEG	r_knee_1
HIT_LOCATION_R_LEG	right_knee
HIT_LOCATION_R_LEG	rtKnee1
HIT_LOCATION_R_LEG	r_b_leg2
HIT_LOCATION_R_LEG	RUpperLeg
HIT_LOCATION_R_LEG	r_back_hip
HIT_LOCATION_R_LEG	rRearHeel
HIT_LOCATION_R_LEG	RRearKnee
HIT_LOCATION_R_LEG	joint52
HIT_LOCATION_R_LEG	R_rear_knee1
