Weapon	Swoosh Appearance	Hue Swoosh	Attack Sound	Attack Sound Pitch	Hit Appearance	Hue Hit	Hit Target Sound	Hit Sound Pitch	Use Weapon Hue
s	s	b[0]	s	f[0]	s	b[1]	s	f[0]	b[0]
unarmed	appearance/sw_basic_white.swh	0	sound/pl_swing_unarmed.snd	0		0		0	0
1handMelee	appearance/sw_streaked.swh	1	sound/wep_sml_sharp_miss.snd	0		1		0	0
2handMelee	appearance/sw_streaked.swh	1	sound/wep_lrg_sharp_miss.snd	0		1		0	0
polearm	appearance/sw_streaked.swh	1	sound/wep_lrg_sharp_miss.snd	0		1		0	0
thrown		1	sound/wep_thrown_miss.snd	0		1		0	0
shared_polearm_vibro_axe_force.iff	appearance/sw_vibrolance.swh	0	sound/wep_poleaxe_vibro.snd	0		1		0	0
shared_lance_staff_metal_force.iff	appearance/sw_metalpolearm.swh	0	sound/wep_staff_metal.snd	0		1		0	0
shared_lance_vibrolance_force.iff	appearance/sw_vibrolance.swh	0	sound/wep_lance_vibro.snd	0		1		0	0
shared_lance_staff_janta_force.iff	appearance/sw_polearm_brown.swh	0	sound/wep_staff_janta.snd	0		1		0	0
shared_sword_nyax_force.iff	appearance/sw_streaked.swh	0	sound/wep_sword_nyax.snd	0		1		0	0
shared_2h_sword_maul_force.iff	appearance/sw_streaked.swh	0	sound/wep_2h_sword_maul.snd	0		1		0	0
shared_sword_02_force.iff	appearance/sw_streaked.swh	0	sound/wep_sword.snd	0		1		0	0
shared_sword_01_force.iff	appearance/sw_streaked.swh	0	sound/wep_sword.snd	0		1		0	0
shared_sword_02_ranged_donotuse_force.iff	appearance/sw_streaked.swh	0	sound/wep_sword.snd	0		1		0	0
onehandLightsaber	appearance/sw_light_saber_white.swh	1	sound/wep_lightsaber_swing.snd	0		1	sound/wep_lightsaber_hit.snd	0	1
twohandLightsaber	appearance/sw_light_saber_white.swh	1	sound/wep_lightsaber_swing.snd	0		1	sound/wep_lightsaber_hit.snd	0	1
polearmLightsaber	appearance/sw_light_saber_white.swh	1	sound/wep_lightsaber_swing.snd	0		1	sound/wep_lightsaber_hit.snd	0	1
shared_2h_sword_battleaxe.iff	appearance/sw_lines.swh	0	sound/wep_battleaxe.snd	0		1		0	0
shared_2h_sword_battleaxe_quest.iff	appearance/sw_lines.swh	0	sound/wep_battleaxe_quest.snd	0		1		0	0
shared_2h_sword_blacksun_hack.iff	appearance/sw_streaked.swh	1	sound/wep_executioners_hack.snd	0		1		0	0
shared_2h_sword_cleaver.iff	appearance/sw_streaky_glow_coolwhite.swh	0	sound/wep_cleaver.snd	0		1		0	0
shared_2h_sword_kashyyk.iff	appearance/sw_streaked.swh	1	sound/wep_2h_sword_kashyyk.snd	0		1		0	0
shared_2h_sword_katana.iff	appearance/sw_lines.swh	0	sound/wep_katana.snd	0		1		0	0
shared_2h_sword_katana_quest.iff	appearance/sw_streaked.swh	1	sound/wep_katana_quest.snd	0		1		0	0
shared_2h_sword_maul.iff	appearance/sw_streaked.swh	0	sound/wep_2h_sword_maul.snd	0		1		0	0
shared_2h_sword_scythe.iff	appearance/sw_streaky_glow_coolwhite.swh	0	sound/wep_2h_sword_scythe.snd	0		1		0	0
shared_2h_sword_sith.iff	appearance/sw_streaked.swh	1	sound/wep_2h_sword_sith.snd	0		1		0	0
shared_quest_2h_sword_battleaxe.iff	appearance/sw_streaked.swh	1	sound/wep_quest_battleaxe.snd	0		1		0	0
shared_quest_2h_sword_maul.iff	appearance/sw_streaked.swh	1	sound/wep_quest_maul.snd	0		1		0	0
shared_axe_heavy_duty.iff	appearance/sw_streaky_glow_coolwhite.swh	0	sound/wep_axe.snd	0		1		0	0
shared_axe_vibroaxe.iff	appearance/sw_vibroaxe.swh	0	sound/wep_axe_vibro.snd	0		1		0	0
shared_baton_gaderiffi.iff	appearance/sw_streaky_glow_coolwhite.swh	0	sound/wep_baton_gaderiffi.snd	0		1		0	0
shared_baton_stun.iff	appearance/sw_streaky_glow_coolwhite.swh	0	sound/wep_baton_stun.snd	0		1		0	0
shared_victor_baton_gaderiffi.iff	appearance/sw_streaked.swh	1	sound/wep_victor_baton_gaderiffi.snd	0		1		0	0
shared_knife_naktra_crystal.iff	appearance/sw_streaked.swh	1	sound/wep_sml_sharp_miss.snd	0		1		0	0
shared_knife_trando_skinner.iff	appearance/sw_streaked.swh	1	sound/wep_sml_sharp_miss.snd	0		1		0	0
shared_knife_dagger.iff	appearance/sw_color_bands.swh	0	sound/wep_knife_twilek_dagger.snd	0		1		0	0
shared_knife_donkuwah.iff	appearance/sw_color_bands.swh	0	sound/wep_knife_donkuwah.snd	0		1		0	0
shared_knife_janta.iff	appearance/sw_color_bands_purple.swh	0	sound/wep_knife_janta.snd	0		1		0	0
shared_knife_stone.iff	appearance/sw_stoneknife.swh	0	sound/wep_knife_stone.snd	0		1		0	0
shared_knife_survival.iff	appearance/sw_stoneknife.swh	0	sound/wep_knife_survival.snd	0		1		0	0
shared_knife_vibroblade.iff	appearance/sw_vibrolance.swh	0	sound/wep_knife_vibroblade.snd	0		1		0	0
shared_knife_vibroblade_quest.iff	appearance/sw_vibrolance.swh	0	sound/wep_knife_vibroblade_quest.sn	0		1		0	0
shared_lance_trando.iff	appearance/sw_lines.swh	0	sound/wep_lrg_sharp_miss.snd	0		1		0	0
shared_lance_controllerfp.iff	appearance/sw_lines.swh	0	sound/wep_lance_vibro_controller_fp.snd	0		1		0	0
shared_lance_controllerfp_nightsister.iff	appearance/sw_lines_nightsister.swh	0	sound/wep_lance_vibro_nightsister.snd	0		1		0	0
shared_lance_cryo.iff	appearance/sw_lines.swh	0	sound/wep_lance_cryo.snd	0		1		0	0
shared_lance_kaminoan.iff	appearance/sw_lines.swh	0	sound/wep_lance_kaminoan.snd	0		1		0	0
shared_lance_kashyyk.iff	appearance/sw_lines.swh	0	sound/wep_polearm_kashyyk_bladestick	0		1		0	0
shared_lance_massassi.iff	appearance/sw_lines.swh	0	sound/wep_lance_massassi.snd	0		1		0	0
shared_lance_nightsister.iff	appearance/sw_lines_nightsister.swh	0	sound/wep_lance_nightsister.snd	0		1		0	0
shared_lance_shock.iff	appearance/sw_vibrolance.swh	0	sound/wep_lance_shock.snd	0		1		0	0
shared_lance_staff_janta.iff	appearance/sw_polearm_brown.swh	0	sound/wep_staff_janta.snd	0		1		0	0
shared_lance_staff_metal.iff	appearance/sw_metalpolearm.swh	0	sound/wep_staff_metal.snd	0		1		0	0
shared_lance_staff_wood_s1.iff	appearance/sw_polearm_brown.swh	0	sound/wep_staff.snd	0		1		0	0
shared_lance_staff_wood_s2.iff	appearance/sw_polearm_dark_brown.swh	0	sound/wep_staff.snd	0		1		0	0
shared_lance_vibrolance.iff	appearance/sw_vibrolance.swh	0	sound/wep_lance_vibro.snd	0		1		0	0
shared_polearm_lance_electric_polearm.iff	appearance/sw_vibrolance.swh	0	sound/wep_polearm_electric.snd	0		1		0	0
shared_polearm_vibro_axe.iff	appearance/sw_vibrolance.swh	0	sound/wep_poleaxe_vibro.snd	0		1		0	0
shared_blacksun_razor.iff	appearance/sw_lines.swh	0	sound/wep_razor_knuckler.snd	0		1		0	0
shared_blasterfist.iff	appearance/sw_lines.swh	0	sound/wep_blasterfist.snd	0		1		0	0
shared_wookiee_knuckler.iff	appearance/sw_lines.swh	0	sound/wep_blasterfist.snd	0		1		0	0
shared_massassiknuckler.iff	appearance/sw_lines.swh	0	sound/wep_massassiknuckler.snd	0		1		0	0
shared_vibroknuckler.iff	appearance/sw_lines.swh	0	sound/wep_knuckler_vibro.snd	0		1		0	0
shared_sword_wookiee.iff	appearance/sw_lines.swh	0	sound/wep_lrg_sharp_miss.snd	0		1		0	0
